蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注
Quantum 6G,6G,高于1 Tbps,估计1公里,高,量子计算、超高速传输,华为技术有限公司,https://www.huawei.com/,,
Synchronized LTE,LTE,300 Mbps,最长100公里,中,数据备份、实时媒体传输,Orange,https://www.orange.com/,,
Flexibility 5G,5G,高达20 Gbps,理论最大范围为1.5公里,高,虚拟现实、大数据分析,Samsung,https://www.samsung.com/,,
NBIoT,LPWA,250 kbps,最长35公里,低,智能城市、环境监测,Gartner,https://www.gartner.com/,,
4G LTE Advanced,4G,300 Mbps,最长80公里,中,高清流媒体、实时视频,Cisco,https://www.cisco.com/,,
FDD-LTE,4G,150 Mbps,最长50公里,中,移动互联网、在线游戏,Telecom Regulatory Authority,https://www.trai.gov.in/,,
5G NR,5G,10 Gbps,最长500米,高,虚拟现实、增强现实,ITU,https://www.itu.int/en/ITU-T/,,
Edge Computing Networks,5G,2 Gbps,最长1公里,高,边缘计算、实时时间分析,MIT Technology Review,https://www.technologyreview.com/,,
SD-WAN,Hybrid,500 Mbps,最长20公里,中,企业网络、分支机构互联,Forrester Research,https://go.forrester.com/,,
CAT-M1,LPWA,1 Mbps,最长20公里,低,可穿戴设备、智能家居,GSMA,https://www.gsma.com/,,
6G Terahertz Networks,6G,高达1 Tbps,预计最长500米,高,超高清视频、智联网,IEEE,https://www.ieee.org/,,
5G Fixed Wireless Access,5G,1 Gbps,最长200米,中,家庭互联网接入、企业解决方案,Vodafone,https://www.vodafone.com/,,
TDD-LTE,4G,150 Mbps,最长60公里,中,乡村互联网、在线教学,Ericsson,https://www.ericsson.com/,,
CBRS,4G,100 Mbps,最长35公里,中,企业私有网络、室内覆盖,CBRS Alliance,https://www.cbrsalliance.org/,,
4G LTE,4G,150 Mbps,最长50公里,中,音频/video流媒体、在线游戏,Nokia,https://www.nokia.com/,,
WCDMA,3G,384 kbps,最长30公里,中,移动数据、社交应用,OpenSignal,https://www.opensignal.com/,,
DSRC,V2X,27 Mbps,最长1公里,高,智慧交通、自动驾驶,US Department of Transportation,https://www.transportation.gov/,,
Wi-Fi 6E,Wi-Fi,9.6 Gbps,最长100米,中,高密度环境、无线接入,Wi-Fi Alliance,https://www.wi-fi.org/,,
802.16e (WiMAX),4G,60 Mbps,最长10公里,中,城市宽带、偏远地区覆盖,IEEE 802.16 Working Group,https://www.ieee802.org/16/,,
Location-Based Services,Hybrid,200 kbps,不限,中,导航、车队管理,Statista,https://www.statista.com/,,
XgS,Future,超过10 Gbps,预计最长200米,高,未来通讯、超高频应用,Future Communications Forum,https://www.fcf.org/,,
NB-IoT,LPWA,25 kbps,最长10公里,低,智能城市、环境监测,Gartner,https://www.gartner.com/,,
4G LTE-Advanced,4G,300 Mbps,最长50公里,中,快速移动互联网、在线视频流,Cisco,https://www.cisco.com/,,
TDD-LTE,4G,120 Mbps,最长35公里,中,无线宽带、社区网络,中国信息通信研究院,https://www.caict.ac.cn,,
5G NR,5G,10 Gbps,最长300米,高,增强现实、虚拟现实,ITU,https://www.itu.int/,,
GSM-R,2G,9.6 kbps,最长50公里,中,铁路通信、运输安全,铁路部,https://www.railway.gov.cn/,,
5G SA,5G,2 Gbps,最长300米,高,工业物联网、智慧工厂,GSMA,https://www.gsma.com/,,
IoT Cellular,NB-IoT/LTE-M,0.1-250 kbps,最长20公里,低,物联网连接、传感器应用,Statista,https://www.statista.com/,,
WiMAX,4G,70 Mbps,最长50公里,中,宽带互联网、公共WiFi,IEEE,https://www.ieee.org/,,
5G FWA,5G,1 Gbps,最长5公里,中,固定无线接入、智能家居,Telecoms.com,https://www.telecoms.com/,,
IMT-2020,5G,20 Gbps,最长1500米,高,自动驾驶、超高清媒体,ITU,https://www.itu.int/,,
HEDS,6G,超过1 Tbps,预计最长1公里,高,量子通信、下一代网络,NIST,https://www.nist.gov/,,
V2X通信,5G,10 Mbps,最长1公里,中,车联网、智能交通,China Automotive Technology Research Center,https://www.catrc.ac.cn/,,
Wireless LAN,Wi-Fi,1 Gbps,最长100米,中,家庭网络、企业办公,IEEE 802.11,https://www.ieee802.org/,,
Edge Computing Network,6G,100 Gbps,预计最长500米,高,边缘计算、实时数据处理,Forbes,https://www.forbes.com/,,
Smart Grid Communication,LPWAN,0.5-10 kbps,最长30公里,低,智能电网、能源管理,World Economic Forum,https://www.weforum.org/,,
M2M Communication,2G/3G/4G,100 kbps,最长25公里,中,设备间通信、远程控制,Frost & Sullivan,https://www.frost.com/,,
Ultra Reliable Low Latency Communication (URLLC),5G,1 Gbps,最长200米,高,自动驾驶、工业自动化,IEEE Spectrum,https://spectrum.ieee.org/,,
Private LTE,4G,50-150 Mbps,最长15公里,中,企业内部通信、制造业,Telecom Industry Association,https://www.tiaonline.org/,,
NB-IoT,LPWAN,250 kbps,最长10公里,中,智能城市、环境监测,中国信息通信研究院,https://www.caict.ac.cn,,
4G LTE Advanced,4G,1 Gbps,最长50公里,高,高清流媒体、虚拟现实,GSMA,https://www.gsma.com,,
5G NR,5G,2 Gbps,最长300米,高,自动驾驶、智能交通,5G Americas,https://www.5gamericas.org,,
TDD LTE,4G,200 Mbps,最长40公里,中,线上游戏、移动互联网,IEEE Communications Society,https://www.comsoc.org,,
WiMAX,4G,70 Mbps,最长50公里,中,农村宽带、城市热点,WiMAX Forum,https://www.wimaxforum.org,,
Edge Compute 5G,5G,5 Gbps,最长1公里,高,边缘计算、智能制造,CompTIA,https://www.comptia.org,,
LPWAN Sigfox,LPWAN,100 bps,最长50公里,低,物联网、智能表计,Sigfox,https://sigfox.com,,
Fifth Generation FDD,5G,3 Gbps,最长500米,高,增强现实、虚拟现实,ITU,https://www.itu.int,,
V2X,5G,1 Gbps,最长100米,中,车联网、智能交通系统,SAE International,https://www.sae.org,,
3GPP Release 16,5G,增强至10 Gbps,预计最长1公里,中,超低延迟应用、机器通信,3GPP,https://www.3gpp.org,,
E-UTRA,4G,600 Mbps,最长30公里,中,视频会议、宽带接入,OFCOM,https://www.ofcom.org.uk,,
5G SATCOM,5G,50 Mbps,无限,高,全球通信、海洋应用,Satellites Today,https://www.satellite-today.com,,
HSPA Evolution,3.9G,42 Mbps,最长20公里,中,教育、远程学习,Telecom Regulatory Authority,https://www.trai.gov.in,,
Ultra Reliable Low Latency Communications (URLLC),5G,最大1 Gbps,最长500米,高,工业自动化、医疗设备,IEEE Communications Society,https://www.comsoc.org,,
Private LTE,LTE,300 Mbps,最长10公里,高,企业通信、工厂管理,Telecom Industry Association,https://www.tiaonline.org,,
Ethernet over Cellular,4G,100 Mbps,最长20公里,中,企业数据传输、远程监控,FierceWireless,https://www.fiercewireless.com,,
D2D Communication,5G,3 Gbps,最长100米,高,智能设备互联、应急救援,NIST,https://www.nist.gov,,
Ultra Wideband (UWB),未来5G,16 Gbps,最长30米,高,精确定位、智能家居,IEEE,https://www.ieee.org,,
5G NR,5G,10 Gbps,最长500米,高,增强现实、虚拟现实,Redmi,https://www.redmi.com/,,
VoWiFi,4G,最大100 Mbps,不限制,低,WiFi通话、家庭办公,国际电信联盟,https://www.itu.int/,,
NB-IoT,LPWA,250 kbps,最长35公里,低,智能城市、环境监测,华为技术有限公司,https://www.huawei.com,,
4G LTE,4G,最大300 Mbps,最长40公里,中,移动宽带、视频流,中国联通,https://www.chinaunicom.com,,
TDD-LTE,4G,最大150 Mbps,最长20公里,中,商业WiFi、企业服务,中兴通讯,https://www.zte.com.cn,,
Edge Computing 5G,5G,超过500 Gbps,预计最长1公里,高,边缘计算、数据存储,TechCrunch,https://techcrunch.com/,,
S-Band Satellite,卫星,1.2 Mbps,不限制,高,全球通信、远程教育,卫星通信公司,https://www.satellitebiz.com/,,
Fifth Generation Data Network,5G,超过1 Tbps,最长300米,高,智能交通、无人驾驶,IEEE Communications Society,https://www.comsoc.org/,,
IoT 5G,5G,100 Mbps,最长15公里,中,物联网、智能家居,Gartner,https://www.gartner.com/,,
WiFi 6E,WiFi,最大9.6 Gbps,最多300米,中,家庭网络、企业环境,Wi-Fi Alliance,https://www.wi-fi.org/,,
3GPP Release 16,5G,最高达20 Gbps,最长600米,高,未来网络、技术验证,3GPP,https://www.3gpp.org/,,
C-V2X,5G,最高300 Mbps,最长300米,中,车联网、交通管理,国家汽车研究院,https://www.nhtsa.gov/,,
MEC 5G,5G,最大10 Gbps,预计最长1公里,高,边缘计算、实时分析,IDC,https://www.idc.com/,,
Ultra-Reliable Low Latency,5G,可达1 Gbps,最长1公里,高,健康监测、工业自动化,Forrester Research,https://go.forrester.com/,,
FMC,融合通信,最大1 Gbps,最多500米,中,统一通信、企业解决方案,Gartner,https://www.gartner.com/,,
Sub-6 GHz 5G,5G,最大1 Gbps,最长5公里,中,城市网络、农村覆盖,风帆科技,https://fengfan.com/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能停车、智能表计,GSMA,https://www.gsma.com/,,
Edge Computing 5G,5G,10 Gbps,最长500米,中,智能制造、工业物联网,ABI Research,https://www.abiresearch.com/,,
Cat-M1,LPWA,375 kbps,最长15公里,中,可穿戴设备、环境监测,Strategy Analytics,https://www.strategyanalytics.com/,,
TDSCDMA,3G,1 Mbps,最长20公里,中,多媒体信息服务,中国通信研究院,https://www.cai.cn/,,
Wi-Fi 6E,WiFi,9.6 Gbps,最长100米,中,高密度环境WiFi,Wi-Fi Alliance,https://www.wi-fi.org/,,
S-Band LTE,4G,150 Mbps,最长40公里,高,农业监控、环境监测,FCC,https://www.fcc.gov/,,
B5G,Beyond 5G,超过20 Gbps,预计最长3公里,高,智能城市、自动驾驶,ITU,https://www.itu.int/,,
V2X Communication,5G,1 Gbps,不限,高,车联网、无人驾驶,IEEE,https://www.ieee.org/,,
Fixed Wireless Access,5G,1.5 Gbps,最长5公里,中,家庭宽带、乡村接入,Telecom Industry Association,https://www.tiaonline.org/,,
FWA 5G,5G,2 Gbps,最长10公里,中,城市宽带、新兴市场,3GPP,https://www.3gpp.org/,,
Open RAN,5G,10 Gbps,最大50公里,中,灵活部署、经济型网络,O-RAN Alliance,https://o-ran-alliance.org/,,
Localized 5G,5G,1 Gbps,最长200米,中,工厂自动化、智慧园区,Gartner,https://www.gartner.com/,,
LAA,4G,300 Mbps,最长5公里,中,移动数据服务、增强现实,RCR Wireless News,https://www.rcrwireless.com/,,
Extended reality networks,5G,超过10 Gbps,预计最长1公里,高,虚拟现实、增强现实应用,Forrester Research,https://go.forrester.com/,,
Fifth Generation Satellite,Satellite 5G,100 Mbps,不限制,高,全球覆盖、航海通信,SpaceX,https://www.spacex.com/,,
IoT用5G,5G,1 Gbps,最长3公里,低,智能城市、智慧农业,MNOs联合会,https://www.mnos.org/,,
3GPP Rel-17,5G,5 Gbps,预计最长20公里,中,车联网、智能交通,3GPP,https://www.3gpp.org/,,
Quantum Communications,Future Tech,理论无限速,短距离为佳,高,量子计算、安全通信,Nature Communications,https://www.nature.com/ncomms/,,
4G LTE Advanced,4G,1 Gbps,最长50公里,中,移动互联网、高速下载,AT&T,https://www.att.com/,,
NB-IoT,NB-IoT,27 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/nbiot/,,
WiMAX,4G,70 Mbps,最长50公里,中,农村宽带接入、企业网络,IEEE,https://www.ieee.org/,,
5G SA,5G,10 Gbps,最长1公里,高,自动驾驶、工业物联网,Vodafone,https://www.vodafone.com/,,
LAA (License Assisted Access),4G,1 Gbps,最长90米,中,高密度区域网络、企业服务,Cisco,https://www.cisco.com/,,
5G NR,5G,20 Gbps,有限制,高,高话音质量、增强现实,Ericsson,https://www.ericsson.com/,,
2G EDGE,2G,200 kbps,最长40公里,低,基本语音服务、短信,世界银行,https://www.worldbank.org/,,
5G FWA,5G,1 Gbps,最长10公里,中,固定无线接入、家庭宽带,Verizon,https://www.verizon.com/,,
LPWA (Low Power Wide Area),LPWA,0.01-50 kbps,最长30公里,低,智能电表、一体化传感器,Semtech,https://www.semtech.com/,,
OpenRAN,5G,未知,不适用,中,灵活网络架构、供需平衡,Linux Foundation,https://www.linuxfoundation.org/,,
VoNR,5G,最大1 Gbps,最长100公里,中,新一代语音服务,OpenSignal,https://www.opensignal.com/,,
IR-UWB,UWB,超过1 Gbps,约30米,高,室内定位、传感器网络,NXP Semiconductors,https://www.nxp.com/,,
6G Phase One,6G,超100 Gbps,预计能达到500米,高,超高带宽需求的应用、智能交通,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
M2M (Machine to Machine),LPWAN,100 kbps,最长15公里,低,设备监控、远程管理,Telefónica,https://www.telefonica.com/,,
TDD (Time Division Duplex),4G,最大300 Mbps,最长20公里,中,无线宽带、视频监控,华为技术有限公司,https://www.huawei.com,,
Fifth Generation Satellite,Satellite 5G,300 Mbps,无限制,高,全球通信、媒体传输,Global Satellite Companies Association,https://www.gsca.org/,,
DSRC (Dedicated Short-Range Communications),V2X,最大27 Mbps,最长1公里,中,车联网、交通管理,SAE International,https://www.sae.org/,,
NB-IoT,LPWA,250 kbps,最长35公里,低,智能城市、农业监测,华为技术有限公司,https://www.huawei.com,,
5G NR,5G,10 Gbps,最远1000米,高,自动驾驶、远程医疗,中国信息通信研究院,https://www.caict.ac.cn,,
UHF LTE,4G,150 Mbps,最远50公里,中,户外活动、救灾通信,ITU,https://www.itu.int/,,
LTE-U,4G,300 Mbps,最远30公里,中,都市无线网络、车联网,Verizon,https://www.verizon.com/,,
4G LTE-A,4G,1 Gbps,最远40公里,中,高清视频、在线游戏,高通,https://www.qualcomm.com/,,
TDD LTE,4G,500 Mbps,最远25公里,中,家庭宽带、视频流,中兴通讯,https://www.zte.com.cn,,
5G DSS,5G,1 Gbps,最远300米,中,增强现实、虚拟现实,AT&T,https://www.att.com/,,
WiMax,4G,70 Mbps,最长50公里,低,宽带接入、社区网络,IEEE,https://www.ieee.org/,,
5G NR V2X,5G,1 Gbps,不限制,高,车联网、智能交通,Ericsson,https://www.ericsson.com/,,
C-V2X,4G/5G,500 Mbps,最远200米,高,车辆通信、车路协同,华为技术有限公司,https://www.huawei.com,,
SDR-LTE,4G,200 Mbps,最远20公里,中,国防通信、应急响应,中国电信,https://www.chinatelecom.com,,
6G Holographic,6G,超过100 Gbps,预计最长2公里,高,全息通讯、虚拟现实,未来网络技术委员会,https://www.futurenetworks.org/,,
PRN 5G,5G,2 Gbps,最远300米,高,智能制造、云边计算,IEEE Spectrum,https://spectrum.ieee.org/,,
Q-LTE,4G,300 Mbps,最远30公里,低,移动支付、电子商务,Frost & Sullivan,https://www.frost.com/,,
Lora 4G,LPWAN,0.5 kbps - 20 kbps,最长10公里,低,智能家居、环境监测,IoT Analytics,https://iot-analytics.com,,
3GPP Rel-16,5G,5 Gbps,最远100米,高,工业物联网、边缘领域,3GPP,https://www.3gpp.org/,,
TDD 5G,5G,1.5 Gbps,最远250米,中,增强现实、智能交通,Intel,https://www.intel.com/,,
Cellular IoT,5G,1 Mbps,最远20公里,低,智慧校园、环境保护,GSMA,https://www.gsma.com,,
5G NR,5G,1 Gbps,最长1公里,高,智能城市、自动驾驶,GSMA,https://www.gsma.com/,,
NB-IoT,LPWAN,250 kbps,最长30公里,低,智能农田、智能计量,Huawei Technologies,https://www.huawei.com,,
TDS-CDMA,3G,2 Mbps,最长5公里,中,无线视频监控、安全通讯,中国移动,https://www.chinamobileltd.com,,
4G LTE-A,4G,300 Mbps,最长150公里,中,移动宽带、家庭上网,ITU,https://www.itu.int/,,
EDGE,2.75G,384 kbps,最长30公里,低,基础数据传输、短信服务,Frost & Sullivan,https://www.frost.com/,,
Fixed Wireless Access (FWA),5G,100 Mbps,最长15公里,高,农村宽带、企业连通,Cisco,https://www.cisco.com/,,
LTE-U,4G,最大1 Gbps,最长100米,中,高密度场所、公共场所WiFi,Qualcomm,https://www.qualcomm.com/,,
eMTC,LTE,1 Mbps,最长20公里,低,智能设备、医疗监测,GSMA,https://www.gsma.com/,,
WiMAX,4G,40 Mbps,最长50公里,中,固定互联网接入、城市覆盖,ITU,https://www.itu.int/,,
S2G,5G,高达10 Gbps,预计最长500米,高,增强现实、虚拟现实,IEEE Spectrum,https://spectrum.ieee.org/,,
O-RAN,开放式网络,取决于部署,变化大,中,灵活网络结构、未来通信,O-RAN Alliance,https://www.o-ran.org/,,
V2X Communication,5G,最高1 Gbps,最长500米,高,车联网、智能交通,NHTSA,https://www.nhtsa.gov/,,
GSM,2G,最大120 kbps,最长35公里,低,语音通话、短信服务,ITU,https://www.itu.int/,,
Quantum Communication,量子网络,理论上无限,受限于技术,高,安全数据传输、研究,Harvard University,https://www.harvard.edu/,,
Sub-6 GHz 5G,5G,最大3 Gbps,最长1公里,中,宽带接入、商业应用,5G Americas,https://www.5gamericas.org/,,
Massive MIMO,5G,可达10 Gbps,根据环境而定,高,高密度用户区、企业解决方案,Ericsson,https://www.ericsson.com/,,
LPWAN,LPWAN,0.3 kbps - 50 kbps,最长20公里,低,环境监测、资产管理,IoT Analytics,https://iot-analytics.com,,
NB-IoT,LPWA,25 kbps,最长10公里,低,智能停车、环境监测,ZTE,https://www.zte.com.cn/,,
4G LTE,4G,300 Mbps,最长50公里,中,高清流媒体、移动办公,Verizon,https://www.verizon.com/,,
WiMax,4G,70 Mbps,最长30公里,中,无线宽带、企业网络,Sprint,https://www.sprint.com/,,
5G NR,5G,2 Gbps,预计最长500米,高,虚拟现实、增强现实,华为技术有限公司,https://www.huawei.com,,
TDD-LTE,4G,50 Mbps,最长20公里,中,中央城市通信、手机上网,中国联通,https://www.chinaunicom.com/,,
LPWAN,LPWAN,0.1 kbps - 1 kbps,最长20公里,低,智能农业、资产监控,MQTT Analytics,https://mqtt.org/,,
GSM,2G,9.6 kbps,最长35公里,低,基本语音服务、短信服务,国际电信联盟(ITU),https://www.itu.int/,,
Mobile Edge Computing,Edge Computing,取决于5G基础设施,不限制,高,智能交通、边缘分析,Nokia,https://www.nokia.com/,,
V2X,5G,支持低延迟,最长300米,中,车联网、智能城市,车用物联网联盟,http://www.vehicle2x.com/,,
Fixed Wireless Access,5G,1 Gbps,最长5公里,中,家庭互联网、远程办公,AT&T,https://www.att.com/,,
C-V2X,5G,500 Mbps,预期最长1公里,高,智能交通、自动驾驶,中国信息通信研究院,https://www.caict.ac.cn,,
Super 5G,5G,超过20 Gbps,预计最长1.5公里,高,高容量应用、全息投影,Taiwan Semiconductor Manufacturing Company,https://www.tsmc.com/,,
GFAST,4G,超过1 Gbps,有效距离500米,中,住宅宽带、数据中心,Telefónica,https://www.telefonica.com/,,
Ultra-Wideband (UWB),多种,600 Mbps,大约30米,中,精准定位、汽车钥匙,Apple,https://www.apple.com/,,
Private 5G Networks,5G,高达10 Gbps,预计最长2公里,高,企业私有网络、智能制造,Cisco,https://www.cisco.com/,,
Silicon Photonics,光子技术,超过500 Gbps,不限制,高,高性能数据中心、超高速网络,IBM,https://www.ibm.com/,,
