网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注
高效率卫星导航系统,全球定位系统,多频点支持,北斗卫星系统,2022-12-25,国家航天局,中国卫星导航系统管理办公室,交通运输单位,航天科技进步报告,https://www.beidou.gov.cn,,
未来工业自动化系统,工业通信系统,物联网连接,西门子,2023-04-19,西门子公司,西门子股份公司,制造业,工业和信息化部,https://www.siemens.com,,
全球车联网平台,移动通信系统,高带宽连接,特斯拉,2023-09-08,特斯拉,特斯拉汽车公司,普通用户,汽车技术论坛,https://www.tesla.com,,
多模态通信平台,多媒体通信,视频音频流,Zoom,2022-06-30,Zoom Video Communications,Zoom视频通讯公司,企业及个人用户,远程工作科研报告,https://zoom.us,,
动态内容分发网络,内容交付系统,CDN服务,Cloudflare,2023-07-25,Cloudflare Inc.,Cloudflare公司,网站拥有者,网络安全技术论坛,https://www.cloudflare.com,,
先进无人机通信系统,无人机通信,自适应导航,大疆科技,2023-11-20,DJI,大疆创新科技有限公司,航空及摄影行业,航空航天技术研究,https://www.dji.com,,
虚拟现实远程协作系统,虚拟现实通信,实时互动,Facebook Reality Labs,2022-05-05,Meta Platforms,脸书技术公司,企业及开发者,虚拟现实应用研究,https://www.metaverse.com,,
云原生网络服务平台,云计算系统,微服务架构,谷歌云,2023-08-30,Google Cloud,谷歌公司,企业和开发者,云计算行业报告,https://cloud.google.com,,
全面城市监控系统,安全通信系统,智能视频分析与识别,海康威视,2023-04-25,海康威视,杭州海康威视数字技术股份有限公司,政府与公共服务,市场研究报告,https://www.hikvision.com,,
全球优质互联网接入服务,宽带通信系统,卫星和光纤组合,Starlink,2023-06-10,SpaceX,Space Exploration Technologies Corp,偏远地区用户,国际通信网络安全协会,https://www.starlink.com,,
瑞士5G城市网络,移动通信系统,5G NR,Swisscom,2023-08-15,Swisscom,Swisscom AG,普通用户,瑞士通信监管局,https://www.swisscom.ch,,
近场通信系统,无线通信系统,NFC,NXP Semiconductors,2023-09-20,NXP,恩智浦半导体有限公司,移动支付用户,电子消费市场分析,https://www.nxp.com,,
智能家居控制网络,物联网通信,Zigbee,Nest Labs,2023-03-05,Google,谷歌控股公司,家庭用户,智能家居技术杂志,https://nest.com,,
智能制造IoT平台,工业物联网,LoRaWAN,施耐德电气,2023-01-15,Schneider Electric,施耐德电气公司,制造业,工业4.0研究机构,https://www.se.com,,
亚马逊云通信网络,云计算系统,AWS CloudFront,亚马逊,2023-02-11,Amazon Web Services,亚马逊公司,开发者与企业,市场分析报告,https://aws.amazon.com,,
低延迟通信网络,移动通信系统,5G Edge Computing,AT&T,2023-07-05,AT&T,AT&T Inc.,普通用户,美国通信委员会,https://www.att.com,,
智能交通信号控制网络,智慧城市应用,V2I通信,西门子,2023-03-20,Siemens,西门子股份公司,城市交通管理,交通技术研究所,https://www.siemens.com,,
可穿戴健康监测网络,物联网通信,低功耗蓝牙,Fitbit,2023-01-30,Google,谷歌控股公司,健康监测用户,行业健康分析,https://www.fitbit.com,,
地铁乘客信息系统,公共交通通信,实时数据分析,阿尔斯通,2023-09-10,Alstom,阿尔斯通公司,公共交通乘客,交通运输信息中心,https://www.alstom.com,,
卫星定位导航网络,定位与导航,GNSS,华为,2023-05-18,Huawei,华为技术有限公司,交通运输与物流,国家航天局,https://www.huawei.com,,
禁止入侵监控网络,安全通信系统,入侵检测与响应,赛门铁克,2023-06-22,Cybersecurity Solutions,赛门铁克公司,关键基础设施,网络安全报告,https://www.broadcom.com,,
数字营销通信平台,数字通信,多渠道集成,Salesforce,2023-08-01,Salesforce,"Salesforce.com, Inc.",商业用户,通讯行业资讯,https://www.salesforce.com,,
边缘智慧物流网络,物联网通信,实时监控和分析,IBM,2023-02-10,IBM,国际商业机器公司,物流与仓储,物流与供应链协会,https://www.ibm.com,,
区块链通信平台,安全通信系统,分布式账本技术,Ripple,2023-03-14,Ripple Labs,Ripple Labs Inc.,金融交易与服务,财经科技新闻,https://ripple.com,,
低延迟云游戏系统,云计算系统,流媒体技术,Nvidia,2023-08-30,Nvidia,Nvidia Corporation,游戏用户,游戏技术发展报告,https://www.nvidia.com,,
智能农业传感网络,物联网通信,传感器网络,华为技术有限公司,2023-08-01,华为,华为技术有限公司,农场主,农业科技研究所,https://www.huawei.com/,,
智能家居管理系统,家庭自动化系统,语音控制,小米科技,2023-06-15,小米,小米科技有限公司,家庭用户,智能家居协会,https://www.mi.com/,,
量子计算通信系统,量子通信,后量子加密,IBM,2023-05-25,IBM,IBM Corporation,科研机构与企业,国际量子计算报告,https://www.ibm.com/,,
车联网通信系统,车载通信系统,5G-V2X,德尔福科技,2023-09-10,德尔福,德尔福科技有限公司,汽车制造商,汽车联网研究中心,https://www.delphi.com/,,
智能城市光纤网络,城市通信系统,光纤到户,电信台,2023-04-22,电信,电信集团,城市居民,城市发展论坛,https://www.telecom.com/,,
AI驱动的网络安全系统,安全通信系统,深度学习,赛门铁克,2023-07-05,赛门铁克,赛门铁克公司,企业用户,网络安全研究中心,https://www.symantec.com/,,
高效数据中心网络,数据中心通信,高带宽互联网交换,亚马逊AWS,2023-03-15,亚马逊,亚马逊网络服务,云计算用户,云计算市场报告,https://aws.amazon.com/,,
北极宽带卫星系统,卫星通信,超高频,Dish Network,2023-08-30,Dish,Dish Network Corporation,偏远地区用户,联邦通信委员会,https://www.dish.com/,,
卫星物联网网络,物联网通信,全球覆盖,Iridium Communications,2023-07-20,Iridium,Iridium Communications Inc.,渔业与航运,国际物联网协会,https://www.iridium.com/,,
区块链通信系统,分布式通信,去中心化网络,区块链公司,2023-09-01,区块链公司,区块链科技有限公司,金融服务行业,技术创新协会,https://www.blockchain.com/,,
跨境光纤网络,长途通信系统,光纤链路,BT Group,2023-01-15,BT,British Telecommunications plc,国际企业,国际通信联盟,https://www.bt.com/,,
微波通信系统,短途通信系统,微波频段,Ericsson,2023-02-10,Ericsson,博通公司,移动服务提供商,通信科学研究院,https://www.ericsson.com/,,
5G室内分布系统,无线通信系统,增强覆盖,T-Mobile,2023-06-27,T-Mobile,"T-Mobile US, Inc.",商场与办公楼,国际电信研究室,https://www.t-mobile.com/,,
智能交通数据整合系统,交通管理系统,数据分析,Thales Group,2023-05-11,Thales,Thales Group,市政管理,交通安全监察局,https://www.thalesgroup.com/,,
高速卫星互联网,卫星通信,低延迟,SpaceX,2023-04-05,SpaceX,"SpaceX, Inc.",全球用户,全球卫星通信协会,https://www.spacex.com/,,
6G移动通信原型系统,移动通信系统,初步研发,中国移动,2023-03-30,中国移动,中国移动通信集团有限公司,科研单位,通信技术研究院,https://www.chinamobileltd.com/,,
SDN网络控制平台,网络管理系统,软件定义网络,思科系统,2023-02-25,思科,"Cisco Systems, Inc.",企业IT部门,网络管理大会,https://www.cisco.com/,,
新一代移动支付通信系统,金融通信,安全支付,支付宝,2023-09-20,支付宝,蚂蚁集团,普通消费者,金融技术协会,https://www.alipay.com/,,
智能家居管理系统,物联网系统,Home Automation,小米科技,2023-08-15,小米,小米科技有限公司,家庭用户,技术产业报道,http://www.mi.com/,,
全球卫星定位网,卫星通信网络,GPS和GNSS,全球定位系统公司,2022-10-05,GPS Corp,全球定位系统有限公司,运输和物流,国际航天局,https://www.nasa.gov/,,
智能医疗监测网络,健康通信系统,远程监测,杭州微医疗,2023-03-22,杭州微医,杭州微医疗技术有限公司,医疗机构,中国医疗协会,http://www.cma.org.cn/,,
光网络接入系统,固定通信系统,GPON,中国联合网络通信有限公司,2023-01-10,中国联通,中国联合网络通信资源有限公司,普通用户,中国通信研究院,http://www.chinaunicom.com/,,
未来城市5G网络,移动通信系统,5G NR,中国移动,2023-04-13,中国移动通信集团,中国移动通信股份有限公司,市民与商家,最新通信报告,http://www.chinamobileltd.com/,,
智慧农业网络,物联网解决方案,农业监测,中兴通讯,2022-12-01,中兴,中兴通讯股份有限公司,农业企业,农业部,http://www.moa.gov.cn/,,
增强现实内容分发网络,多媒体传输系统,AR/VR应用,字节跳动,2023-08-05,字节跳动公司,字节跳动科技有限公司,内容创作者,数字媒体协会,https://www.bytedance.com/,,
新一代无线通信系统,无线通信,自动频谱分配,高通,2023-09-20,高通公司,高通技术公司,全球用户,行业分析报告,https://www.qualcomm.com/,,
车联网通信系统,智慧交通系统,C-V2X,百度,2023-06-05,百度公司,百度搜索引擎有限公司,汽车制造商,中国交通运输部,http://www.baidu.com/,,
跨境数据传输平台,数据通信系统,加密数据通道,阿里巴巴,2023-07-28,阿里云,阿里巴巴集团控股有限公司,跨国企业,国际电信联盟,https://www.alibabagroup.com/,,
智能健身跟踪网络,健康监测系统,穿戴式设备,Fitbit,2023-09-01,Fitbit Inc.,Fitbit科技公司,健身爱好者,健康科技协会,https://www.fitbit.com/,,
智能教育网络,教育信息化系统,在线课程管理,字节跳动,2023-06-25,抖音,字节跳动教育科技有限公司,学校与教育机构,教育部,https://www.weiping.com/,,
抗干扰通信网络,军事通信系统,安全加密,中电科技集团,2022-11-15,中电科技,中国电子科技集团公司,军方与国防,国防科技部,http://www.cetc.com.cn/,,
区块链通信平台,去中心化通信,分布式账本,美国区块链公司,2023-05-27,Blockchain Corp,区块链桥科技有限公司,开发者与企业用户,区块链技术协会,http://www.blockchain.com/,,
智能城市管理云平台,智慧城市系统,云计算与数据分析,IBM,2023-08-30,IBM Corp,国际商业机器有限公司,城市管理者,城市发展委员会,http://www.ibm.com/,,
高速互联网接入网络,固定通信系统,光纤与DSL,AT&T,2023-04-18,AT&T Inc.,AT&T公司,居民与企业,美国联邦通信委员会,http://www.att.com/,,
智能家居通信系统,物联网通信,Zigbee标准,小米科技,2023-08-18,小米,小米集团有限公司,家庭用户,智能家居行业报告,http://www.mi.com,,
5G私有网络,移动通信系统,5G NR,诺基亚,2023-11-10,Nokia,诺基亚公司,大企业,行业分析报告,https://www.nokia.com,,
高效卫星通信系统,卫星通信,多频段转发,Eutelsat,2022-09-05,Eutelsat,Eutelsat Communications,专业服务用户,国际通信卫星组织,https://www.eutelsat.com,,
跨境光纤网络,国际通信系统,Submarine Fiber,中国联通,2021-12-15,中国联通,中国联通股份有限公司,国际业务用户,全球电信报告,http://www.chinaunicom.com,,
远程医疗网络系统,医疗通信系统,数据传输标准,华大基因,2023-03-22,华大,华大基因技术有限公司,医疗机构,中国医学协会,http://www.bgi.com,,
Wi-Fi 6增强网络,无线通信系统,802.11ax,华为技术有限公司,2023-05-04,华为,华为技术有限公司,教育与企业用户,IEEE标准发布,https://www.huawei.com,,
智慧农业监控系统,物联网通信,LPWAN,阿里云,2023-01-15,Alibaba Cloud,阿里巴巴集团,农业用户,农业科技论坛,https://www.aliyun.com,,
全球卫星互联网,卫星通信,低轨道卫星,SpaceX,2022-04-14,Starlink,Space Exploration Technologies Corp.,全球用户,太空通信协会,https://www.spacex.com,,
国家紧急通信网络,应急通信系统,集成通信平台,AT&T,2023-02-28,AT&T,AT&T Inc.,公共安全组织,政府通信平台,https://www.att.com,,
智能物流管理系统,物联网通信,GPS与RFID,顺丰速运,2023-06-10,顺丰,顺丰控股股份有限公司,物流公司,物流行业期刊,http://www.sf-express.com,,
2023世界杯足球赛事直播平台,多媒体通信,高清直播技术,腾讯影业,2023-11-01,腾讯,腾讯控股有限公司,体育爱好者,体育传媒发布,https://www.tencent.com,,
可穿戴健康监控网络,医疗通信系统,实时数据传输,Fitbit,2023-07-05,Google,Fitbit LLC,个人用户,健康科技展会,https://www.fitbit.com,,
智慧城市网络架构,城市通信系统,光纤与低延迟,思科系统,2023-04-22,Cisco,思科系统有限公司,城市管理者,城市规划研究所,https://www.cisco.com,,
光纤接入网络,固定通信系统,FTTH,法国电信,2023-03-01,Orange,Orange S.A.,家庭与个人用户,欧洲电信联盟,https://www.orange.com,,
IPV6全面升级系统,网络通信系统,IPv4转IPv6,腾讯云,2023-09-05,腾讯云,腾讯云计算有限公司,各类企业,云计算趋势报告,https://cloud.tencent.com,,
智能电网监控网络,能源通信系统,实时监控与管理系统,国网公司,2022-08-30,国家电网,国家电网公司,电力公司,能源研究院,http://www.sgcc.com.cn,,
智能建筑通信系统,建筑物联网,综合布线与网络接入,ABB中国,2023-10-12,ABB,ABB集团,建筑设计师,建筑技术杂志,https://global.abb,,
智能家居控制网,物联网通信,Zigbee,小米科技,2023-06-15,小米,小米集团,家庭用户,智能家居研究报告,http://www.mi.com,,
高速4G LTE网络,移动通信系统,LTE Advanced,中国联通,2021-04-21,中国联通,中国联合网络通信有限公司,普通用户,中国电信行业报告,https://www.chinaunicom.com,,
北极互联网接入项目,卫星通信,低地轨道卫星,星链,2023-01-05,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,北极研究中心,https://www.spacex.com,,
日本超高速光纤网,固定通信系统,光纤到户,NTT,2022-08-11,NTT Communications,日本电信电话公司,家庭及企业,日本通信研究所,https://www.ntt.com,,
