基础结构（字符型）,上行带宽（字符型）,下行带宽（字符型）,抗氢老化稳定性（字符型）,采集来源,来源链接,采集时间,备注
低轨卫星通信,15 Mbps,200 Mbps,中,OneWeb,https://www.oneweb.world,,
数字用户线（ADSL）,1 Mbps,24 Mbps,低,中国移动,https://www.chinamobile.com,,
Wi-Fi 5,400 Mbps,3.2 Gbps,中,网络世界,https://www.networkworld.com,,
博物馆无线网络,50 Mbps,500 Mbps,高,文化和旅游部,https://www.mct.gov.cn,,
光纤分布式天线系统（DAS）,10 Mbps,1 Gbps,高,IEEE通信学会,https://www.comsoc.org,,
CMTS有线调制解调器,50 Mbps,800 Mbps,中,有线电视协会,https://www.ncta.com,,
新型无线光通信,25 Mbps,200 Mbps,高,清华大学,https://www.tsinghua.edu.cn,,
人工智能驱动的流量管理,未提供,未提供,高,思科系统,https://www.cisco.com,,
802.11ax（Wi-Fi 6）,1.2 Gbps,9.6 Gbps,中,英特尔,https://www.intel.com,,
基于云的网络优化,100 Mbps,1 Gbps,高,云计算协会,https://www.cloudcomputingassociation.org,,
区块链网络,5 Mbps,50 Mbps,中,区块链研究所,https://www.blockchainresearch.org,,
量子通信网络,未提供,未提供,高,国际量子通信研究中心,http://www.iqcc.org,,
混合网技术,80 Mbps,500 Mbps,高,光纤通信协会,https://www.ofa.com,,
社区宽带网络,30 Mbps,300 Mbps,中,国家信息中心,https://www.nic.gov.cn,,
自组织无线网络,50 Mbps,150 Mbps,低,无线网络研究中心,https://www.wirelessnetworks.org,,
光纤到户 (FTTH),300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
5G固定无线接入,100 Mbps,500 Mbps,中,中国联通,https://www.chinaunicom.com,,
有线电视网 (CATV),30 Mbps,300 Mbps,低,华数传媒,http://www.wasu.cn,,
城域网 (MAN),1 Gbps,1 Gbps,中,中信网络,http://www.citicnet.com,,
双频Wi-Fi 6,500 Mbps,4.8 Gbps,高,小米科技,https://www.mi.com,,
光纤复用接入,10 Gbps,10 Gbps,高,电信研究院,http://www.catr.cn,,
卫星宽带,15 Mbps,100 Mbps,中,Eutelsat,https://www.eutelsat.com,,
Token Ring网络,10 Mbps,10 Mbps,低,IBM,https://www.ibm.com,,
FMC网络,250 Mbps,1.5 Gbps,高,中国移动,https://www.chinamobileltd.com,,
移动光纤接入,200 Mbps,500 Mbps,中,给力宽带,http://www.geili.com,,
混合光纤同轴 (HFC),250 Mbps,1.2 Gbps,高,光纤技术协会,https://www.ofc.org,,
无线局域网 (WLAN),80 Mbps,600 Mbps,中,华为技术,https://www.huawei.com,,
移动宽带 4G,50 Mbps,150 Mbps,低,中国联通,https://www.chinaunicom.com,,
光纤接入网 (PON),150 Mbps,2.5 Gbps,高,FTTH Council,https://www.ftthcouncil.org,,
长距离光纤通信,500 Mbps,5 Gbps,高,全球光纤网,https://www.globalfiber.com,,
自组织网络 (SON),40 Mbps,250 Mbps,中,移动互联网部门,https://www.mobileinternets.org,,
数据中心网络,10 Gbps,10 Gbps,高,阿里云,https://www.aliyun.com,,
光纤到大楼 (FTTB),500 Mbps,1 Gbps,高,国际电信联盟,https://www.itu.int,,
光纤到户 (FTTH),300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
有线电视网络（HFC）,50 Mbps,600 Mbps,中,中国广电,https://www.cbo.gov.cn/,,
光纤通道,4 Gbps,8 Gbps,高,思科系统,https://www.cisco.com/,,
城市5G基站,200 Mbps,1.5 Gbps,高,中国移动,https://www.chinamobile.com/,,
光纤交换,500 Mbps,2 Gbps,高,华为技术,https://www.huawei.com/,,
4G LTE,75 Mbps,400 Mbps,中,中国联通,https://www.chinaunicom.com/,,
超级宽带,1 Gbps,10 Gbps,高,电信研究院,https://www.tra.gov.cn/,,
微波传输,30 Mbps,300 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
卫星光纤桥接,15 Mbps,200 Mbps,中,SpaceX Starlink,https://www.starlink.com/,,
全光网络,600 Mbps,3 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
双向高速数据链路,200 Mbps,800 Mbps,高,阿里云,https://www.aliyun.com/,,
线缆调制解调器,35 Mbps,150 Mbps,中,搜狐科技,https://www.sohu.com/,,
纳米传输网络,特定,特定,高,清华大学,https://www.tsinghua.edu.cn/,,
城际光纤,900 Mbps,4 Gbps,高,Fiber Optic Association,https://www.foa.org,,
云计算接入,50 Mbps,500 Mbps,高,IT之家,https://www.ithome.com/,,
5G边缘计算,100 Mbps,1 Gbps,中,达闻科技,https://www.dawan.com/,,
超宽带网络,1 Gbps,5 Gbps,高,高通,https://www.qualcomm.com/,,
点对点光纤连接,200 Mbps,2 Gbps,高,中国广电,https://www.cbo.gov.cn/,,
光纤到户 (FTTH),300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
3G网络,2 Mbps,7.2 Mbps,中,中国移动,https://www.chinamobileltd.com,,
Wi-Fi 5,1.3 Gbps,3.5 Gbps,中,华为技术,https://www.huawei.com,,
微波接入,100 Mbps,400 Mbps,中,中兴通讯,https://www.zte.com.cn,,
光纤宽带接入,500 Mbps,2 Gbps,高,电信研究院,https://www.cai.gov.cn,,
VSAT卫星通信,1 Mbps,25 Mbps,高,卫星通信协会,https://www.satcom.org,,
边缘计算网络,200 Mbps,800 Mbps,中,阿里云,https://www.aliyun.com,,
低轨卫星互联网,30 Mbps,200 Mbps,高,OneWeb,https://www.oneweb.world,,
4G LTE,50 Mbps,150 Mbps,中,中国联通,https://www.chinaunicom.com,,
中继波分复用 (DWDM),10 Gbps,40 Gbps,高,全球光通信协会,https://www.gfoa.org,,
卫星互联网,5 Mbps,100 Mbps,高,SpaceX Starlink,https://www.starlink.com,,
Wi-Fi 6E,2 Gbps,9.6 Gbps,中,IT之家,https://www.ithome.com,,
光纤不对称接入,125 Mbps,650 Mbps,高,国际电信联盟,https://www.itu.int,,
有线电视接入,20 Mbps,400 Mbps,中,光纤协会,https://www.foa.org,,
跨海光缆,10 Tbps,15 Tbps,高,国际海底电缆协会,https://www.submarcom.com,,
微波回传网络,50 Mbps,500 Mbps,中,Edinburghtel,https://www.edinburghtel.com,,
5G毫米波技术,1 Gbps,10 Gbps,高,会智网,https://www.khweb.com,,
低延迟宽带,300 Mbps,600 Mbps,高,FAST网络,https://www.fast.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
Docis 3.1,50 Mbps,1.2 Gbps,中,康宁网络,https://www.corning.com,,
以太网接入（EPON）,1 Gbps,1 Gbps,高,中兴通讯,https://www.zte.com.cn,,
PON（无源光网络）,200 Mbps,2 Gbps,高,友讯科技,https://www.dlink.com,,
LPWAN,10 Kbps,10 Kbps,低,物联网中国,https://www.iotworld.com,,
Wi-Fi 5,400 Mbps,3.5 Gbps,中,Netgear,https://www.netgear.com,,
窄带物联网（NB-IoT）,100 Kbps,100 Kbps,中,世界移动通信集团,https://www.gsma.com/,,
光纤宽带,150 Mbps,600 Mbps,高,联通研究院,https://www.chinaunicom.com/,,
LTE网络,50 Mbps,300 Mbps,中,高通公司,https://www.qualcomm.com/,,
无线电频谱接入,30 Mbps,200 Mbps,低,IEEE,https://www.ieee.org/,,
XG-PON,1.5 Gbps,10 Gbps,高,Fiber Optic Magazine,https://www.fiberopticsonline.com/,,
4G网络,20 Mbps,100 Mbps,中,中国移动研究院,https://www.chinamobileltd.com/,,
低轨卫星网络,40 Mbps,200 Mbps,中,OneWeb,https://www.oneweb.world/,,
DLS（动态光纤接入）,2 Gbps,4 Gbps,高,阿里巴巴,https://www.alibaba.com/,,
Wi-Fi 7,2 Gbps,30 Gbps,高,IEEE 802.11 Working Group,https://www.ieee802.org/11/,,
星链互联网,50 Mbps,300 Mbps,中,SpaceX,https://www.spacex.com/,,
WiMAX,15 Mbps,70 Mbps,低,Sprint,https://www.sprint.com/,,
Mesh网络技术,100 Mbps,800 Mbps,中,家庭网络解决方案,https://www.homesolutions.com/,,
空间光网络,1 Gbps,10 Gbps,高,MIT研究所,https://www.mit.edu/,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatel.com,,
光纤增强无线路由器,500 Mbps,2 Gbps,高,小米科技,https://www.mi.com,,
Wi-Fi 6E,1.2 Gbps,10 Gbps,中,Cisco,https://www.cisco.com,,
移动宽带,50 Mbps,150 Mbps,中,中国联通,https://www.chinaunicom.com,,
以太网光纤,1 Gbps,1 Gbps,高,华为技术,https://www.huawei.com,,
卫星宽带,25 Mbps,150 Mbps,中,中国卫通,https://www.chinasatcom.com,,
低地球轨道卫星网络,50 Mbps,200 Mbps,高,OneWeb,https://www.oneweb.world,,
Marcanto网络,10 Mbps,80 Mbps,低,地产通,https://www.realestate.com,,
XG-PON,1.25 Gbps,10 Gbps,高,光纤时代,https://www.fiberoptic.com,,
5G NR,60 Mbps,1.5 Gbps,高,移动互联网研发中心,https://www.mic.gov.cn,,
以太网超高速传输,10 Gbps,10 Gbps,高,阿里巴巴,https://www.alibaba.com,,
多媒体宽带接入,15 Mbps,80 Mbps,中,腾讯科技,https://www.tencent.com,,
光纤环网,300 Mbps,2 Gbps,高,中兴通讯,https://www.zte.com.cn,,
智能高速光纤,5 Gbps,20 Gbps,高,诺基亚,https://www.nokia.com,,
无线接入网,30 Mbps,180 Mbps,中,Dish Network,https://www.dish.com,,
4G LTE,50 Mbps,300 Mbps,中,Verizon,https://www.verizon.com,,
智能城市宽带,300 Mbps,1 Gbps,高,IBM Smart City,https://www.ibm.com/smarterplanet,,
Wi-Fi Mesh网络,1 Gbps,6 Gbps,中,TP-Link,https://www.tp-link.com,,
城市光纤网络,200 Mbps,800 Mbps,高,华盛顿城市发展局,https://wdc.gov,,
光纤到户（FTTH）,500 Mbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
多用户避免冲突辅助接入（MU-MIMO）,400 Mbps,1.5 Gbps,中,中兴通讯,https://www.zte.com.cn,,
接入光纤网络（PON）,1 Gbps,10 Gbps,高,中国移动,https://www.chinamobile.com,,
无线光纤接入（WOLP）,75 Mbps,300 Mbps,中,阿里巴巴集团,https://www.alibaba.com,,
自组织网络（SON）,60 Mbps,250 Mbps,低,华为技术,https://www.huawei.com,,
光纤+mimo技术复合接入,100 Mbps,500 Mbps,高,清华大学,https://www.tsinghua.edu.cn,,
移动边缘计算网络,150 Mbps,700 Mbps,中,中国联通,https://www.chinaunicom.com,,
基于传播模式的无线网络（MIMO）,90 Mbps,450 Mbps,中, 腾讯科技,https://www.tencent.com,,
新型车载网络,20 Mbps,100 Mbps,低,百度研究院,https://www.baidu.com,,
1 Gbps 高频路由接入,500 Mbps,1 Gbps,高,高通公司,https://www.qcom.com,,
基于量子通信的网络,特定,特定,高,中国科技大学,https://www.ustc.edu.cn,,
卫星链路移动态接入,25 Mbps,250 Mbps,中,中国空间技术研究院,https://www.casc.cn,,
智能隧道网络,10 Mbps,75 Mbps,高,西安交通大学,https://www.xjtu.edu.cn,,
声光电综合接入网络,8 Mbps,40 Mbps,低,中国科学院,http://www.cas.cn,,
自适应无线接入网,300 Mbps,1.2 Gbps,高,联想创投,https://www.lenovoventure.com,,
网状网络接入（Mesh Networking）,60 Mbps,325 Mbps,中,蓝牙技术联盟,https://www.bluetooth.com,,
光纤无源分配网络（PON）,150 Mbps,1 Gbps,高,国际电信联盟,https://www.itu.int,,
多频段宽带接入技术,35 Mbps,300 Mbps,中,五粮液公司,http://www.wuliangye.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
光纤网络,500 Mbps,2 Gbps,高,网易科技,https://tech.163.com,,
4G LTE网络,50 Mbps,150 Mbps,中,中国联通,https://www.chinaunicom.com,,
毫米波5G,250 Mbps,2 Gbps,高,高通公司,https://www.qualcomm.com,,
DSL网络,10 Mbps,50 Mbps,中,搜狐科技,https://www.sohu.com,,
混合光纤同轴电缆（HFC）,100 Mbps,300 Mbps,高,CableLabs,https://www.cablelabs.com,,
边缘计算网络,150 Mbps,1.5 Gbps,高,IBM,https://www.ibm.com,,
无线城域网,20 Mbps,100 Mbps,中,华为技术,https://www.huawei.com,,
光纤所至,1 Gbps,1 Gbps,高,中国信息通信研究院,https://www.caict.ac.cn,,
卫星宽带互联网,25 Mbps,100 Mbps,中,NASA,https://www.nasa.gov,,
动态频谱共享（DSS）,30 Mbps,120 Mbps,中,Verizon,https://www.verizon.com,,
Wi-Fi 6E网络,1 Gbps,9.6 Gbps,高,Netgear,https://www.netgear.com,,
以太网光纤接入,10 Gbps,10 Gbps,高,阿里云,https://www.aliyun.com,,
超宽带技术,250 Mbps,2 Gbps,高,Cisco,https://www.cisco.com,,
多频段Wi-Fi网络,300 Mbps,1 Gbps,中,TP-Link,https://www.tp-link.com,,
下一代移动网络（NGMN）,200 Mbps,800 Mbps,高,德国电信,https://www.telekom.com,,
超低延迟网络,100 Mbps,500 Mbps,中,AT&T,https://www.att.com,,
光纤到户 (FTTH),300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
4G LTE,50 Mbps,150 Mbps,中,中国移动,https://www.chinamobileltd.com,,
村通宽带,10 Mbps,20 Mbps,低,中国农村电信,https://www.ruraltelecom.cn,,
DSL接入,5 Mbps,50 Mbps,中,美国AT&T,https://www.att.com,,
专线宽带,1 Gbps,1 Gbps,高,腾达科技,https://www.tenda.cn,,
Wi-Fi 5,600 Mbps,3.5 Gbps,中,小米科技,https://www.mi.com,,
毫米波5G,300 Mbps,1.5 Gbps,高,高通公司,https://www.qualcomm.com,,
光纤到大楼 (FTTB),500 Mbps,2 Gbps,高,香港宽频网络,https://www.hkfibre.com,,
LTE-A,100 Mbps,400 Mbps,高,韩国SK Telecom,https://www.sktelecom.com,,
量子通信,特定,特定,高,中国科学院,https://www.cas.cn,,
卫星宽带,50 Mbps,100 Mbps,低,Inmarsat,https://www.inmarsat.com,,
以太网络,10 Gbps,10 Gbps,高,思科系统,https://www.cisco.com,,
便携式宽带,20 Mbps,100 Mbps,中,HMD Global,https://www.hmdglobal.com,,
陆地基站,400 Mbps,3 Gbps,高,爱立信,https://www.ericsson.com,,
混合光纤同轴电缆 (HFC),200 Mbps,800 Mbps,中,高歌网络,https://www.hgtech.com,,
区域宽带,25 Mbps,150 Mbps,低,中国网通,https://www.chinanet.com,,
全向无线网络,15 Mbps,100 Mbps,中,中国联通,https://www.chinaunicom.com,,
边缘计算网络,1 Gbps,5 Gbps,高,IBM,https://www.ibm.com,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
LTE网络,50 Mbps,300 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
光纤通道（FC）,16 Gbps,16 Gbps,高,IEEE Standards Association,https://standards.ieee.org/,,
高速无线网（Wi-Fi 6E）,1.2 Gbps,9.6 Gbps,中,TP-Link,https://www.tp-link.com/,,
光纤接入网（PON）,1 Gbps,2.5 Gbps,高,中国广电,https://www.chinanet.gov.cn/,,
5G毫米波网络,300 Mbps,1.5 Gbps,高,高通,https://www.qualcomm.com/,,
有线电视网（HFC）,30 Mbps,500 Mbps,中,英国BT,https://www.bt.com/,,
长途光缆系统,高于 10 Gbps,高于 10 Gbps,高,国际电信联盟,https://www.itu.int/,,
宽带卫星系统,25 Mbps,300 Mbps,中,Eutelsat,https://www.eutelsat.com/,,
边缘计算网络,10 Gbps,20 Gbps,高,亚马逊云计算,https://aws.amazon.com/,,
低功耗广域网（LPWAN）,5 Kbps,不适用,低,LoRa Alliance,https://lora-alliance.org/,,
固定无线接入,100 Mbps,300 Mbps,中,美国Verizon,https://www.verizon.com/,,
直连光纤,1 Gbps,3 Gbps,高,阿里巴巴集团,https://www.alibaba.com/,,
5G NR网络,200 Mbps,1 Gbps,高,爱立信,https://www.ericsson.com/,,
双向卫星通信,15 Mbps,350 Mbps,中,Telesat,https://www.telesat.com/,,
自组织网络（SON）,不适用,不适用,高,诺基亚,https://www.nokia.com/,,
混合光纤同轴（HFC）,100 Mbps,600 Mbps,中,康宁公司,https://www.corning.com/,,
光纤接入,100 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
LTE网络,50 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com/,,
光纤到户（FTTH）,300 Mbps,1.5 Gbps,高,华为技术,https://www.huawei.com,,
无线网状网络,150 Mbps,600 Mbps,中,《科学美国人》,https://www.scientificamerican.com/,,
以太网光纤,10 Gbps,10 Gbps,高,IEEE Spectrum,https://spectrum.ieee.org/,,
NB-IoT网络,30 Mbps,120 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
无线路由,200 Mbps,1 Gbps,低,小米科技,https://www.mi.com,,
蓝牙5.0,2 Mbps,2 Mbps,中,科技日报,https://www.stdaily.com/,,
4G网络,20 Mbps,150 Mbps,高,UCN,https://www.ucn.com/,,
Wi-Fi Mesh,500 Mbps,3 Gbps,高,zdnet,https://www.zdnet.com/,,
光纤数据中心,1 Gbps,10 Gbps,高,数据中心知识网,https://datacenterknowledge.com/,,
Open RAN,75 Mbps,400 Mbps,中,Mobile World Live,https://www.mobileworldlive.com/,,
量子通信,特定,特定,高,中国科学院,http://www.cas.cn/,,
802.11ax,1 Gbps,10 Gbps,中,IT之家,https://www.ithome.com/,,
低空卫星网络,24 Mbps,1 Gbps,高,Astroscale,https://www.astroscale.com/,,
微波通信,10 Mbps,200 Mbps,中,中国科学技术信息研究所,http://www.castii.org.cn/,,
巨大光波导,5 Gbps,50 Gbps,高,科研前沿,https://www.researchgate.net/,,
5G毫米波,400 Mbps,2 Gbps,高,卫星应用,https://www.satnews.com/,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,中国电信,https://www.chinaunicomm.com/,,
混合光纤同轴（HFC）,50 Mbps,300 Mbps,中,长江通讯,https://www.cytc.com/,,
4G LTE,80 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com/,,
未来网络架构,10 Gbps,10 Gbps,高,腾讯云,https://cloud.tencent.com/,,
Wi-Fi 7,2 Gbps,30 Gbps,中,英特尔,https://www.intel.com/,,
卫星互联网（低地轨道）,30 Mbps,150 Mbps,高,亚马逊Kuiper,https://www.amazon.com/,,
企业级宽带接入,500 Mbps,2 Gbps,高,新网域,https://www.sinonet.com/,,
毫米波5G,200 Mbps,10 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
边缘计算网络,100 Mbps,1 Gbps,中,阿里巴巴,https://www.alibaba.com/,,
低延迟网络服务,1 Gbps,5 Gbps,高,英伟达,https://www.nvidia.com/,,
下一代光纤技术,5 Gbps,20 Gbps,高,光网络协会,https://www.ogf.org/,,
超宽带无线网络,50 Mbps,1 Gbps,中,光纤入户研究所,https://www.foa.org/,,
2-米毫米波网络,1 Gbps,4 Gbps,高,财新网,https://www.caixin.com/,,
XG-PON技术,1 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
光纤组网,500 Mbps,5 Gbps,中,华三通信,https://www.h3c.com/,,
量子通信网络,特定,特定,高,中国科学院,http://www.cas.cn/,,
云计算接入,2 Gbps,8 Gbps,中,百度云,https://cloud.baidu.com/,,
光纤到户（FTTH）,1 Gbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
超导量子通信,特定,特定,高,中科院,https://www.cas.cn/,,
米波通信,50 Mbps,30 Mbps,中,清华大学,https://www.tsinghua.edu.cn/,,
LTE网络,100 Mbps,300 Mbps,中,爱立信,https://www.ericsson.com/,,
光纤标称规划接入（GPON）,1 Gbps,2.5 Gbps,高,光纤通讯协会,https://www.ofcconference.org/,,
4G LTE网络,50 Mbps,150 Mbps,中,中国联通,https://www.chinaunicom.com/,,
宽带卫星通信,30 Mbps,100 Mbps,中,国内科技报,http://www.cntqb.com/,,
Wi-Fi 5,600 Mbps,2 Gbps,中,科技日报,http://www.stdaily.com/,,
PLC电力线通信,20 Mbps,200 Mbps,低,国家电网,https://www.sgcc.com.cn/,,
斜率波长编码（SWDM）,50 Mbps,200 Mbps,高,IEEE标准协会,https://www.ieee.org/,,
光波导通信,特定,特定,高,科技部,http://www.most.gov.cn/,,
量子密钥分发,特定,特定,高,中国科技大学,https://www.ustc.edu.cn/,,
智能超级宽带,2 Gbps,10 Gbps,高,阿里巴巴,https://www.alibaba.com/,,
边缘计算网络,500 Mbps,2 Gbps,高,腾讯科技,https://tech.qq.com/,,
综合接入网络,100 Mbps,500 Mbps,中,中国信科,https://www.cinformation.com/,,
智能网关接入,250 Mbps,1.5 Gbps,高,爱立信科技,https://www.ericsson.com/,,
机器人网络控制,特定,特定,高,未来网络实验室,https://www.futurenetworks.com/,,
光纤到户（FTTH）,500 Mbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
4G LTE,75 Mbps,300 Mbps,中,三大运营商,https://www.3gpp.org/,,
一体化宽带接入设备,150 Mbps,600 Mbps,高,中兴通讯,https://www.zte.com.cn,,
小基站,100 Mbps,300 Mbps,中,爱立信,https://www.ericsson.com,,
无线路由器,300 Mbps,2 Gbps,高,TP-LINK,https://www.tp-link.com,,
光纤网络接入,1 Gbps,10 Gbps,高,Cisco,https://www.cisco.com,,
千兆光纤网络,1 Gbps,1 Gbps,高,中科院,https://www.cas.cn,,
毫米波通信,200 Mbps,1 Gbps,中,诺基亚,https://www.nokia.com,,
智能家居网络,50 Mbps,200 Mbps,中,小米科技,https://www.mi.com,,
接入网关,25 Mbps,200 Mbps,高,华为云,https://cloud.huawei.com,,
Lora 网络,0.5 Mbps,10 Mbps,中,Sigfox,https://www.sigfox.com,,
深度学习网络,1 Gbps,1 Gbps,高,阿里巴巴,https://www.alibaba.com,,
增强现实网络,300 Mbps,1.5 Gbps,高,微软,https://www.microsoft.com,,
高速公路无线网络,100 Mbps,500 Mbps,中,铁路通信,https://www.railway.com.cn,,
云计算网络,10 Gbps,10 Gbps,高,AWS,https://aws.amazon.com,,
室内无线网络,400 Mbps,4 Gbps,高,Netgear,https://www.netgear.com,,
数字广播网络,20 Mbps,200 Mbps,中,中央广播电视总台,https://www.cctv.com,,
超宽带通信,2 Gbps,20 Gbps,高,德国电信,https://www.telekom.com,,
FTTH光纤接入,1 Gbps,10 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
MPLS网络,50 Mbps,150 Mbps,中,思科系统,https://www.cisco.com,,
XG-FAST,500 Mbps,1 Gbps,高,比利时白皮书,https://www.belgium.be,,
DSL,25 Mbps,75 Mbps,中,英特尔,https://www.intel.com,,
无线光通信,10 Mbps,150 Mbps,高,阿里巴巴研究院,https://www.alibabagroup.com,,
HFC网络,30 Mbps,500 Mbps,中,媒体网科技,https://www.mediat.cn,,
光承载网络,1 Gbps,10 Gbps,高,华为技术,https://www.huawei.com,,
以太网回程,100 Mbps,300 Mbps,高,中兴通讯,https://www.zte.com.cn,,
LPWAN网络,5 Mbps,20 Mbps,中,ITS国际组织,https://www.its.org,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,高,全球无线技术会议,https://www.wirelessconference.com,,
5G NR,200 Mbps,1 Gbps,高,国际电信联盟,https://www.itu.int,,
光纤到户（FTTH）,500 Mbps,2 Gbps,高,新浪科技,https://www.sina.com.cn,,
固定无线接入（FWA）,100 Mbps,400 Mbps,中,英国电信,https://www.bt.com,,
北斗导航网络,50 Mbps,200 Mbps,高,中国科学院,https://www.cas.cn,,
