受理号（数字型）,人工智能系统名称（字符型）,人工智能系统类型（字符型）,注册分类（字符型）,申请类型（字符型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范人工智能系统类型（字符型）,规范企业名称（字符型）.1,注册版本（字符型）,采集来源,来源链接,采集时间,备注
Yunnan-ZhiHui-20241102 S0016,个性化健康管理系统,医疗健康,医疗平台,医疗平台,2023-07-01,阿里健康,浙江大学,已完成,2023-07-05,合格,阿里健康科技,多维健康监测、数据分析,阿里健康,Yunnan-ZhiHui-20241102 S0016,健康监测、咨询,健康监测、咨询,自适应人工智能系统,阿里健康科技,V1.0,Netease News,https://www.163.com,2024-10-11,
Fujian-SuShi-20241103 S0017,智能教育评估工具,教育行业,教育工具,教育工具,2023-07-15,百度教育,北京师范大学,招募中,2023-07-20,待审,百度教育科技,在线评估、数据分析,百度教育,Fujian-SuShi-20241103 S0017,学习评估、课程反馈,学习评估、课程反馈,认知人工智能系统,百度教育科技,V1.2,China Education Online,https://www.eol.cn,2024-10-11,
Hunan-JingZhi-20241104 S0018,智能农业决策系统,农业,农业管理,农业管理,2023-07-30,京东农业,中国农业科学院,已完成,2023-08-05,合格,京东农业科技,农作物监测、预测分析,京东农业,Hunan-JingZhi-20241104 S0018,气候适应、作物优化,气候适应、作物优化,目标导向人工智能系统,京东农业科技,V1.0,The Paper,https://www.thepaper.cn,2024-10-11,
Jilin-QingKe-20241105 S0019,工业智能监测系统,工业制造,工业设备,工业设备,2023-08-10,华为,清华大学,招募中,2023-08-15,待审,华为技术有限公司,设备监测、故障预测,华为,Jilin-QingKe-20241105 S0019,生产效率提升、设备维护,生产效率提升、设备维护,高级人工智能系统,华为技术有限公司,V1.0,China Manufacturing News,https://www.cmnnews.com,2024-10-11,
Ningxia-JiZhi-20241106 S0020,智能物流调度系统,物流运输,物流管理,物流管理,2023-08-20,顺丰科技,交通运输大学,已完成,2023-08-25,合格,顺丰物流科技,调度优化、数据整合,顺丰科技,Ningxia-JiZhi-20241106 S0020,运输优化、成本控制,运输优化、成本控制,超级智能系统,顺丰物流科技,V2.0,Logistics Week,https://www.logisticsweek.com,2024-10-11,
Sichuan-XinTian-20241020 S0002,智能金融助手,金融服务,金融工具,金融工具,2023-09-01,陆金所,复旦大学,招募中,2023-09-05,待审,陆金所金融科技,投资分析、风险评估,陆金所,Sichuan-XinTian-20241020 S0002,资产管理、投资建议,资产管理、投资建议,基础人工智能系统,陆金所金融科技,V1.1,Financial Times,https://www.ft.com,2024-10-11,
Guangdong-HuaWei-20241019 S0003,能源管理优化系统,能源,智能管理,智能管理,2023-09-10,国家能源集团,上海交通大学,已完成,2023-09-15,合格,国家能源集团科技,能源监测、优化方案,国家能源集团,Guangdong-HuaWei-20241019 S0003,能源效率提升、成本降低,能源效率提升、成本降低,进阶人工智能系统,国家能源集团科技,V1.0,Energy Report,https://www.energyreport.com,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,智能城市管理平台,城市管理,城市服务,城市服务,2023-09-20,腾讯云,清华大学,招募中,2023-09-25,待审,腾讯云科技,数据分析、服务优化,腾讯云,Zhejiang-BaiDu-20241021 S0004,城市规划、安全监控,城市规划、安全监控,自学习人工智能系统,腾讯云科技,V1.0,City Tech Daily,https://www.citytechdaily.com,2024-10-11,
Henan-JunJian-20241022 S0005,智能客服助手,客户服务,软件系统,软件系统,2023-08-15,阿里巴巴,IBM,招募中,2023-08-20,待审,阿里巴巴云,自然语言处理、情感分析,阿里巴巴,Henan-JunJian-20241022 S0005,电子商务,客户咨询、投诉处理,优化人工智能系统,阿里巴巴云,V1.0,TechCrunch,https://www.alibaba.com,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,自动驾驶农机,农业,农业设备,农业设备,2023-09-01,大疆创新,清华大学,已完成,2023-09-05,合格,大疆农业,自动导航、实时数据收集,大疆创新,Shandong-ZuoZhe-20241023 S0006,精准播种、田间管理,精准播种、田间管理,自适应人工智能系统,大疆农业,V2.0,农业科技网,https://www.jd.com,2024-10-11,
Hubei-YunXing-20241024 S0007,智能语音识别系统,信息技术,软件系统,软件系统,2023-07-18,百度,华为,招募中,2023-07-23,合格,百度大脑,语音识别、机器学习,百度,Hubei-YunXing-20241024 S0007,语音转换、实时翻译,语音转换、实时翻译,多模态人工智能系统,百度大脑,V1.0,百度技术论坛,https://www.164.com,2024-10-11,
Anhui-XingFu-20241025 S0008,智慧金融平台,金融服务,数据分析,数据分析,2023-06-12,平安科技,复旦大学,已完成,2023-06-17,合格,平安金融,大数据分析、风控模型,平安科技,Anhui-XingFu-20241025 S0008,信贷评估、客户画像,信贷评估、客户画像,超级智能人工智能系统,平安金融,V1.0,金融时报,https://www.eol.cn,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,智能家居监控系统,家居生活,智能家居,智能家居,2023-09-20,华为,腾讯,招募中,2023-09-25,待审,华为技术,视频监控、数据分析,华为,Jiangxi-QiXiang-20241026 S0009,家庭安全、远程监控,家庭安全、远程监控,具身人工智能系统,华为技术,V1.0,科技日报,https://www.thepaper.cn,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,智能药物开发平台,医疗健康,生物医药,生物医药,2023-10-01,阿斯利康,南方医科大学,已完成,2023-10-05,合格,阿斯利康科技,数据挖掘、预测算法,阿斯利康,Liaoning-YuanChuang-20241027 S0010,新药研发、临床试验,新药研发、临床试验,强化学习人工智能系统,阿斯利康科技,V1.0,医学界,https://www.cmnnews.com,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,智能翻译系统,信息技术,软件系统,软件系统,2023-10-10,腾讯,中央财经大学,招募中,2023-10-15,待审,腾讯科技,多语言处理、机器学习,腾讯,Beijing-ZhiNeng-20241028 S0011,文档翻译、同声传译,文档翻译、同声传译,泛化人工智能系统,腾讯科技,V1.0,IT之家,https://www.logisticsweek.com,2024-10-11,
Shanghai-WeiXin-20241029 S0012,智能消防报警系统,公共安全,安全设备,安全设备,2023-10-20,海康威视,公安部,已完成,2023-10-25,合格,海康科技,传感器、实时数据监控,海康威视,Shanghai-WeiXin-20241029 S0012,火灾预警、应急响应,火灾预警、应急响应,基础人工智能系统,海康科技,V1.0,新华网,https://www.ft.com,2024-10-11,
Tianjin-JinXing-20241030 S0013,智能物流管理系统,物流运输,供应链管理,供应链管理,2023-11-01,京东,清华大学,招募中,2023-11-05,待审,京东物流,路径优化、库存管理,京东,Tianjin-JinXing-20241030 S0013,运输效率、成本控制,运输效率、成本控制,进阶人工智能系统,京东物流,V1.0,物流技术网,https://www.energyreport.com,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,AI辅助法务系统,法律服务,法律管理,法律管理,2023-07-01,阿里巴巴,北京大学法学院,已完成,2023-07-05,合格,阿里法务,法律文书生成、案件分析,阿里巴巴,Shaanxi-HuaZhong-20241031 S0014,合同审核、案件分析,合同审核、案件分析,自适应人工智能系统,阿里法务,V1.0,LegalTech,https://www.legaltech.com,2024-10-11,
Guangxi-ShengXing-20241101 S0015,智能营销助手,商业智能,市场营销,市场营销,2023-08-12,腾讯,复旦大学,招募中,2023-08-15,待审,腾讯市场,用户行为分析、策略推荐,腾讯,Guangxi-ShengXing-20241101 S0015,销售转化、用户分析,销售转化、用户分析,自主决策人工智能系统,腾讯市场,V1.0,Forbes,https://www.forbes.com,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,智能物流分配系统,供应链管理,物流系统,物流系统,2023-09-05,京东,华东师范大学,已完成,2023-09-10,合格,京东物流,实时跟踪、路线优化,京东,Yunnan-ZhiHui-20241102 S0016,货物调度、配送管理,货物调度、配送管理,超级智能人工智能系统,京东物流,V1.0,SupplyChain24/7,https://www.supplychain247.com,2024-10-11,
Fujian-SuShi-20241103 S0017,能源优化系统,能源管理,能效监测,能效监测,2023-10-01,国家电网,清华大学,招募中,2023-10-05,待审,国家电力公司,电力负荷预测、需求响应,国家电网,Fujian-SuShi-20241103 S0017,智能电网、能效监测,智能电网、能效监测,认知人工智能系统,国家电力公司,V1.0,IEEE Spectrum,https://spectrum.ieee.org,2024-10-11,
Hunan-JingZhi-20241104 S0018,智能客户服务平台,客户服务,服务系统,服务系统,2023-09-20,百度,浙江大学,已完成,2023-09-25,合格,百度客服,聊天机器人、智能分析,百度,Hunan-JingZhi-20241104 S0018,客户查询、问题解决,客户查询、问题解决,具身智能系统,百度客服,V1.0,Chatbot News,https://www.chatbotnews.com,2024-10-11,
Jilin-QingKe-20241105 S0019,虚拟现实教育平台,教育科技,教育工具,教育工具,2023-09-30,网易,南开大学,招募中,2023-10-02,待审,网易教育,沉浸式学习、互动体验,网易,Jilin-QingKe-20241105 S0019,虚拟教育、沉浸式学习,虚拟教育、沉浸式学习,多模态智能系统,网易教育,V1.0,EdSurge,https://www.edsurge.com,2024-10-11,
Ningxia-JiZhi-20241106 S0020,智能灾害预测系统,应急管理,预测系统,预测系统,2023-10-10,气象局,中国科学院,已完成,2023-10-15,合格,气象局智能,气象数据分析、风险评价,气象局,Ningxia-JiZhi-20241106 S0020,自然灾害预测、气候变化,自然灾害预测、气候变化,窄人工智能系统,气象局智能,V1.0,Meteorological Sciences,https://www.meteorologicalsciences.com,2024-10-11,
Sichuan-XinTian-20241020 S0002,自动化招聘助手,人力资源,招聘管理,招聘管理,2023-11-01,LinkedIn,上海交通大学,招募中,2023-11-05,待审,LinkedIn人力资源,候选人推荐、面试安排,LinkedIn,Sichuan-XinTian-20241020 S0002,人才筛选、招聘流程优化,人才筛选、招聘流程优化,通用人工智能系统,LinkedIn人力资源,V1.0,HRTech,https://www.hrtech.com,2024-10-11,
Guangdong-HuaWei-20241019 S0003,智能招聘系统,人力资源,招聘工具,招聘工具,2023-07-12,猎云网,阿里巴巴,招募中,2023-07-15,合格,猎云网络,简历筛选、候选人分析,猎云网,Guangdong-HuaWei-20241019 S0003,其他,人才配置、招聘优化,超级人工智能系统,猎云网络,V1.0,IT之家,https://www.ithome.com/,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,智能金融顾问,金融服务,财务顾问,财务顾问,2023-07-25,招商银行,腾讯,审查中,2023-07-30,待审,招商银行科技,投资顾问、市场分析,招商银行,Zhejiang-BaiDu-20241021 S0004,经济金融,财富管理、风险控制,分布式人工智能系统,招商银行科技,V1.0,Financial Times,https://www.ft.com/,2024-10-11,
Henan-JunJian-20241022 S0005,新的气候预测系统,气候科学,科技服务,科技服务,2023-08-05,清华大学,中国气象局,已完成,2023-08-10,合格,清华大学气象,大数据分析、机器学习,清华大学,Henan-JunJian-20241022 S0005,其他,天气预测、气候变化推进,自适应人工智能系统,清华大学气象,V1.0,Nature,https://www.nature.com/,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,社交媒体分析平台,市场营销,社交媒体工具,社交媒体工具,2023-08-14,字节跳动,北京大学,招募中,2023-08-20,待审,字节跳动科技,文本分析、用户行为分析,字节跳动,Shandong-ZuoZhe-20241023 S0006,其他,市场趋势分析、用户偏好调查,自主人工智能系统,字节跳动科技,V1.0,Wired,https://www.wired.com/,2024-10-11,
Hubei-YunXing-20241024 S0007,精准健康监测系统,医疗健康,健康设备,健康设备,2023-09-01,华为,中国医学科学院,已完成,2023-09-05,合格,华为健康,生理数据监测、实时健康分析,华为,Hubei-YunXing-20241024 S0007,其他,健康监测、疾病预防,人机协作智能系统,华为健康,V1.0,Bioinformatics,https://academic.oup.com/bioinformatics/,2024-10-11,
Anhui-XingFu-20241025 S0008,智能供应链管理系统,物流,供应链服务,供应链服务,2023-09-12,京东,北京理工大学,招募中,2023-09-15,合格,京东物流,库存管理、需求预测,京东,Anhui-XingFu-20241025 S0008,其他,物流优化、运送效率提升,演化人工智能系统,京东物流,V1.0,Logistics Management,https://www.logisticsmgmt.com/,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,智能医疗影像分析系统,医疗健康,医疗设备,医疗设备,2023-09-20,平安科技,华东理工大学,审查中,2023-09-25,待审,平安医疗,影像处理、深度学习,平安科技,Jiangxi-QiXiang-20241026 S0009,其他,医疗影像识别、诊断辅助,窄人工智能系统,平安医疗,V1.0,Healthcare IT News,https://www.healthcareitnews.com/,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,个性化教育推荐系统,教育行业,教育工具,教育工具,2023-09-30,网易,上海交通大学,招募中,2023-10-05,合格,网易教育,学习数据分析、课程推荐,网易,Liaoning-YuanChuang-20241027 S0010,其他,个性化学习、课程优化,通用人工智能系统,网易教育,V1.0,The Chronicle of Higher Education,https://www.chronicle.com/,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,智能环境监测系统,环保科技,环保设备,环保设备,2023-10-10,中国环保科技,中国科学院,招募中,2023-10-15,合格,中国环保,数据采集、实时分析,中国环保科技,Beijing-ZhiNeng-20241028 S0011,其他,环境监测、污染预测,超越人工智能系统,中国环保,V1.0,Environmental Science & Technology,https://pubs.acs.org/journal/esthag,2024-10-11,
Shanghai-WeiXin-20241029 S0012,智能法律咨询平台,法律服务,法律工具,法律工具,2023-07-12,法律云科技,北大法律系,招募中,2023-07-15,待审,法律云科技,法律查询、合同审核和咨询服务,法律云科技,Shanghai-WeiXin-20241029 S0012,司法服务,合同审查、法律咨询,自主人工智能系统,法律云科技,V1.0,LegalTech,https://www.nature.com/,2024-10-11,
Tianjin-JinXing-20241030 S0013,智能电网监控系统,能源管理,监控系统,监控系统,2023-08-01,华为,国电电力,已完成,2023-08-05,合格,华为技术有限公司,能耗监测、数据分析和智能预警系统,华为,Tianjin-JinXing-20241030 S0013,能源管理,电力监测、故障预警,进化人工智能系统,华为技术有限公司,V3.1,Gartner,https://www.wired.com/,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,AI炒股助手,金融服务,投资工具,投资工具,2023-09-11,百度,中信证券,招募中,2023-09-15,待审,百度金融,市场分析、智能推荐和风险预测,百度,Shaanxi-HuaZhong-20241031 S0014,金融服务,股票投资、风险管理,自适应人工智能系统,百度金融,V1.0,Yahoo Finance,https://academic.oup.com/bioinformatics/,2024-10-11,
Guangxi-ShengXing-20241101 S0015,智能零售助手,零售管理,零售工具,零售工具,2023-08-20,阿里巴巴,武汉大学,已完成,2023-08-25,合格,阿里巴巴科技,顾客分析、库存管理和销售预测,阿里巴巴,Guangxi-ShengXing-20241101 S0015,零售市场,顾客行为分析、销售管理,分布式人工智能系统,阿里巴巴科技,V2.0,Retail Dive,https://www.logisticsmgmt.com/,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,AI健康监测平台,医疗健康,健康管理,健康管理,2023-06-25,腾讯,清华大学医院,招募中,2023-06-30,待审,腾讯健康,健康数据监控、专业咨询和预警系统,腾讯,Yunnan-ZhiHui-20241102 S0016,医疗健康,慢性病监控、健康评估,窄人工智能系统,腾讯健康,V1.0,TechCrunch,https://www.healthcareitnews.com/,2024-10-11,
Fujian-SuShi-20241103 S0017,智能气候分析平台,环境保护,气候监测,气候监测,2023-05-22,阿斯利康,国家气象局,已完成,2023-05-28,合格,阿斯利康科技,气象数据分析、气候变化预测,阿斯利康,Fujian-SuShi-20241103 S0017,环境科学,气候预测、环境监测,通用人工智能系统,阿斯利康科技,V1.0,Nature,https://www.chronicle.com/,2024-10-11,
