人工智能系统名称（字符型）,人工智能系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,人工智能系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
智能语义搜索系统,自然语言处理、信息检索,搜索引擎与技术公司合作,普通用户,大型,已商用,提高信息检索效率,基于语义理解进行信息搜索,互联网技术,搜索引擎与技术公司合作,互联网,百度、微软,智能语义搜索系统通过AI技术提高信息检索的准确性与效率。,马云公益基金会,http://www.mayunfoundation.org/,2024-10-17,,,,
智慧城市管理系统,城市规划、环境监测,政府与技术公司合作,市政管理,IBM、微软,在研,改善城市环境，有效管理资源,通过数据分析与AI优化城市规划,城市管理,政府与技术公司合作,城市规划,IBM、微软,智慧城市管理系统利用AI进行环境监测与资源管理，助力城市可持续发展。,TechCrunch,https://techcrunch.com/,2024-10-17,,,,
金融风险监测系统,风险管理、数据分析,银行与金融机构合作,金融服务,大数据公司、银行,在研,提高风险评估准确性,实时监控金融交易与市场风险,金融科技,银行与金融机构合作,金融服务,摩根士丹利、德意志银行,金融风险监测系统通过AI技术监测市场交易，帮助金融机构识别潜在风险。,彭博社,https://www.bloomberg.com/,2024-10-17,,,,
农业智能决策系统,精准农业、数据分析,农场与研究机构合作,农业生产,耶鲁大学、农业科技公司,在研,提升农作物产量与质量,AI预测气候变化与作物生长情况,农业,农场与研究机构合作,农业科学,耶鲁大学、拜耳,农业智能决策系统利用AI技术优化农业决策，帮助农民降低成本与提升收益。,农业科技网,https://www.agritech.com/,2024-10-17,,,,
个性化教育推荐系统,教育科技、自适应学习,教育机构与科技公司合作,学生与教师,中型,在研,提升学习效率与兴趣,分析学生学习数据，提供个性化学习建议,教育科技,教育机构与科技公司合作,教育服务,好未来、Coursera,个性化教育推荐系统通过AI分析学生表现，优化学习方案，提升学习成果。,教育信息网,https://www.educationinfo.com/,2024-10-17,,,,
智能安全监控系统,视频分析、安全监控,安防公司与政府合作,公共安全,大型,在研,提升公共安全与响应速度,使用AI技术进行实时视频监控与分析,公共安全,安防公司与政府合作,安全服务,安讯士、海康威视,智能安全监控系统能实时分析监控视频，快速响应安全事件，保障公共安全。,公安部官网,http://www.mps.gov.cn/,2024-10-17,,,,
智能旅游推荐系统,旅游科技、数据分析,旅游公司与地方政府合作,游客、旅行社,中型,在研,提升游客体验与满意度,分析历史旅游数据，推荐个性化旅行计划,旅游服务,旅游公司与地方政府合作,旅游业,TripAdvisor、携程,智能旅游推荐系统利用AI分析游客偏好，为游客提供个性化的旅行建议与服务。,旅游论坛网,https://www.travelforum.com/,2024-10-17,,,,
智能法律咨询系统,法律科技、自然语言处理,法律事务所与科技公司合作,律师与客户,大型,在研,提高法律咨询效率,使用AI进行法律文书分析与咨询,法律服务,法律事务所与科技公司合作,法律服务,LexisNexis、律商联讯,智能法律咨询系统通过AI对法律文书进行分析，快速提供法律建议与方案。,法律科技网,https://www.legaltech.com/,2024-10-17,,,,
智能建筑设计系统,建筑科技、设计优化,建筑公司与大学合作,建筑师与工程师,大型,在研,提升建筑设计效率与可持续性,AI辅助建筑设计与优化资源使用,建筑设计,建筑公司与大学合作,建筑行业,麻省理工学院、清华大学,智能建筑设计系统利用AI技术优化建筑设计，增强建筑的功能性与美观性。,建筑科技网,https://www.architecture.com/,2024-10-17,,,,
气候变化预测系统,气候科学、数据预测,科研机构与国际组织合作,政策制定者,大型,在研,提高气候变化预测准确性,利用AI分析气候数据，预测长短期变化,环境科学,科研机构与国际组织合作,环境研究,NOAA、世界气象组织,气候变化预测系统通过AI技术帮助科学家分析气候数据，预测气候变化趋势。,气候科学数据中心,https://www.climatecentral.org/,2024-10-17,,,,
智慧物流系统,物联网、数据分析,企业供应链合作,物流与运输,阿里巴巴、京东,在研,优化供应链效率，降低成本,利用AI技术实时监控库存及运输状态,物流与交通,企业供应链合作,物流行业,阿里巴巴、京东,智慧物流系统通过物联网和数据分析技术提升供应链管理的效率和透明度。,物流科技网,https://www.logistics-tech.com,2024-10-17,,,,
AI金融风险管理系统,机器学习、数据挖掘,银行与金融机构合作,金融行业,大型,在研,增强风险预测准确性,通过AI对市场数据进行预测与分析,金融服务,银行与金融机构合作,金融科技,高盛、摩根士丹利,AI金融风险管理系统通过机器学习模型分析市场变化，从而提高金融风险管理的效率和准确性。,金融科技日报,https://www.fintechdaily.com,2024-10-17,,,,
智能农作物监控系统,无人机、图像识别,农业研究机构合作,农业生产,中型,在研,提高农作物产量与质量,利用无人机监测农作物生长状态,农业技术,科研机构与农业企业合作,农业,中国农业大学、加州大学,智能农作物监控系统利用无人机和图像识别技术帮助农民监测和提升作物生长情况。,农业科技网,https://www.agri-tech.com,2024-10-17,,,,
个性化学习平台,推荐系统、自然语言处理,教育机构合作,学生与教师,大型,商用,提升学习效率与兴趣,根据学生的学习习惯提供个性化学习资源,在线教育,教育机构与科技公司合作,教育技术,Coursera、 edX,个性化学习平台通过分析学生数据，提供定制化的学习内容和进度。,教育观察网,https://www.educationwatch.com,2024-10-17,,,,
城市环境监测系统,环境监测、数据分析,政府与环保组织合作,城市居民,大型,在研,提高城市环境治理能力,对城市空气质量和噪音进行实时监测,环境保护,政府机构与环保组织合作,公共服务,清华大学、东京大学,城市环境监测系统运用传感器和数据分析技术，对城市环境问题进行实时监控与治理。,环境科学网,https://www.environmentalscience.org,2024-10-17,,,,
智能广告投放系统,数据分析、推荐算法,营销公司合作,企业客户,中型,商用,提升广告精准度,根据用户行为数据进行精准广告投放,市场营销,企业合作,广告科技,Facebook、谷歌,智能广告投放系统通过大数据分析优化广告投放策略，提升客户的营销效果。,广告观察网,https://www.adwatch.com,2024-10-17,,,,
自动化客服机器人,自然语言处理、情感分析,企业客服合作,顾客与企业,中型,商用,提升客户服务体验,提供24小时客户支持与服务,客户服务,企业合作,服务行业,Zendesk、Salesforce,自动化客服机器人运用NLP技术为客户提供快速准确的回复，提高客户满意度。,客服研究所,https://www.customerserviceinstitute.com,2024-10-17,,,,
智能医疗管理平台,数据分析、决策支持,医院与科技公司合作,医疗机构,大型,在研,优化医疗资源配置,基于AI的医疗数据分析与预测,医疗管理,医院与科技公司合作,医疗健康,华大基因、生命科技公司,智能医疗管理平台通过数据分析与AI预测帮助医院提高资源利用率与病人护理质量。,医疗科技网,https://www.medtech.com,2024-10-17,,,,
虚拟现实训练系统,增强现实、模拟技术,军事与教育机构合作,专业人员,中型,在研,提高训练效果与安全性,通过虚拟现实技术模拟真实场景进行训练,教育与军事,军事与教育机构合作,信息技术,麻省理工学院、加州大学,虚拟现实训练系统通过沉浸式的训练体验提高专业人员的技能与应对能力。,军事科技网,https://www.militarytech.com,2024-10-17,,,,
农业机器人,自动化、机器学习,农业公司与研究机构合作,农业生产,农田规模,在研,提高作物产量，减少人工成本,使用AI进行作物监测与自动化收割,农业自动化,农业公司与研究机构合作,农业,美国农业大学、清华大学,农业机器人系统利用AI技术监测作物生长，并实现自动化收割以提高效率。,农业科技网,https://www.agritech.com,2024-10-17,,,,
智能教育平台,在线学习、机器学习,学校与科技公司合作,学生与教师,小型到中型,在研,个性化学习体验,通过AI分析学生表现,教育技术,学校与科技公司合作,教育,Coursera、北京大学,智能教育平台通过AI为学生提供个性化的学习资源与建议。,教育部官方网站,http://www.moe.gov.cn,2024-10-17,,,,
金融风控系统,机器学习、数据分析,银行与科技公司合作,金融服务,大型,在研,降低信贷风险,利用AI进行客户信用评分与风险评估,金融科技,银行与科技公司合作,金融,摩根大通、清华大学,金融风控系统通过AI技术识别客户风险，帮助金融机构降低损失。,金融观察网,https://www.financialobserver.com,2024-10-17,,,,
个性化营销系统,预测分析、自然语言处理,电商与广告商合作,消费者,中型,在研,提升用户购买率,分析用户行为数据,电子商务,电商与广告商合作,电子商务,阿里巴巴、腾讯,个性化营销系统通过AI分析用户偏好，提供相应的产品推荐。,商业周刊,https://www.businessweek.com,2024-10-17,,,,
网络安全监测系统,深度学习、异常检测,网络公司与安全厂商合作,企业用户,大型,在研,发现潜在网络威胁,使用AI进行实时网络流量分析,网络安全,网络公司与安全厂商合作,信息技术,赛默飞、360企业安全,网络安全监测系统利用AI技术保护企业网络，防止数据泄露。,网络安全周刊,https://www.securityweekly.com,2024-10-17,,,,
能源优化系统,智能控制、数据分析,能源公司与科研机构合作,能源消费行业,中型,在研,提高能源使用效率,AI优化电力分配与使用,能源管理,能源公司与科研机构合作,能源,国家电网、清华大学,能源优化系统通过AI分析来优化电力的使用和分配，提高系统效率。,国家能源局,http://www.nea.gov.cn,2024-10-17,,,,
智能城市管理平台,城市管理、数据挖掘,政府与科技公司合作,城市管理者,大型,在研,提高城市治理效率,采用AI进行城市资源的优化配置,城市管理,政府与科技公司合作,公共服务,深圳市政府、华为,智能城市管理平台利用AI技术提升城市服务效率，优化资源管理。,城市发展研究协会,https://www.citydevelopment.org,2024-10-17,,,,
