名称（字符型）,品牌（字符型）,宽度（字符型）,封装（字符型）,生产基地（字符型）,型号（字符型）,供应商（字符型）,集成协议（字符型）,应用产品（字符型）,上市日期（日期型）,功能说明（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
Exynos 2200,三星,11.2mm,FOWLP,韩国平泽市,Exynos 2200,三星,"UFS 3.1, LPDDR5",智能手机,2022-01-11,集成AMD RDNA 2架构，优化游戏体验,电子工程专辑,https://www.eet-china.com/,,
A16 Bionic,苹果,10.4mm,WLP,美国加州,A16,苹果,"NVMe, LPDDR5",iPhone 14,2022-09-16,支持高级摄影功能和机器学习任务,技术发展引领产业变革,https://www.dfcfw.com/,,
Kirin 9000S,华为,10.5mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C",智能手机,2023-05-14,提高AI处理能力和5G性能,半导体行业观察,https://www.semiinsights.com/,,
Dimensity 2000,联发科,8.8mm,CoWoS,台湾台北,Dimensity 2000,联发科,"UFS 3.1, LPDDR5",智能手机,2023-01-12,提高游戏性能及多任务处理能力,技术发展引领产业变革,https://www.dfcfw.com/,,
Snapdragon 7 Gen 1,高通,9mm,BGA,美国加州,SM7325,高通,"USB-C, LPDDR4X",智能手机,2022-05-20,支持快速充电和高分辨率摄像,半导体行业观察,https://www.semiinsights.com/,,
Exynos 1280,三星,10mm,FOWLP,韩国首尔,Exynos 1280,三星,"LPDDR4X, UFS 2.2",智能手机,2022-02-21,集成AI功能，优化能源管理,电子工程专辑,https://www.eet-china.com/,,
A15 Bionic Pro,苹果,10.3mm,WLP,美国加州,A15P,苹果,"NVMe, LPDDR4X",iPhone 13 Pro,2021-09-24,增强处理性能，支持ProRAW摄影,半导体行业观察,https://www.semiinsights.com/,,
Kirin 810,华为,9mm,BGA,中国深圳,Kirin 810,华为,"USB-C, LPDDR4X",智能手机,2019-07-25,支持AI摄影优化与长效电池,半导体行业观察,https://www.semiinsights.com/,,
Snapdragon 8 Gen 2,高通,10mm,BGA,美国加州,SM8550,高通,"PCIe, USB-C, Wi-Fi 6E",智能手机,2022-11-30,更快的AI能力和图形性能，支持更高速的5G网络,半导体行业观察,https://www.semiinsights.com/,,
Kirin 9000S,华为,10.5mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, LPDDR5",智能手机,2022-09-25,兼具强大计算力与AI处理能力,芯片产业动态,https://www.chiptechnews.com/,,
Exynos 2200,三星,12mm,FOWLP,韩国水原,Exynos 2200,三星,"UFS, LPDDR5",智能手机,2022-01-14,与AMD合作设计的GPU，提供卓越游戏体验,极客公园,https://geekpark.net/,,
Dimensity 9000,联发科,9mm,CoWoS,台湾新竹,Dimensity 9000,联发科,"UFS, LPDDR5",智能手机,2021-12-01,支持高效能游戏模式与AI摄影,电子产品世界,https://www.electronicpro.com/,,
A16 Bionic,苹果,10.88mm,WLP,美国加州,A16,苹果,"NVMe, PCIe",iPhone 14,2022-09-16,更多的计算核心与图像处理单元，提升性能,科技数码前沿,https://digitaltrendz.com/,,
Snapdragon 7 Gen 1,高通,9mm,BGA,美国加州,SM7325,高通,"USB-C, Bluetooth 5.2",智能手机,2022-05-20,面向中高端智能手机，出色的电池寿命与性能平衡,芯片前沿,https://chipfrontline.com/,,
A15 Bionic Max,苹果,10.2mm,WLP,美国加州,A15X,苹果,"NVMe, PCIe",iPad Pro,2021-06-08,针对高端平板电脑优化的处理器，支持专业级应用,半导体行业观察,https://www.semiinsights.com/,,
Unisoc T610,展讯,8.5mm,BGA,中国上海,T610,展讯,"UFS, LPDDR4X",智能手机,2021-04-01,具有高性价比的移动处理器,移动电话技术,https://www.mobiletech.com/,,
Dimensity 1200 AI,联发科,9mm,CoWoS,台湾新竹,Dimensity 1200 AI,联发科,"UFS, LPDDR5",智能手机,2021-03-15,增强AI性能，优化移动图像处理,未来科技,https://www.futuristictech.com/,,
Snapdragon 8 Gen 3,高通,10mm,BGA,美国加州,SM8650,高通,"PCIe, Bluetooth 5.2",智能手机,2023-11-01,下一代处理器，具备超强AI和图形能力,业界动态,https://industrynews.com/,,
Snapdragon 8 Gen 1,高通,10.5mm,FCBGA,美国加利福尼亚,SM8450,高通,"PCIe, USB-C, Wi-Fi 6E",智能手机,2022-01-01,顶级性能，支持多模5G和AI计算,科技日报,https://www.stdaily.com/,,
A16 Bionic,苹果,11mm,WLP,美国加州,A16,苹果,"NVMe, LPDDR5",iPhone 14,2022-09-16,增强的图形处理和机器学习能力,电子工程专辑,https://www.eet-china.com/,,
Exynos 2200,三星,12mm,FOWLP,韩国首尔,Exynos 2200,三星,"UFS 3.1, LPDDR5",智能手机,2022-02-01,支持光追技术和高效能GPU,芯科技,https://www.chinaz.com/,,
Kirin 9000S,华为,10mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB 4.0",智能手机,2022-08-30,支持全场景AI计算，性能优越,华为技术有限公司,https://www.huawei.com/,,
Dimensity 1300,联发科,9.5mm,CoWoS,台湾新竹,Dimensity 1300,联发科,"UFS, LPDDR5",智能手机,2022-03-15,优秀的游戏优化，支持4K视频录制,联发科官方,https://www.mediatek.com/,,
Snapdragon 7 Gen 1,高通,10mm,FCBGA,美国加州,SM7325,高通,"PCIe, USB-C",中高端智能手机,2022-05-09,中档性能，适合游戏和多任务处理,半导体行业观察,https://www.semiinsights.com/,,
A17 Bionic,苹果,10.8mm,WLP,美国加州,A17,苹果,NVMe,iPhone 15,2023-09-22,更快的处理速度，优化AI性能,苹果公司新闻发布,https://www.apple.com/newsroom/,,
Exynos 1280,三星,11mm,FOWLP,韩国首尔,Exynos 1280,三星,UFS 3.1,智能手机,2022-01-24,中低端处理器，性价比高,三星技术论坛,https://www.samsung.com/,,
Snapdragon 888,高通,8mm,FCBGA,美国加州,SM8350,高通,"PCIe, USB-C, Wi-Fi 6",智能手机,2020-12-01,顶级性能，支持高端游戏体验,数码产品评测,https://www.digitaltrends.com/,,
