系统名称（字符型）,系统类型（字符型）,系统架构（字符型）,系统性能（字符型）,系统搭建环境（字符型）,系统关键功能（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
空天立体防御指挥系统,指挥系统,模块化分层架构,决策支持与快速响应,专用网络环境,指挥调度、实时数据展示,军委科技委,https://www.mod.gov.cn,2024-10-08,,,,,,,,,,,
全球空天地融合调度系统,调度系统,分布式调度架构,跨区域数据整合与优化,全球互联网平台,资源优化配置、任务协调,国际空天协会,https://www.asi.org,2024-10-08,,,,,,,,,,,
空天智能分析平台,分析系统,云原生架构,大数据分析与可视化,公有云环境,数据挖掘、趋势预测,大数据与云计算技术中心,http://www.bdcloud.gov.cn,2024-10-08,,,,,,,,,,,
空天空间态势感知系统,感知系统,物联网架构,高度集成的态势感知能力,多源物联网环境,态势感知、数据汇总,国防科技大学,http://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
空天气象预测与监测系统,气象监测系统,预测模型架构,气象数据分析与预测,气象专用网络,实时气象监测、预警系统,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天绿色科技监测系统,监测系统,综合监测架构,数据驱动的环保监测,城市云平台,环境监测、资源管理,绿色科技促进中心,http://www.green-tech.cn,2024-10-08,,,,,,,,,,,
空天智能交通管理系统,交通管理系统,层级交通管理架构,高效交通流量管理,智能城市基础设施,流量监控、智能导航,交通运输部,http://www.mot.gov.cn,2024-10-08,,,,,,,,,,,
空间资源管理与调度系统,资源管理系统,集成化服务架构,动态资源调度与监控,混合云计算环境,资源监测、任务调度,国家航天局,http://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
空天防灾监测系统,监测系统,分布式数据架构,实时灾害数据监测与分析,区域数据中心,灾害风险评估、数据可视化,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天无人机智能调度系统,调度管理系统,智能化控制架构,高速调度与自主执行,基于边缘计算的环境,无人机编队管理、飞行路径优化,无人机产业联盟,http://www.uav.org.cn,2024-10-08,,,,,,,,,,,
空间大数据分析平台,大数据分析系统,云原生架构,大规模数据处理能力,云服务提供商,数据集成、实时分析,数据分析研究院,http://www.bigdata.gov.cn,2024-10-08,,,,,,,,,,,
空天科研数据协同平台,协同工作系统,服务导向架构（SOA）,高效科研数据共享,高校科研计算环境,协同研究、数据共享,中国科学技术协会,http://www.cast.org.cn,2024-10-08,,,,,,,,,,,
空天通信链路优化系统,通信优化系统,动态优化架构,低延迟、高效率,多网络环境,链路质量监测、信号优化,通信设备制造公司,http://www.etc.com.cn,2024-10-08,,,,,,,,,,,
空天地面控制系统,控制系统,现代控制架构,高精度控制与指挥,地面指挥中心,任务指挥、实时监控,卫星地面控制中心,http://www.groundcontrol.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测系统,环境监测系统,集中式管理架构,高效于大气状况监测,气象站网络,环境数据采集、趋势分析,环境保护部,http://www.epa.gov.cn,2024-10-08,,,,,,,,,,,
空天系统智能决策支持平台,决策支持系统,集成化智能架构,辅助决策能力强,数据湖环境,决策分析、效果模拟,人工智能科技公司,http://www.aitech.com.cn,2024-10-08,,,,,,,,,,,
多星协同任务规划系统,任务规划系统,并行处理架构,多任务协调与管理,云基础设施环境,多星编队、任务执行,中国科学院,http://www.cas.cn,2024-10-08,,,,,,,,,,,
空天气象监测系统,气象监测系统,集成数据架构,实时气象数据采集与预测,边缘计算环境,气象数据分析、极端天气预测,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天观测任务规划系统,任务规划系统,分布式协作架构,高效任务调度与资源优化,云计算服务环境,观测任务分配、数据整合,卫星应用中心,http://www.nscc-gov.cn,2024-10-08,,,,,,,,,,,
空天数据融合与分析系统,数据融合系统,模块化架构,多源数据融合能力强,本地大数据平台,数据清洗、分析报告生成,国家数据资源中心,http://www.ndrc.gov.cn,2024-10-08,,,,,,,,,,,
空天精准打击指挥系统,指挥控制系统,综合指挥架构,快速决策支持与实施能力,军事指挥中心环境,实时态势感知、目标打击评估,军事科学院,http://www.ami.gov.cn,2024-10-08,,,,,,,,,,,
空天演练与仿真系统,虚拟仿真系统,三维仿真架构,沉浸式场景模拟与分析,虚拟现实环境,战术演练、情境模拟,国防科技大学,http://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
空天环境监测与预警系统,环境监测系统,集中管理架构,全面环境状态监测与预警,统一监测平台,环境数据实时监测、应急预警,环境保护部,http://www.mep.gov.cn,2024-10-08,,,,,,,,,,,
空天资源管理与调度系统,资源管理系统,传统层次架构,资源配置与调度能力优化,企业内部云环境,资源监控、分配、统筹,国家资源管理局,http://www.nrrc.gov.cn,2024-10-08,,,,,,,,,,,
空天安全防护与监控系统,安全监控系统,自动化安全架构,高效安全监控与响应能力,智能化安全环境,安全事件检测、响应管理,公安部科技信息化司,http://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
空天区域合作共享平台,合作平台,多边合作架构,资源共享与协同工作,跨境合作环境,数据共享、技术合作,国际科技合作中心,http://www.international-tech.gov.cn,2024-10-08,,,,,,,,,,,
空天人工智能决策支持系统,智能决策系统,AI驱动架构,深度学习与推理能力强,AI计算环境,智能决策、风险评估,智能科技公司,http://www.ai-technology.cn,2024-10-08,,,,,,,,,,,
空天空间基础设施监测平台,监测系统,模块化分层架构,实时状态反馈与故障预测,云计算与大数据环境,设施状态监测、数据报告生成,中国科学技术协会,http://www.cast.org.cn,2024-10-08,,,,,,,,,,,
星际导航自适应系统,自适应导航系统,复合集成架构,支持多种导航模式,分布式云环境,适应性路径规划、动态导航调整,国家航天局,http://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
智能化空天监控平台,监控系统,数据驱动架构,数据整合与动态分析能力,高性能计算集群,异常检测、实时预警,军事科学院,http://www.amiya.com.cn,2024-10-08,,,,,,,,,,,
空天物联网传感器网络系统,传感器网络系统,超图网络架构,高覆盖率、低功耗,物联网云平台,远程监测、数据聚合,中国物联网发展协会,http://www.iot.org.cn,2024-10-08,,,,,,,,,,,
空天微波成像系统,成像系统,集成成像架构,高分辨率成像能力,专业成像设备环境,远程成像、数据分析与处理,遥感与测绘研究所,http://www.remote-sensing.org,2024-10-08,,,,,,,,,,,
空间数据交互与共享平台,数据共享平台,服务导向架构,快速数据访问与共享,开放数据云环境,数据查询、用户协作,中国科学院地理科学与资源研究所,http://www.igsnrr.ac.cn,2024-10-08,,,,,,,,,,,
基于AI的空天数据分析系统,人工智能分析系统,神经网络架构,数据挖掘与预测能力,深度学习平台,趋势分析、模式识别,人工智能研究院,http://www.airesearch.org.cn,2024-10-08,,,,,,,,,,,
空天综合作战指挥系统,指挥系统,统一指挥架构,实时决策支持与协调,高可用性数据中心,任务指派、资源管理,战略研究院,http://www.strategic.edu.cn,2024-10-08,,,,,,,,,,,
空天地面资源调度系统,调度系统,基于角色的访问结构,高效调度与管理,高性能计算平台,资源分配、日程管理,交通运输部,http://www.mot.gov.cn,2024-10-08,,,,,,,,,,,
全球航天监测与分析系统,监测与分析系统,全球分布式架构,实时数据处理与全局可视化,基于云端的系统环境,全球监测、环境分析,环境保护部,http://www.mep.gov.cn,2024-10-08,,,,,,,,,,,
空间探索综合管理系统,管理系统,分布式管理架构,高效资源整合,混合云环境,任务调度、项目跟踪,中国国家航天局,http://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
空天监测与评估系统,监测系统,模块化集成架构,实时监测与分析,边缘计算环境,环境监测、数据报告,环境保护部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
无人机编队控制系统,控制系统,服务导向架构,高可靠性及灵活性,多租户云环境,编队协同、路径优化,无人机技术研究所,http://www.uavtech.org,2024-10-08,,,,,,,,,,,
多源信息融合平台,数据处理系统,先进信息架构,高效数据融合能力,私有云环境,信息采集、智能分析,数据科学与人工智能协会,http://www.datascienceai.org,2024-10-08,,,,,,,,,,,
空天搜索与救援系统,救援系统,云服务架构,实时响应及定位,卫星通信环境,任务简报、协调调度,红十字会,https://www.redcross.org,2024-10-08,,,,,,,,,,,
智能化卫星定位系统,定位系统,跨域分布式架构,全球定位精度高,多频信号环境,航迹记录、动态监控,全球定位系统委员会,http://www.gps.gov,2024-10-08,,,,,,,,,,,
空天信息决策支持系统,决策支持系统,逐层决策架构,快速决策生成,统一数据平台,决策评估、情报整合,国家安全委员会,http://www.nsc.gov.cn,2024-10-08,,,,,,,,,,,
智能空天监控平台,监控系统,实时监控架构,数据处理速度快,5G云环境,视频监控、数据分析,国家公共安全部,http://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
空天资源管理系统,管理系统,信息化管理架构,资源分配效率高,开放云平台,资源分配、使用监控,国家土地资源部,http://www.mlr.gov.cn,2024-10-08,,,,,,,,,,,
空天综合防卫系统,防卫系统,集成化防卫架构,高反应能力与防御效率,专用防务网络,威胁监测、快速反应,军事科学委员会,http://www.cas.cn,2024-10-08,,,,,,,,,,,
空中监控与安全防护系统,安全监控系统,集中式架构,强大的威胁识别能力,边缘计算环境,实时监控、报警管理,国家安全局,https://www.nsa.gov,2024-10-08,,,,,,,,,,,
空天资源管理平台,管理系统,云服务架构,高效的资源分配与调度,多云环境,资源跟踪、使用分析,国际资源组织,https://www.iro.org,2024-10-08,,,,,,,,,,,
卫星图像融合分析系统,分析系统,分布式计算架构,快速图像处理和融合,本地及云结合环境,图像合成、数据管理,遥感与地理信息学学会,https://www.rs-gis.org,2024-10-08,,,,,,,,,,,
跨域自动化控制系统,控制系统,逻辑分层架构,高度自动化与智能反应,智能设备网络环境,自动控制、数据分析,自动化科技协会,https://www.automation.org,2024-10-08,,,,,,,,,,,
空天气象数据采集系统,数据采集系统,微服务架构,实时气象监测能力,物联网环境,气象数据监控、预报服务,国家气象局,https://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空中航班优化系统,优化系统,智能算法架构,高效航线规画,高性能计算环境,航线优化、资源管理,航空运输协会,https://www.iata.org,2024-10-08,,,,,,,,,,,
无人机协同作战系统,协同作战系统,分布式网络架构,高效协同与任务执行能力,智能无人机环境,任务计划、数据共享,国防科技大学,https://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
高速空天信息处理系统,信息处理系统,实时处理架构,极快的信息反应速度,云计算与边缘计算结合环境,数据快速处理、实时反馈,信息科技研究所,https://www.istituto.it,2024-10-08,,,,,,,,,,,
空天探索与测绘系统,测绘系统,系统集成架构,精准测绘、快速部署,便携式测绘设备环境,现场测绘、数据分析,国际测绘协会,https://www.icc.org,2024-10-08,,,,,,,,,,,
多域联合指挥控制系统,指挥控制系统,分层次结构,快速决策与响应能力,集成指挥中心环境,信息整合、决策支持,联合指挥部,https://www.jointforces.gov,2024-10-08,,,,,,,,,,,
空天监测与预警系统,处理与分析系统,云边协同架构,高精度监测与快速响应,高性能计算环境,异地监测、预警信息发布,中国天气局,http://www.cma.gov.cn/,2024-10-08,,,,,,,,,,,
空天探索系统,研究与开发系统,模块化开发架构,数据集成与模型测试能力,进阶实验室环境,任务规划、成果验证,航空航天科技集团,http://www.casic.com/,2024-10-08,,,,,,,,,,,
空天智慧交通系统,交通管理系统,智能网络架构,数据共享与调度优化,城市公共网络环境,交通流量监测、智能信号控制,交通运输部,http://www.mot.gov.cn/,2024-10-08,,,,,,,,,,,
空天资源管理系统,资源管理系统,分布式数据架构,资源配置与优化能力,虚拟化云环境,资源跟踪、利用效率分析,国家自然资源部,http://www.mnr.gov.cn/,2024-10-08,,,,,,,,,,,
空天风险评估系统,评估系统,集成式评估框架,多维度风险分析能力,基于云的平台环境,风险模型建模、动态评估,中国安全生产协会,http://www.chinasafety.gov.cn/,2024-10-08,,,,,,,,,,,
空天智能巡航系统,自主飞行系统,自适应控制架构,自主巡航与路径优化能力,无人机开发环境,自主导航、实时通讯,无人机技术研究所,http://www.uavtech.org/,2024-10-08,,,,,,,,,,,
空天能源优化系统,能源管理系统,优化算法框架,资源利用率提高,智能电网环境,能量分配、预测分析,中国电力集团,http://www.cec.org.cn/,2024-10-08,,,,,,,,,,,
空天数据共享平台,数据共享系统,开放式架构,高效数据交换与分析,多云环境,数据存储、用户自定义查询,数据开放平台,http://www.data.gov.cn/,2024-10-08,,,,,,,,,,,
空天智能模拟仿真系统,仿真系统,虚拟仿真架构,高保真模拟与实时反馈,高性能工作站环境,环境模拟、行为分析,仿真技术研究所,http://www.simulationtech.org/,2024-10-08,,,,,,,,,,,
空天协同作战系统,作战指挥系统,综合指挥架构,实时信息处理与团体协调,战术网络环境,战术计划、实时监控,军事科学院,http://www.cass.cn/,2024-10-08,,,,,,,,,,,
智能空天监测平台,监测系统,云边协同架构,实时状态监测与预警,云计算与边缘计算结合,数据收集、态势感知,中国科学技术协会,http://www.cast.org.cn,2024-10-08,,,,,,,,,,,
空天虚拟现实模拟系统,模拟系统,虚拟现实架构,多维数据实时展示,虚拟现实设备环境,仿真训练、在线演练,虚拟现实技术研究中心,https://www.vrtech.org,2024-10-08,,,,,,,,,,,
空天应急响应系统,应急响应系统,集中管理架构,快速响应、智能决策,实时数据处理环境,事件报告、资源管理,应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天物联网系统,物联网系统,分布式物联网架构,支持多种设备接入,传感器网络环境,实时监控、智能控制,物联网技术联盟,http://www.iot.org.cn,2024-10-08,,,,,,,,,,,
空天海洋环境监测系统,环境监测系统,综合传感网络架构,高精度环境监测,海洋探测设备环境,海水质量监测、数据分析,中国海洋局,http://www.soa.gov.cn,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策支持系统,基于AI的建议架构,数据驱动的智能决策,人工智能计算环境,决策模拟、方案评估,人工智能研究所,http://www.ai-research.cn,2024-10-08,,,,,,,,,,,
空天数据融合处理系统,数据融合系统,多层次数据融合架构,高速数据整合与分析,大数据计算环境,数据融合、实时分析,大数据技术协会,http://www.bigdata.org.cn,2024-10-08,,,,,,,,,,,
空天多源信息集成系统,信息集成系统,跨域信息集成架构,强大的信息整合能力,跨平台集成环境,信息查询、资源整合,信息产业部,http://www.miit.gov.cn,2024-10-08,,,,,,,,,,,
空天网络安全监测系统,网络安全系统,防御机制架构,实时威胁监测能力,网络安全环境,网络监测、漏洞评估,国家网络安全局,http://www.nsa.gov.cn,2024-10-08,,,,,,,,,,,
空天高性能计算系统,计算系统,高性能计算架构,极高的计算能力,超级计算机环境,复杂计算、模拟仿真,国家超级计算中心,http://www.nscc.gov.cn,2024-10-08,,,,,,,,,,,
新一代空天监决系统,决策支持系统,动态决策架构,实时智能决策能力,边缘计算环境,数据分析、场景推演,科技创新委员会,https://www.most.gov.cn/,2024-10-08,,,,,,,,,,,
空中物流运输管理系统,物流系统,容错架构,高效配送网络,多模态融合环境,订单跟踪、路线优化,物流与运输研究院,https://www.logisticsnet.cn/,2024-10-08,,,,,,,,,,,
综合空天监控系统,监控系统,集成化分布式架构,高精度监控与评估,卫星与地面协同环境,区域监控、数据共享,国防科技大学,http://www.ndu.edu.cn/,2024-10-08,,,,,,,,,,,
深空探测任务管理系统,任务管理系统,层次化架构,长时间稳定运行,在轨管理系统,任务指令发布、状态监测,国家航天局,http://www.cnsa.gov.cn/,2024-10-08,,,,,,,,,,,
空天卫星资源管理系统,资源管理系统,生态友好型架构,多维度资源整合,可持续发展环境,资源分配、使用监控,中国资源卫星应用中心,http://www.crsa.gov.cn/,2024-10-08,,,,,,,,,,,
防灾减灾空天技术系统,防灾系统,基于云计算的架构,极高的信息传输效率,灾后恢复云平台,灾情监测、应急响应,国家减灾中心,http://www.ndrc.gov.cn/,2024-10-08,,,,,,,,,,,
智能空天情报处理系统,情报处理系统,可扩展架构,高效情报分析,大数据分析环境,情报收集、实时分析,军事科学院,http://www.pla.gov.cn/,2024-10-08,,,,,,,,,,,
空天系统测试平台,测试平台,模拟与实测结合架构,全面测试覆盖能力,实验室模拟环境,测试执行、数据分析,航天科技集团,http://www.spacechina.com/,2024-10-08,,,,,,,,,,,
空天资源共享平台,共享平台,开放API架构,资源调用效率高,虚拟化资源环境,资源整合、信息共享,国家数据共享平台,http://www.data.gov.cn/,2024-10-08,,,,,,,,,,,
智慧城市空天系统,城市管理系统,城市网格化架构,城市运行效率优化,全覆盖感知环境,城市监控、主动预警,城市规划与设计院,https://www.urbanplanning.gov.cn/,2024-10-08,,,,,,,,,,,
高能卫星通信系统,通信系统,立体网格架构,超高数据传输速率,光纤网络环境,实时视频流传输、数据加密,卫星通信技术研究中心,https://www.satcom-tech.com,2024-10-08,,,,,,,,,,,
空天热防护材料设计系统,材料研发系统,计算模拟架构,高温耐受能力强,实验室测试环境,材料性能评估、热模拟测试,航天材料研究院,https://www.space-materials.cn,2024-10-08,,,,,,,,,,,
无人机实时监测系统,监测系统,集成化模块架构,多点同步监控,移动兼容环境,数据采集、实时反馈,无人机技术协会,https://www.drone-tech.org,2024-10-08,,,,,,,,,,,
空天虚拟训练仿真系统,训练系统,虚拟现实架构,高清仿真环境,VR训练室,战术模拟、操作训练,军事模拟培训中心,https://www.milit-train.org,2024-10-08,,,,,,,,,,,
高分辨率地面监测系统,监测系统,实时数据网格架构,高精度地理监测,分布式计算环境,实时数据分析、地理信息系统集成,地理信息系统研究院,https://www.gis-institute.org,2024-10-08,,,,,,,,,,,
智能空天资源调配系统,资源管理系统,智能算法架构,资源优化与调度准确性高,云端智能终端,资源预测、动态调配,智能决策研究所,https://www.smart-decision.cn,2024-10-08,,,,,,,,,,,
跨域消息交互系统,通信系统,异构架构,即时消息交互支持,多协议支持环境,消息转发、信息整合,信息技术协会,https://www.info-tech.org.cn,2024-10-08,,,,,,,,,,,
动态航迹预测系统,预测系统,动态模型架构,航迹预测精度高,高性能计算平台,航迹分析、趋势预测,航空航天预测协会,https://www.aero-predict.org,2024-10-08,,,,,,,,,,,
行为识别与数据融合系统,智能识别系统,人工智能架构,多层次行为分析,云计算和边缘计算结合环境,数据融合、行为趋势识别,人工智能研究所,https://www.ai-research.cn,2024-10-08,,,,,,,,,,,
空天生态监测系统,监测系统,生态监测架构,生态数据综合分析,多源环境数据获取,生态状态评估、长期监测,生态科学研究院,https://www.eco-science.org.cn,2024-10-08,,,,,,,,,,,
智能空天监控系统,监控系统,云边协同架构,高清视频流处理,边缘计算环境,实时监控、事件检测,中国科学院遥感与数字地球研究所,http://www.ird.cas.cn,2024-10-08,,,,,,,,,,,
深空探测任务调度系统,调度系统,分层架构,资源利用率高,高性能计算环境,任务优先级排序、所需资源预测,中国深空探测中心,https://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
卫星地面站数据处理系统,数据处理系统,集成化架构,高可靠性,本地云环境,数据接收、实时分析,中国卫星应用中心,http://www.cnesa.gov.cn,2024-10-08,,,,,,,,,,,
卫星导航增强系统,增强系统,分布式架构,抗干扰能力强,多网络环境,信号增强、定位精度提升,国测局导航中心,http://www.ngcc.gov.cn,2024-10-08,,,,,,,,,,,
无人机协同作战系统,作战系统,多层次架构,协同控制、高效运作,专用网络环境,无人机编队、任务执行,军事科学研究院,http://www.most.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测系统,监测系统,模块化架构,高敏感度,传感器网络环境,环境数据采集、实时监测,生态环境部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天数据融合分析系统,分析系统,层次化架构,数据处理速度快,大数据环境,数据融合、趋势分析,中国数据科学研究所,http://www.datascience.org.cn,2024-10-08,,,,,,,,,,,
空天气象预测系统,预测软件,分布式实时架构,预测准确度高,集成气象传感器网络,气象数据实时更新、长短期预测,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
跨域防灾减灾系统,减灾系统,综合性架构,响应迅速,云计算服务环境,灾害监测、应急响应,中国地震局,http://www.cea.gov.cn,2024-10-08,,,,,,,,,,,
空天自适应控制系统,控制系统,自适应架构,高稳定性、灵活性好,实时模拟环境,动态调整、系统优化,航天科技集团,http://www.cmse.gov.cn,2024-10-08,,,,,,,,,,,
空间气象监测与预报系统,监测系统,云计算架构,高频数据采集与分析,云平台环境,天气预警、气象预测,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天防务决策支持系统,决策支持系统,集成化架构,实时战场信息处理,混合云环境,战术分析、决策模拟,国防科学技术大学,https://www.ndu.edu.cn,2024-10-08,,,,,,,,,,,
智能无人机调度系统,调度系统,分布式系统,高效无人机编队管理,无线网络环境,自动飞行控制、任务派发,无人驾驶技术研究院,http://www.udri.org,2024-10-08,,,,,,,,,,,
多源雷达信息融合系统,信息融合系统,模块化架构,高精度目标检测,本地数据中心,数据融合、实时监控,科技部高级雷达研究所,http://www.nsr.com.cn,2024-10-08,,,,,,,,,,,
地面站与卫星通信系统,通信系统,多节点架构,低延迟高吞吐量,卫星通信网络环境,数据接收、信号处理,中国卫星通信集团,http://www.chinasatcom.com,2024-10-08,,,,,,,,,,,
空天能源管理系统,管理系统,集中式架构,优化能源配置,云计算基础设施,能源监测、资源调度,能源部科技局,http://www.moe.gov.cn,2024-10-08,,,,,,,,,,,
空间探测任务规划系统,规划系统,统一管理架构,高效任务调度,专业计算服务器环境,任务设计、资源分配,中国空间技术研究院,http://www.casic.cn,2024-10-08,,,,,,,,,,,
无人机数据分析与可视化系统,分析系统,基于云的架构,大数据处理与可视化,云计算环境,数据分析、可视化呈现,大数据技术公司,http://www.bigdatacompany.com,2024-10-08,,,,,,,,,,,
卫星图像识别系统,识别系统,深度学习架构,高效图像处理,本地GPU集群环境,图像分类、异常检测,人工智能研究所,http://www.ailabresearch.com,2024-10-08,,,,,,,,,,,
智能导航辅助决策系统,决策支持系统,联合架构,智能路径计算,多源数据融合环境,路径优化、实时导航,智能交通科技研究中心,http://www.smarttraffic.org,2024-10-08,,,,,,,,,,,
低空空域协同管理平台,管理系统,多层次架构,高效协同式空域管理,云原生环境,实时调度、空域侵入警告,无人机产业协会,https://www.uavindustry.org,2024-10-08,,,,,,,,,,,
多源空间态势感知系统,感知系统,集成架构,精确态势预测能力,边缘计算平台,数据融合、威胁态势评估,国家国防科技局,https://www.mod.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测系统,监测系统,模块化架构,实时监测与预警,卫星网络环境,气象监测、环境污染评估,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
高通量空天数据传输系统,传输系统,星间链路架构,超高带宽数据传输,干线光纤环境,视频数据流转、实时传输,网络空间研究院,https://www.cybersecurity.org.cn,2024-10-08,,,,,,,,,,,
宏观空间交通管理系统,管理系统,全域集成架构,安全高效交通管理,综合数据中心,航迹预测、交通流量分析,交通运输部,http://www.mot.gov.cn,2024-10-08,,,,,,,,,,,
空天条件下演习模拟平台,模拟系统,虚拟仿真架构,多场景演习模拟能力,虚拟现实平台,多种战术模拟、实时反馈,军事科学院,http://www.amsc.cn,2024-10-08,,,,,,,,,,,
智能空间协同决策平台,决策支持系统,智能化架构,快速多维决策能力,多云环境,智能决策、风险评估,中国科学院,http://www.cas.cn,2024-10-08,,,,,,,,,,,
空天资源分配系统,资源管理系统,分布式架构,优化资源配置,私有云环境,资源监控、合约管理,太空资源管理中心,https://www.srmc.cn,2024-10-08,,,,,,,,,,,
自主空天探测与跟踪系统,探测系统,模块化可扩展架构,高精度目标跟踪,电磁环境监测平台,自主导航、轨迹分析,宇航队,http://www.spaceagency.cn,2024-10-08,,,,,,,,,,,
智能空天医用传输系统,医疗系统,分布式智能架构,实时医疗数据传输,5G专网环境,健康监测、远程诊断,中国卫生健康委员会,http://www.nhc.gov.cn,2024-10-08,,,,,,,,,,,
智能无人机编队控制系统,控制系统,集群智能架构,高效协调与通信,混合云环境,无人机路径优化、集群协同作战,航空航天技术研究所,http://www.aerospaceinstitute.cn,2024-10-08,,,,,,,,,,,
空地一体化情报分析平台,分析系统,数据融合架构,实时情报分析与决策支持,公有云环境,数据挖掘、情报分析,国家安全部,http://www.nationalsecurity.gov.cn,2024-10-08,,,,,,,,,,,
高空气象监测系统,监测系统,基于传感器网络的架构,高精度气象数据收集,本地气象站,气象数据实时监测、警报系统,气象局,http://www.weather.gov.cn,2024-10-08,,,,,,,,,,,
空天安全监测与预警系统,监控系统,多层次监测架构,综合安全监测与预警能力,边缘计算环境,风险评估、快速响应,国家安全监管局,http://www.safeguard.gov.cn,2024-10-08,,,,,,,,,,,
水下无人侦查系统,侦查系统,集成化水下平台,深海探测能力,海洋研究中心,水下探测、数据回传,海洋科技公司,http://www.oceantech.cn,2024-10-08,,,,,,,,,,,
空间资源监测与评估系统,监测系统,GIS空间分析架构,资源状况精准评估能力,云计算平台,资源预测、空间分析,资源环境部,http://www.resource.gov.cn,2024-10-08,,,,,,,,,,,
高效能热成像系统,成像系统,模块化传感器架构,高分辨率热成像,专用高性能计算环境,目标识别、环境监测,红外技术研究院,http://www.infraredtech.org.cn,2024-10-08,,,,,,,,,,,
多维度空间分析与决策支持系统,决策支持系统,全景数据架构,多维数据分析能力,云原生环境,可视化分析、智能决策,数据科学研究所,http://www.datascienceinstitute.cn,2024-10-08,,,,,,,,,,,
跨域协同作战平台,作战指挥系统,分布式指挥控制架构,战场实时态势感知能力,高安全性专网环境,战斗计划制定、资源协同,军事科学院,http://www.defenseacademy.cn,2024-10-08,,,,,,,,,,,
空天监测与评估系统,监测系统,综合信息架构,长时间监测与分析,远程监测网络,常态监测、数据报告,空天科技管理局,http://www.space.gov.cn,2024-10-08,,,,,,,,,,,
下一代空天探测系统,探测系统,智能互联架构,高精度探测能力,云端分析环境,实时数据采集、环境监测,国家空间局,https://www.nas.gov.cn,2024-10-08,,,,,,,,,,,
空地一体化指挥系统,指挥系统,模块化集成架构,快反应、高效协调,本地服务器环境,即时决策支持、资源优化,军事科学院,http://www.amsc.ac.cn,2024-10-08,,,,,,,,,,,
空天数据共享平台,数据共享平台,集中式架构,高并发数据访问能力,云计算环境,数据交换、接口开放,数据共享中心,https://www.data.gov.cn,2024-10-08,,,,,,,,,,,
智能空天环境感知系统,感知系统,分布式感知网络,实时环境感知、精准定位,边缘计算环境,环境监测、数据整合,环境保护部,https://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天生物监测系统,监测系统,基于云的分布式架构,优化生物数据处理能力,高性能计算环境,生物数据采集、健康监测,生物研究所,https://www.biodata.cn,2024-10-08,,,,,,,,,,,
空天频谱监测系统,监测系统,实时监测架构,多频段监测能力,5G网络环境,频谱检测、干扰分析,通信管理局,http://www.crtc.gov.cn,2024-10-08,,,,,,,,,,,
空天危机响应指挥系统,应急指挥系统,弹性指挥架构,短时间内高效调度能力,云端应急平台,危机管理、资源调度,应急管理部,https://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
低轨道卫星通信系统,通信系统,星座式架构,短时延、高带宽,卫星通信环境,数据传输、国际通信,卫星通信公司,https://www.satcom.cn,2024-10-08,,,,,,,,,,,
智能空天大数据分析平台,分析平台,大数据处理架构,高效数据挖掘能力,云计算环境,数据分析、趋势预测,大数据研究所,https://www.bigdata.gov.cn,2024-10-08,,,,,,,,,,,
空天安全防护系统,安全系统,安全多层架构,高安全性、强防火墙,虚拟私有云环境,安全监测、脆弱性评估,网络安全中心,https://www.cyber.gov.cn,2024-10-08,,,,,,,,,,,
空天智能监控系统,监控系统,分层架构,高效视频分析能力,边缘计算环境,实时监测、异常检测,智能科技研究所,http://www.smarttech.org.cn,2024-10-08,,,,,,,,,,,
空天气象预测系统,数据预测系统,云端架构,高级气象建模能力,气象数据服务平台,气象数据分析、预警推送,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测平台,环境监测系统,集成化数据处理架构,多源信息融合能力,云计算与边缘融合,污染监控、生态评估,环保部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
