名称（字符型）,品牌（字符型）,型号（字符型）,售后服务（字符型）,操作系统（字符型）,生产厂商（字符型）,主处理器（字符型）,芯片（字符型）,操作方式（字符型）,仿生工具（字符型）,功能说明（字符型）,应用场景（字符型）,上市时间（日期型）,采集来源,来源链接,采集时间,备注
智能睡眠监测仪,Withings,Sleep Tracking Mat,三年保修,Withings Health OS,Withings,ARM Cortex-M4,ESP32,智能检测,睡眠监测助手,睡眠质量分析，数据报告,家庭健康,2021-03-20,健康科技评测,https://www.withings.com,,
智能网关,Samsung,SmartThings Hub,一年保修,SmartThings OS,三星电子,ARM Cortex-A15,Qualcomm QCA4010,APP控制,智能家居管理器,管理家中所有智能设备,家庭自动化,2022-05-10,智能家居博览会,https://www.samsung.com,,
智能水务管理系统,Moen,Moen Smart Water Security,两年保修,Moen OS,Moen Inc.,ARM Cortex-M4,Texas Instruments CC2564,APP控制,水质监测助手,实时水质监测，泄漏报警,家庭管道安全,2023-01-15,家庭智能安全论坛,https://www.moen.com,,
智能除湿器,Frigidaire,FFAD5033W1,三年保修,Frigidaire OS,富士通电气,ARM Cortex-A7,Microchip MCP23017,APP控制,湿度管理助手,自动监控湿度，智能调节,家庭环境控制,2023-03-01,家电市场分析,https://www.frigidaire.com,,
智能洗衣机,LG,WM3900HWA,三年保修,LG ThinQ,LG电子,ARM Cortex-A53,Nordic nRF52840,APP控制与语音控制,洗衣管理助手,智能洗涤程序，节能环保,家庭清洁,2022-08-15,家电产品评测,https://www.lg.com,,
智能埃及按摩椅,Osaki,OS-7200H,五年保修,Osaki OS,Osaki,ARM Cortex-A7,Cypress CY8C4245,遥控与APP控制,放松管理助手,多种按摩模式，个性化设定,家庭休闲,2023-09-01,健康家居展,https://www.osaki.com,,
智能窗帘控制器,Eufy,Smart Curtain Hub,两年保修,Eufy OS,安克科技,ARM Cortex-A53,Espressif ESP8285,APP控制,环境光调节器,根据光线自动调节窗帘,家庭客厅,2022-04-22,智能家居发展报告,https://www.eufylife.com,,
智能洗衣机,LG,TWINWash,十年保修,LG SmartThinQ,LG电子,ARM Cortex-A72,NXP i.MX 8M,语音控制与APP,洗衣管理助手,智能选择洗涤程序，预约洗衣,家庭洗衣房,2023-01-30,家电市场分析,https://www.lg.com,,
智能空气净化器,Dyson,Pure Cool Link,两年保修,Dyson Link,Dyson Ltd.,ARM Cortex-M4,TI CC2640R2F,APP控制,空气质量监测器,实时监测室内空气质量，自动调整,家庭卧室,2022-11-15,环境科技期刊,https://www.dyson.com,,
智能家居中心,Samsung,SmartThings Hub,三年保修,SmartThings OS,三星电子,ARM Cortex-A55,Qualcomm Snapdragon 410,APP控制,智能家居管理平台,集中控制所有智能设备,家庭控制中心,2021-09-20,家庭自动化行业报告,https://www.samsung.com,,
智能智能音响,Bose,Bose Home Speaker 500,一年保修,Bose OS,Bose Corporation,ARM Cortex-A53,Qualcomm CSR8675,语音控制和触控,音乐助手,高保真音质，支持多种音乐服务,家庭娱乐,2022-02-17,音响技术论坛,https://www.bose.com,,
智能热水器,A.O. Smith,Smart Tankless,五年保修,A.O. Smith Smart OS,史密斯公司,Qualcomm Snapdragon 410,Broadcom BCM53573,APP控制,水量管理助手,实时调节水温，监控热水使用,家庭浴室,2021-06-10,热水器市场分析,https://www.hotwater.com,,
智能冰箱,Whirlpool,Smart French Door,十年保修,Whirlpool OS,惠而浦公司,ARM Cortex-A72,NXP i.MX 6,触控与语音控制,食物管理助手,智能库存管理，食物保鲜监控,家庭厨房,2023-07-22,厨房设备评测网,https://www.whirlpool.com,,
智能电烤箱,Breville,Smart Oven Air,三年保修,Breville OS,Breville Group,ARM Cortex-A53,Texas Instruments CC3220,触控与APP,烹饪助手,智能预设烹饪程序，温度监控,家庭厨房,2023-01-05,厨房电器趋势分析,https://www.breville.com,,
智能卫生间镜子,Xiaomi,Mi Smart Mirror,两年保修,MIUI for Smart Home,小米,ARM Cortex-M4,Espressif ESP32,触摸与语音控制,美容助手,提供化妆指导与身心健康监测,家庭卫生间,2023-04-01,美容科技博客,https://www.mi.com,,
智能个人健康监测设备,Withings,Body Cardio,一年保修,Withings Health Mate,Withings,ARM Cortex-M4,Nordic nRF51822,APP控制,健康状态监测器,体重监测与心率监控,家庭健康管理,2022-08-15,健康科技观察,https://www.withings.com,,
智能影院系统,Sonos,Sonos Arc,两年保修,Sonos OS,Sonos Inc.,ARM Cortex-A55,Qualcomm QCA9377,语音控制与APP,家庭娱乐助手,高保真音效，支持多种在线流媒体服务,家庭影院,2022-06-30,影音设备评测,https://www.sonos.com,,
智能健身设备,Peloton,Peloton Bike+,三年保修,Peloton OS,Peloton Interactive,Apple A9,Broadcom BCM43456,APP控制,运动教练,个性化健身课程，实时反馈,家庭健身房,2023-09-01,健身设备市场分析,https://www.onepeloton.com,,
智能户外摄像头,Arlo,Arlo Ultra,两年保修,Arlo Secure App,Arlo Technologies,ARM Cortex-A72,TI OMAP 5,APP控制,安全监控工具,4K高清摄像，夜视监控,家庭户外安全,2021-10-10,安全监控技术论坛,https://www.arlo.com,,
智能吸尘器,iRobot,Roomba i7+,一年保修,iRobot OS,iRobot Corporation,ARM Cortex-A55,Qualcomm Snapdragon 410,APP控制,清洁管理工具,自动清理，智能路径规划,家庭清洁,2023-02-15,机器人科技杂志,https://www.irobot.com,,
智能冰箱,LG,LFXS28968S,十年保修,LG ThinQ,LG电子,ARM Cortex-A72,Qualcomm Snapdragon 660,触控与语音控制,冷藏管理助手,智能温控，食物过期提醒,家庭厨房,2022-06-01,家电技术评论,https://www.lg.com,,
智能洗衣机,海尔,HWM100-2188,三年保修,海尔智能系统,海尔集团,ARM Cortex-A53,Qualcomm Snapdragon 410,APP控制,洗衣管理助手,自动洗涤模式，智能预约洗涤,家庭洗衣,2023-02-20,洗衣设备月刊,https://www.haier.com,,
智能影像监控系统,小米,Mi Security Camera,两年保修,Mi Home,小米科技,ARM Cortex-A7,Ambarella H22,APP控制,安全监控助手,720P视频实时监控，移动侦测,家庭安防,2022-11-15,智能家居观察,https://www.mi.com,,
智能空气净化器,Dyson,TP02,五年保修,Dyson Link,Dyson,ARM Cortex-A9,MediaTek MT8167,语音控制与APP,空气质量监测工具,高效过滤，智能空气质量监测,家庭健康,2021-03-22,家电时尚杂志,https://www.dyson.com,,
智能电烤箱,Breville,BOV845BSS,三年保修,Breville Smart Oven,Breville,ARM Cortex-M3,NXP LPC1768,旋钮与触控,烹饪助手,多功能烘焙，智能温控,家庭厨房,2022-10-05,烹饪科技期刊,https://www.breville.com,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,PetSafe App,PetSafe,ARM Cortex-M0,ESP8266,APP控制,宠物喂养助手,定时喂食，分量控制,宠物护理,2023-01-25,宠物科技报告,https://www.petsafe.net,,
智能排风扇,Honeywell,HT-900,三年保修,自有系统,Honeywell,ARM Cortex-R5,STM32F407,声控与APP,家庭通风助手,智能风速调节，温控,家庭通风,2022-08-12,通风技术与安全,https://www.honeywell.com,,
智能水质监测系统,Ecowater,EWS-3,两年保修,Ecowater App,Ecowater Systems,ARM Cortex-M4,Microchip MCP2221,APP控制,水质监测助手,实时水质监测，水质分析,家庭水处理,2023-03-30,水处理技术杂志,https://www.ecowater.com,,
智能床垫,Sleep Number,360 Smart Bed,五年保修,SleepIQ,Sleep Number,ARM Cortex-A9,NXP i.MX6,触控与APP,睡眠监测助手,监测睡眠质量，智能调节床垫硬度,家庭睡眠,2023-05-01,睡眠科技研究,https://www.sleepnumber.com,,
智能语音音箱,Sonos,Sonos One,一年保修,Sonos OS,Sonos,ARM Cortex-A53,TI DSPs,语音控制,家庭娱乐助手,高品质音频，智能语音助手,家庭娱乐,2022-12-10,音频科技论坛,https://www.sonos.com,,
智能梳妆镜,HiMirror,HiMirror Mini,一年保修,HiMirror OS,HiMirror,Mediatek MT8173,ARM Cortex-A53,触控与APP,美容助手,皮肤检测，美容建议,家庭美容,2023-04-20,美容科技季刊,https://www.himirror.com,,
智能室内温控器,Nest,Learning Thermostat,五年保修,Nest OS,Google,ARM Cortex-A8,Broadcom BCM2837,触控与语音控制,温度控制助手,智能学习用户习惯，节能模式,家庭温控,2022-07-01,智能家居设计,https://store.google.com,,
智能阳光能量监测器,Enphase,Envoy,三年保修,Enphase App,Enphase Energy,ARM Cortex-M4,ESP32,APP控制,能源管理工具,监测家庭能源消耗，优化能耗,家庭能源管理,2023-02-15,能源科技报告,https://enphase.com,,
智能智能家庭助理,Amazon Echo,Echo Dot 4th Gen,一年保修,Alexa,Amazon,ARM Cortex-A55,MediaTek MT8516,语音控制,家庭助理,语音助手，家庭控制中心,家庭娱乐与管理,2023-10-05,人工智能研究,https://echo.amazon.com,,
智能鞋垫,Fitbit,Fitbit Shoes,一年保修,Fitbit OS,Fitbit,ARM Cortex-M0,Nordic nRF51822,APP与触控,健康监测助手,步态监测，实时反馈,家庭运动,2023-07-14,运动健康科技展,https://www.fitbit.com,,
智能空气净化器,小米,Air Purifier 4,三年保修,MIUI,小米科技,ARM Cortex-A7,Nordic nRF52840,APP控制,空气质量监测器,高效去除PM2.5，实时数据反馈,家庭环境,2023-01-05,智能家居行业分析,https://www.smart-home.com,,
智能镜子,Lumos,Magic Mirror Pro,两年保修,Lumos OS,Lumos Technology,ARM Cortex-A76,Qualcomm Snapdragon 660,语音控制与触摸控制,个人美容助手,提供天气，日历，和美妆建议,家庭梳妆,2022-11-03,消费电子产品实验室,https://www.consumerelectronics.com,,
智能宠物喂食器,PetSafe,Smart Feed 2.0,一年保修,PetSafe OS,PetSafe Inc.,ARM Cortex-M3,Espressif ESP8266,APP控制,宠物管理工具,定时喂食，摄像监控,家庭宠物照料,2023-04-20,宠物健康新闻,https://www.petsafety.com,,
智能洗衣机,海尔,Mini Wash,五年保修,Haier OS,海尔智家,ARM Cortex-M3,Microchip PIC32,触控与语音控制,衣物护理助手,智能洗涤方案，节水,家庭洗衣,2023-02-15,家电市场调研,https://www.haier.com,,
智能家庭影院系统,Sonos,Sonos Arc,两年保修,Sonos OS,Sonos Inc.,ARM Cortex-A72,Qualcomm QCA4020,语音控制与APP,音响管理工具,3D环绕声，音乐流播放,家庭娱乐,2023-05-01,音响科技展,https://www.sonos.com,,
智能烤箱,Samsung,Smart Oven,三年保修,Samsung SmartThings,三星电子,ARM Cortex-A53,Broadcom BCM2837,APP与语音控制,厨房烹饪助手,多种烹饪模式，内置食谱,家庭厨房,2022-10-10,厨房科技报告,https://www.samsung.com,,
智能衣柜,CLOSET,Smart Wardrobe,一年保修,CLOSET OS,CLOSET Design,ARM Cortex-M0+,Microchip XC8,触控控制,衣物管理工具,自动分类与管理衣物,家庭衣物管理,2023-03-20,家居设计论坛,https://www.closetdesign.com,,
智能灶具,厨邦,Smart Cooktop Pro,三年保修,CooK OS,厨邦科技,ARM Cortex-A53,Texas Instruments Tiva,APP与语音控制,烹饪助手,精准温控，节能设计,家庭烹饪,2022-12-15,厨房电器展,https://www.cooktech.com,,
智能门锁,Nuki,Smart Lock 3.0,五年保修,Nuki OS,Nuki Home Solutions,ARM Cortex-M4,Espressif ESP32-WROOM,APP控制与指纹识别,家庭安全工具,实时监控门状态，远程开锁,家庭安防,2023-06-15,智能安防行业报告,https://www.nuki.io,,
智能墙壁音响,Amazon,Echo Studio,一年保修,Alexa OS,亚马逊,ARM Cortex-A53,Qualcomm APQ8053,语音控制,音响助手,高品质音效，智能家居集成,家庭娱乐,2022-08-22,智能音响论坛,https://www.amazon.com,,
智能健身设备,Peloton,Peloton Bike+,两年保修,Peloton OS,Peloton Interactive,Intel Atom x5-Z8350,Broadcom BCM4350,触控控制,健身培训助手,提供实时教练指导，记录训练数据,家庭健身,2023-07-12,健身科技研究,https://www.peloton.com,,
智能水壶,HidrateSpark,Smart Water Bottle,一年保修,Hidrate OS,HidrateSpark Inc.,ARM Cortex-M0+,Ambiq Micro Apollo3,触摸与APP控制,水分管理工具,提醒饮水，记录水分摄入,家庭健康管理,2023-05-30,健康科技论坛,https://www.hidratespark.com,,
智能睡眠监测器,Withings,Sleep Analyzer,两年保修,Withings OS,Withings S.A.,ARM Cortex-M4,NXP FRDM-KL25Z,APP控制,睡眠管理工具,监测睡眠质量，提供改善建议,家庭健康,2022-09-10,健康科技杂志,https://www.withings.com,,
智能语言翻译耳机,Wyze,Wyze Buds,一年保修,Wyze OS,Wyze Labs,Qualcomm QCC3050,Qualcomm QCC3026,触控与语音控制,语言助手,实时翻译多种语言,家庭日常沟通,2023-08-01,科技产品评论,https://www.wyze.com,,
智能农田监测系统,AgriTech,Smart Farm AI,三年保修,AgriTech OS,AgriTech Solutions,Intel Core i7,Texas Instruments CC1352P,远程监测与控制,农业管理工具,土壤湿度监测，天气预报,家庭园艺,2023-02-02,农业科技展,https://www.agritech.com,,
智能温湿度监测器,米家,Mijia Humidity Monitor,一年保修,Mi OS,小米科技,ESP8266,BME280,APP控制,环境监测工具,实时监测室内温湿度，提供数据分析,家庭环境监控,2023-02-20,智能家居市场观察,https://www.smarthome.com,,
智能冷藏柜,海尔,HRF-518,三年保修,Haier Smart OS,海尔集团,ARM Cortex-A7,Atmel ATMEGA128,触控与APP控制,食品冷藏助手,智能温控，食材新鲜提醒,家庭厨房,2022-10-01,家电评测网站,https://www.applianceevaluation.com,,
智能空气净化器,Dyson,Pure Cool,两年保修,Dyson Link,Dyson Ltd.,ARM Cortex-M4,Honeywell HPM,语音控制与APP控制,空气质量管理工具,HEPA过滤，空气质量实时监测,家庭健康,2023-04-15,环境科技杂志,https://www.environmentaltech.com,,
智能灯光系统,Philips,Hue White and Color Ambiance,两年保修,Philips Hue Bridge,飞利浦,ARM Cortex-M3,NXP JN5168,APP控制与语音,智能照明助手,调节灯光颜色与亮度，定时功能,家庭氛围营造,2022-11-30,智能家居市场报告,https://www.smartlightreport.com,,
智能电子锁,August,Smart Lock Pro,三年保修,August Smart Lock App,August Home,ARM Cortex-M4,Broadcom BCM4343,APP控制与语音,安全入侵检测工具,远程控制锁，门状态监测,家庭安全,2023-03-05,智能安防产品评测,https://www.securityproductreviews.com,,
智能窗帘控制系统,Zemismart,Zemismart Smart Curtain,一年保修,Zemismart Control App,Zemismart,ESP32,ESP8266,APP控制与语音,家庭自动化助手,远程控制窗帘开关，定时功能,家庭隐私管理,2023-06-20,家庭自动化专区,https://www.home-automation.com,,
智能健身追踪器,Garmin,Forerunner 245,一年保修,Garmin OS,Garmin Ltd.,ARM Cortex-M4,Nordic nRF52840,触控与APP控制,健身数据分析工具,心率、步数和距离追踪,家庭健康管理,2023-01-30,运动科技趋势分析,https://www.garmin.com,,
智能宠物喂食器,PetSafe,Smart Feed,两年保修,PetSafe App,PetSafe Inc.,ARM Cortex-M0,ESP32,APP控制,宠物管理助手,定时喂食功能，份量控制,宠物照顾,2022-08-22,宠物科技观察,https://www.pettechnews.com,,
智能烟雾探测器,Nest,Nest Protect,五年保修,Nest App,Google,ARM Cortex-A9,TI CC2652,APP控制,安全监测工具,烟雾和一氧化碳监测，实时报警,家庭安全,2022-07-10,淮南安全科技展,https://www.nest.com,,
智能污水处理器,EcoPump,ECP-1000,两年保修,EcoPump App,EcoPump Inc.,ARM Cortex-A15,Microchip PIC32MX,APP控制,环境管理工具,污水处理自动监测和控制,家庭污水处理,2022-10-15,环境管理评论,https://www.ecopump.com,,
智能音乐播放器,Sonos,Sonos One,一年保修,Sonos OS,Sonos Inc.,ARM Cortex-A9,Qualcomm QCA9377,语音控制与APP,家庭音响助手,高保真音乐播放，智能家居控制,家庭娱乐,2023-02-05,音响设备评测,https://www.sonos.com,,
智能监控摄像头,Wyze,Wyze Cam v3,一年保修,Wyze App,Wyze Labs,ARM Cortex-A7,Ambarella S5L,APP控制,视频监控助手,HD视频监控，夜视功能,家庭监控,2022-09-18,安全监控产品评测,https://www.wyzelabs.com,,
智能灶具,Samsung,NZ30K7880UG,三年保修,Samsung SmartThings,三星电子,ARM Cortex-A53,NXP LPC4330,触控与APP控制,厨房智能助手,智能火力控制，节能设计,家庭厨房,2023-05-25,厨房智能化研究,https://www.samsung.com,,
智能水管监测系统,Honeywell,Smart Water Leak Detector,两年保修,Honeywell Home App,霍尼韦尔,ARM Cortex-M4,TI CC2640R2F,APP控制,水质监测工具,水损监测，自动报警,家庭水管理,2022-12-01,家庭水务管理,https://www.honeywell.com,,
智能家居控制中心,小米,XiaoMi Home Hub,两年保修,MIUI Smart,小米科技,ARM Cortex-A53,Qualcomm Snapdragon 410,APP控制与语音助手,智能家居助手,集中控制家居设备，支持多种协议,家庭智能化,2022-05-22,智能家居评测,https://www.smart-home.com,,
智能门锁,August,Smart Lock Pro,三年保修,Smart Lock OS,August Home Inc.,ARM Cortex-A7,Nordic nRF52840,APP控制与指纹识别,安全控制工具,智能锁定与解锁，访客管理,家庭安防,2021-09-12,智能锁行业报告,https://www.august.com,,
智能调光灯,PHILIPS,Hue White and Color,两年保修,Hue API,飞利浦,ARM Cortex-M0,Espressif ESP8266,APP控制与语音控制,照明管理工具,可调颜色与亮度，定时功能,家庭照明,2020-10-05,智能照明市场研究,https://www.lighting.philips.com,,
智能冰箱,LG,smart Inverter Refrigerator,五年保修,LG ThinQ,LG电子,ARM Cortex-A53,MediaTek MT7623,APP控制与触控面板,食品管理工具,温度调节，食物过期提醒,家庭厨房,2022-01-18,家电科技新闻,https://www.lg.com,,
智能净水器,安之星,A1智能净水器,一年的保修,自研OS,安之星科技,ARM Cortex-M4,Microchip MCP2221,触控与APP控制,健康饮水助手,实时水质监测，滤芯更换提醒,家庭饮水,2023-03-20,饮用水技术杂志,https://www.purewater.com,,
