品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注
ASICS,FluidFit、FlyteFoam,高,合脚舒适、轻盈,跑鞋、运动服,跑步俱乐部,https://www.asics.com/,,
Victory,QuickDry、ComfortFlex,中,吸湿排汗、活动自如,健身服、运动背心,用户反馈调查,https://www.victorysports.cn/,,
Salomon,GORE-TEX、SensiFit,高,防水透气、精密贴合,登山鞋、跑步装备,户外运动指南,https://www.salomon.com/,,
耐克,Nike Flyknit、Swoosh,高,轻盈、支持性强,篮球鞋、训练包,体育网站,https://www.nike.com/,,
Under Armour,UA Tech、HeatGear,高,快速干燥、轻便、抗菌,运动T恤、训练短裤,公司官网,https://www.underarmour.cn/,,
New Balance,Fresh Foam、Ndurance,高,舒适、耐磨、灵活,跑步鞋、健身鞋,行业展会,https://www.newbalance.com/,,
Lululemon,Nulu、Luxtreme,高,柔软、透气、四向弹性,瑜伽裤、运动上衣,用户满意度调查,https://www.lululemon.com/,,
李宁,压缩科技、Coolmax,高,排汗、舒适、抗紫外线,运动外套、篮球服,公司发布会,https://www.lining.com/,,
巴拉巴拉,透气网眼、超轻尼龙,中,舒适、耐磨、防风,儿童运动服、足球鞋,零售分析报告,https://www.balabala.com.cn/,,
Kappa,X-DRY、CoolFit,高,快干、柔软、符合人体工学,跑步装备、休闲服,行业期刊,https://www.kappa.com.cn/,,
ASICS,FlyteFoam、GEL,高,轻量、减震、耐用,跑步鞋、训练鞋,科技测评,https://www.asics.com.cn/,,
PUMA,Rihanna Anti-Gravity、ProFoam,中,舒适、灵活、支持性强,街头运动鞋、连衣裙,时尚杂志,https://www.puma.com.cn/,,
H&M,再生聚酯、Lyocell,中,环保、透气、轻薄,休闲服、日常服装,公司博客,https://www.hm.com.cn/,,
GAP,Fresh Tech、Stretch Twill,高,快干、舒适、易于打理,休闲裤、T恤,消费者反馈,https://www.gap.com/,,
FILA,CoolMax、4Way Stretch,高,抗湿、透气、灵活性好,体育服装、运动鞋,网络调查,https://www.fila.com.cn/,,
Columbia,Omni-Tech、Tight-weave,高,防水、透气、耐磨,促销外套、露营装备,运动博主评测,https://www.columbia.com.cn/,,
华为,NanoPro、AirMesh,中,科技智能、舒适、兼容性强,智能运动服、健身追踪器,科技展会,https://www.huawei.com/,,
Uniqlo,HeatTech、Ultra-Light Down,中,保暖、轻便、易于洗涤,冬季外套、基本款,产品发布简报,https://www.uniqlo.com/,,
Nike,Aeroswift、Flyknit,高,轻量、抗水、贴合身体,田径服、弹力鞋,用户使用体验,https://www.nike.com.cn/,,
Decathlon,Breathable Mesh、QuickDry Fabric,中,亲肤、可调节、耐磨损,户外运动服、泳衣,官网产品介绍,https://www.decathlon.cn/,,
Tchibo,TENCEL、Recycled Cotton,高,环保、舒适、适合敏感肌肤,室内服、家居服,可持续发展报告,https://www.tchibo.com/,,
Nike,Dri-FIT、SwooshTech,高,轻量、耐磨、透气,运动外套、练习短裤,运动科学期刊,https://www.nike.com.cn/,,
Under Armour,UA Tech™、HeatGear,高,速干、轻便、透气,运动T恤、跑步裤,行业报告,https://www.underarmour.cn/,,
Brooks,DriLayer®、Easy Run,中,舒适、持久、适合长跑,跑步鞋、运动衫,产品评测,https://www.brooksrunning.com/,,
Fila,F-TECH、Coolmax,高,快干、抗紫外线、保护性强,网球服、运动鞋,公司公告,https://www.fila.com/,,
New Balance,Fresh Foam、NB Dry,高,轻便、柔软、良好缓震,跑步鞋、健身鞋,消费者反馈,https://www.newbalance.com.cn/,,
Decathlon,Breathable Mesh、SoftShell,中,亲肤、耐磨、适合多场合,徒步鞋、运动外套,市场调研,https://www.decathlon.cn/,,
On Running,CloudTec®、Zero-Gravity Foam,高,极致轻盈、舒适、耐用,跑步鞋、运动袖,品牌介绍,https://www.on-running.com/,,
Loomstate,有机棉、回收聚酯,高,环保、天然、舒适,休闲装、运动套装,环保时尚展,https://www.loomstate.org/,,
H&M,再生聚酯、Organic Cotton,中,时尚、可持续、舒适,日常服、运动服,公司官网,https://www.hm.com.cn/,,
Gymshark,Flex、Charcoal,高,紧身、弹性、增强肌肉可视性,健身服、运动底裤,社交媒体广告,https://www.gymshark.com/,,
Vans,UltraCush、Eco-friendly Rubber,中,舒适、时尚、耐磨,板鞋、街头运动服,用户评论,https://www.vans.com/,,
ASICS,GEL®、FluidFit,高,减震、良好贴合、透气性好,跑步鞋、运动背心,运动博主,https://www.asics.com.cn/,,
Reebok,Speedwick、Cotton+Polyester,中,吸汗、舒适、适合运动与休闲,运动T恤、瑜伽裤,商业分析报告,https://www.reebok.cn/,,
Patagonia,Capilene®、Hemp Fabric,高,环保、快干、耐磨,冲锋衣、休闲外套,环境保护项目,https://www.patagonia.com/,,
Lululemon,Nulu、Nimbo,高,超柔软、四向拉伸、透气性好,瑜伽服、运动文胸,新产品发布会,https://www.lululemon.cn/,,
The North Face,DryVent、ThermoBall,高,防水、保暖、高透气,户外夹克、保暖外套,户外运动展,https://www.thenorthface.com.cn/,,
Columbia,Omni-Tech、Omni-Heat,高,防水、保温、透气性佳,登山服、外套,专业评测文章,https://www.columbia.com.cn/,,
PUMA,Clyde Court、R-TG,中,耐磨、舒适、适合街头运动,休闲鞋、运动套装,流行趋势分析,https://www.puma.com.cn/,,
李宁,CoolDry、UltraFlex,高,快速干燥、轻量舒适、弹性佳,运动衫、跑鞋,公司官网,https://www.lining.com/,,
H&M,Recycled PET、Organic Cotton,高,可持续材料、透气性好,休闲服、运动服,环保时尚展,https://www.hm.com/,,
新百伦,Fresh Foam、Hypoknit,高,极致舒适、适合长时间穿着,跑步鞋、健身服,产品发布会,https://www.newbalance.com.cn/,,
Under Armour,HeatGear、UA Tech,高,透气、轻薄、快干,运动衫、紧身裤,运动时尚大会,https://www.underarmour.com.cn/,,
Adidas,Terrex、GORE-TEX,高,防水、透气、抗风,登山鞋、户外服,国际户外展,https://www.adidas.cn/,,
PUMA,NITRO Foam、SoftFoam+,高,舒适、减震、适合运动,跑鞋、休闲鞋,用户评价调查,https://www.puma.com.cn/,,
哥伦比亚,Omni-Tech、Omni-Heat,高,防水、保暖、透气,冲锋衣、运动靴,户外装备博览会,https://www.columbia.com.cn/,,
STANCE,Merino Wool、Coolmax,中,防臭、舒适、性能优越,运动袜、休闲袜,时尚与科技峰会,https://www.stance.com.cn/,,
ASICS,FlyteFoam、GEL,高,减震、轻量、舒适,跑鞋、训练服,跑步展会,https://www.asics.com.cn/,,
FILA,Cotton Stretch、Dri-Fit,中,舒适、轻便、时尚,运动衫、运动裤,时尚发布会,https://www.fila.com.cn/,,
Lululemon,Luon、Nulu,高,舒适、干爽、适合瑜伽,瑜伽服、运动内衣,公司官网,https://www.lululemon.com.cn/,,
Reebok,Ribbed Stretch、Speedwick,中,透气、弹性、耐磨,健身服、运动鞋,健身器材博览会,https://www.reebok.com.cn/,,
Outdoor Research,GORE-TEX、Pertex,高,导湿、防水、保温,野营服、登山装备,国际户外用品博览会,https://www.outdoorresearch.com.cn/,,
Mountain Hardwear,Dry.Q、AirShield,高,防风、透气、高性能,冲锋衣、运动裤,公司官网,https://www.mountainhardwear.com.cn/,,
Mizuno,AeroWave、SmoothFit,高,透气、流线型设计，适合长途运动,跑鞋、运动服,运动品牌展会,https://www.mizuno.com.cn/,,
On Running,CloudTec、Helion,高,轻量、舒适、对抗撞击,跑步鞋、训练服,品牌活动,https://www.on-running.cn/,,
Alo Yoga,Airlift、Molded,高,舒适、适合瑜伽、极致贴合,瑜伽服、运动短裤,公司官网,https://www.aloyoga.com.cn/,,
Roxy,Repreve、Quick Dry,中,适合水上运动、可再生材料,泳衣、冲浪服,公司官网,https://www.roxy.com.cn/,,
Under Armour,UA HOVR、Anti-Odor,高,减少摩擦、持久抗菌、极限吸湿,运动鞋、训练服,运动科技展,https://www.underarmour.cn/,,
Nike,Nike Air、Therma-FIT,高,保温、透气、长时间舒适,冬季外套、运动裤,行业博客,https://www.nike.com/,,
Lululemon,Nulu、Luon,中,柔软、四向弹力、适合瑜伽,瑜伽裤、运动文胸,购买评论,https://www.lululemon.cn/,,
PUMA,Sustainable Cotton Blend,高,再生材料、透气、环保,休闲T恤、运动短裤,公司报告,https://www.puma.com/,,
Adidas,AEROREADY、Primegreen,高,系统吸湿、循环材料,运动服、跑步鞋,行业分析,https://www.adidas.cn/,,
New Balance,Fresh Foam、Kinetic Stitch,高,增强支撑、舒适跑步体验,跑步鞋、健身鞋,市场研究,https://www.newbalance.cn/,,
On Running,CloudTec、PROFOAM,高,提高舒适性、极致缓震,跑步鞋、户外鞋,运动零售分析,https://www.on-running.com/,,
Asics,FlyteFoam、Mono-Sock,高,轻量设计、快速调节合脚,跑步鞋、训练服,公司新闻,https://www.asics.cn/,,
Reebok,Cotton & Polyester Blend,中,耐磨、轻便、适合休闲运动,跑步鞋、瑜伽服,用户评价,https://www.reebok.cn/,,
Salomon,Advanced Skin技术,高,排汗、舒适包裹感,越野跑鞋、户外服,专业评测网站,https://www.salomon.com/,,
Mizuno,Wave技术、AeroHug,高,支撑性强、透气轻便,运动鞋、跑步服,跑步论坛,https://www.mizuno.cn/,,
Skechers,Hyper Burst、Air Cooled,中,轻量、舒适透气、弹性好,休闲鞋、运动服,运动社区,https://www.skechers.cn/,,
Lands' End,Coolmax、EcoBlend,中,清凉、环保材料,休闲服、雪地靴,公司官网,https://www.landsend.com/,,
Jack Wolfskin,Texapore、Nanuk,高,防水、保暖、透气性强,户外夹克、登山鞋,用户评论,https://www.jack-wolfskin.com/,,
Outdoor Research,Pertex、GORE-TEX,高,超轻、绝缘性好、防水透气,户外服装、装备,户外杂志,https://www.outdoorresearch.com/,,
Columbia,Omni-Tech、Omni-Wick,高,防水、快干、透气,冲锋衣、登山靴,品牌发布会,https://www.columbia.com/,,
Fjällräven,G-1000、EcoShell,高,耐用、风雨保护、可持续,户外背包、露营服,环保网站,https://www.fjallraven.com/,,
李宁,Windproof Fabric、Light Reflective,高,防风、反光设计、轻便透气,户外运动服、跑步夹克,公司官网,https://www.lining.com/,,
Under Armour,UA Tech、Anti-Odor,高,抗菌、快干、舒适透气,运动T恤、训练短裤,公司官网,https://www.underarmour.cn/,,
New Balance,Fresh Foam、Hypoknit,高,超级舒适、弹性好、透气,跑鞋、日常运动鞋,用户评论,https://www.newbalance.com.cn/,,
H&M,Recycled Polyester、Organic Cotton,中,环保、舒适、适合日常穿着,休闲服、运动服,可持续发展报告,https://www.hm.com.cn/,,
华为,Nano-Textile、Eco-Friendly Fabric,高,纳米技术、环保、舒适透气,智能运动服,科技新品发布会,https://consumer.huawei.com/cn/,,
FILA,Airflow Mesh、Lightweight Foam,中,轻量、透气、湿气释放,运动鞋、运动裤,线上评测,https://www.fila.com.cn/,,
ASICS,GEL-Cushioning、Breathable Textile,高,减震、透气性极佳、适合长跑,跑步鞋、运动服,公司官网,https://www.asics.com.cn/,,
快时尚,Performance Blend、Eco-Active,中,高性能、环保、舒适,青春时尚运动服,设计师访谈,https://www.zara.com/cn/,,
Lululemon,Nulu、Warpstreme,高,超柔软、轻量、适合瑜伽,瑜伽服、休闲裤,公司官网,https://www.lululemon.com/,,
Reebok,Flexweave、Cotton,中,灵活性、耐用，适合健身,运动鞋、训练短裤,用户评价,https://www.reebok.cn/,,
Alo Yoga,Airlift、Silverscent,高,速干、抗菌、极度舒适,瑜伽裤、运动内衣,公司官网,https://www.aloyoga.com/,,
Nautica,UV Resistant、Water-Repellent Fabric,中,防紫外线、透气性好,户外休闲服、运动衫,产品发布会,https://www.nautica.com/,,
Columbia,Omni-Tech、Omni-Wick,高,防水、湿气排放、舒适,户外夹克、登山服,公司官网,https://www.columbia.com/,,
Decathlon,Kalenji Technology、Moisture Wicking,中,亲肤、快速干燥,健身服、跑步装备,公司官网,https://www.decathlon.cn/,,
The North Face,Futurelight、ThermoBall,高,防水透气、保暖性能极佳,户外羽绒服、登山裤,公司官网,https://www.thenorthface.com.cn/,,
Uniqlo,BlockTech、Ultra Light Down,中,轻量、防风、透气,冲锋衣、羽绒服,用户评论,https://www.uniqlo.com/cn/,,
Patagonia,Traceable Down、Hemp Blend,高,可再生、环保、舒适,户外夹克、登山鞋,环保报告,https://www.patagonia.com.cn/,,
Skechers,Air-Cooled Memory Foam,高,记忆泡沫、舒适脚感、透气,休闲鞋、运动鞋,市场评价,https://www.skechers.cn/,,
New Balance,Fresh Foam、NB Dry,高,增强缓震、吸湿排汗、耐磨,跑鞋、训练鞋,公司官网,https://www.newbalance.com.cn/,,
Under Armour,HeatGear、Threadborne,高,轻便、透气性好、防臭,运动衫、滑雪服,用户评论,https://www.underarmour.com.cn/,,
Lululemon,Nulu、LUon,高,超柔软、良好伸展性、速干,瑜伽裤、运动背心,公司官网,https://www.lululemon.com/,,
H&M,Recycled Polyester、Organic Cotton,中,环保、柔软、舒适,日常服装、休闲服,公司官网,https://www.hm.com.cn/,,
Reebok,Speedwick、Flexweave,高,极速干燥、良好支撑、耐久性强,运动鞋、健身装,公司官网,https://www.reebok.cn/,,
ASICS,GEL技术、FluidFit,高,卓越舒适、支撑性强、抗震,跑鞋、越野鞋,体育博览会,https://www.asics.com.cn/,,
Puma,Rider Foam、dryCELL,高,优质缓震、排汗及舒适性,训练鞋、运动服,公司官网,https://www.puma.com.cn/,,
FILA,AIR MESH、Techfit,中,透气性好、舒适合脚、时尚设计,运动服、休闲鞋,品牌活动推广,https://www.fila.com.cn/,,
Fjällräven,G-1000、Eco-Shell,高,防水、透气、耐磨,户外夹克、背包,环保博览会,https://www.fjallraven.com/,,
North Face,DryVent、FlashDry,高,防水、防风、透气,登山服、徒步鞋,公司官网,https://www.thenorthface.com.cn/,,
Columbia,Omni-Tech、Omni-Shade,高,防水、抵御UV、透气,户外服装、登山鞋,线上客户反馈,https://www.columbia.com.cn/,,
Arc'teryx,N80p-X、GORE-TEX,高,极致防水、耐磨损、轻便,高山外套、冲锋裤,产品发布会,https://www.arc'teryx.com/,,
adidas,AEROREADY、Lightweight Primeknit,高,快速吸湿、舒适体贴、轻量,运动鞋、跑步服,社交媒体评测,https://www.adidas.com.cn/,,
ZARA,Eco-Friendly Cotton、Tencel,中,环保、超柔软、适合日常穿搭,休闲服、春秋外套,公司官网,https://www.zara.com.cn/,,
Hoka,Meta-Rocker、Compression,高,舒适稳定、良好支撑、透气,跑步鞋、训练鞋,运动博览会,https://www.hoka.com/,,
Moncler,Cordura、Down,高,防风、保暖、耐磨,滑雪外套、羽绒服,公司官网,https://www.moncler.cn/,,
Oakley,O Matter、Hydrophobic,高,轻便、防水、舒适,运动眼镜、滑雪服,公司官网,https://www.oakley.com/,,
Burberry,Gabardine、Tartan,中,耐久性高、经典设计、舒适,风衣、休闲装,FAF时尚博览会,https://www.burberry.com.cn/,,
Under Armour,UA RUSH、Tech Mesh,高,促进血液循环、吸湿排汗、轻量,运动衫、短裤,公司官网,https://www.underarmour.cn/,,
Asics,FlyteFoam、GEL,高,减震、舒适、耐磨,跑鞋、训练鞋,体育用品展会,https://www.asics.com/,,
New Balance,Fresh Foam、Hypoknit,高,支持性好、灵活、透气,跑步鞋、健身鞋,用户反馈调查,https://www.newbalance.cn/,,
FILA,Coolmax、AeroTech,中,透气、排汗、快干,网球服、运动裤,公司官网,https://www.fila.cn/,,
Lululemon,Nulu、Luxtreme,高,极度舒适、抗紫外线、弹性好,瑜伽裤、运动内衣,全球产品发布,https://www.lululemon.com/,,
Puma,NITRO Foam、DryCELL,高,轻量、透气、应对湿气,跑鞋、训练装备,社会媒体宣传,https://www.puma.cn/,,
Descente,Motion 3D、Dry-Tex,高,四面弹、保暖、快速排汗,冬季户外服、滑雪服,户外展会,https://www.descente.com/,,
Columbia,Omni-Tech、Omni-Heat,高,防水、透气、保温,登山服、外套,公司官网,https://www.columbia.com.cn/,,
Patagonia,H2No、Capilene,高,环保、耐用、防风,户外服、冲锋衣,可持续发展报告,https://www.patagonia.cn/,,
Reebok,Floatride Foam、Speedwick,高,透气、支持性好、减震,健身鞋、运动服,运动品牌论坛,https://www.reebok.cn/,,
H&M,Conscious Cotton、Recycled Polyester,中,环保、生机复苏、舒适,休闲服、日常穿着,公司资讯,https://www.hm.com/,,
Lands' End,ThermaCheck、Anti-Pill Fleece,中,防风、柔软、适合冬季,外套、归家穿着,在线促销,https://www.landsend.com/,,
Mizuno,AeroHug、Mizuno Wave,高,状体贴合、稳定性好、速干,跑鞋、训练服,公司官网,https://www.mizunocorp.com/,,
Arc'teryx,GORE-TEX、Coreloft,高,高性能、轻量、保暖,登山装备、户外服,户外运动杂志,https://www.arcteryx.com/,,
Champion,Eco Fleece、Double Dry,中,舒适、耐用、适合休闲穿,卫衣、休闲裤,用户推荐,https://www.champion.cn/,,
Skechers,Air Cooled Memory Foam,中,舒适、透气、轻量,休闲鞋、健步鞋,零售商活动,https://www.skechers.cn/,,
