实现方案种类（字符型）,量子比特处理器多少位（数字型）,量子比特间的纠缠或连接程度（字符型）,单量子比特储存时间（数值型）,单位,保真度（数值型）,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
离子阱量子比特,15,高（每个量子比特连接多个）,275,微秒,98.8,%,Ars Technica,https://arstechnica.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,1000,高（每个量子比特连接多个）,120,微秒,99.3,%,Phys.org,https://phys.org/,2024-10-22,,,,,,,,,,,,
光量子比特,300,中（每个量子比特连接2-3个）,90,微秒,99.1,%,Science Daily,https://www.sciencedaily.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,2048,高（每个量子比特连接多个）,250,微秒,98.5,%,Physics World,https://physicsworld.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,365,低（每个量子比特连接1-2个）,65,微秒,99.4,%,The Register,https://www.theregister.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,25,高（每个量子比特连接多个）,400,微秒,99,%,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,450,高（每个量子比特连接多个）,110,微秒,99.7,%,VentureBeat,https://venturebeat.com/,2024-10-22,,,,,,,,,,,,
光量子比特,150,中（每个量子比特连接2-3个）,95,微秒,99.2,%,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-4个）,150,微秒,98.5,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
量子点量子比特,512,高（每个量子比特连接多个）,120,微秒,99,%,IEEE Transactions,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-22,,,,,,,,,,,,
光学量子比特,800,中（每个量子比特连接2-3个）,80,微秒,97.2,%,Optica,https://www.osapublishing.org/optica/home.cfm,2024-10-22,,,,,,,,,,,,
冷原子量子比特,1400,高（每个量子比特连接多个）,400,微秒,99.4,%,Journal of Quantum Information,https://www.worldscientific.com/worldscinet/jqi,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,250,微秒,99.6,%,Nature Reviews Physics,https://www.nature.com/natrevphys/,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,中（每个量子比特连接2-5个）,60,微秒,99.1,%,Quantum Magazine,https://www.quantamagazine.org/,2024-10-22,,,,,,,,,,,,
量子链量子比特,300,低（每个量子比特连接1-2个）,75,微秒,96.3,%,Physics Today,https://www.physicstoday.org/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,175,中（每个量子比特连接3-4个）,100,微秒,99.2,%,Scientific American,https://www.scientificamerican.com/,2024-10-22,,,,,,,,,,,,
光子量子比特,900,高（每个量子比特连接多个）,110,微秒,98.8,%,The Quantum Times,https://quantumtimes.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,256,高（每个量子比特连接多个）,150,微秒,99.6,%,中国科学技术大学,https://www.ustc.edu.cn,2024-10-22,,,,,,,,,,,,
光子量子比特,512,中（每个量子比特连接2-3个）,120,微秒,98.5,%,光子学研究所,https://www.photonics.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,84,高（每个量子比特连接多个）,250,微秒,99.4,%,华盛顿大学,https://www.washington.edu/news,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,低（每个量子比特只能连接1-2个）,350,微秒,98.8,%,加州大学伯克利分校,https://news.berkeley.edu,2024-10-22,,,,,,,,,,,,
超导量子比特,900,高（每个量子比特连接多个）,80,微秒,99.9,%,Nature通讯,https://www.nature.com,2024-10-22,,,,,,,,,,,,
量子点量子比特,300,中（每个量子比特连接3-4个）,90,微秒,97.5,%,哈佛大学,https://www.harvard.edu,2024-10-22,,,,,,,,,,,,
超导量子比特,450,高（每个量子比特连接多个）,110,微秒,99.3,%,清华大学,https://www.tsinghua.edu.cn,2024-10-22,,,,,,,,,,,,
拓扑量子比特,70,低（每个量子比特连接1-2个）,400,微秒,98,%,MIT科学期刊,https://www.sciencemag.org,2024-10-22,,,,,,,,,,,,
量子计算核心,128,中（每个量子比特连接2-3个）,140,微秒,99.2,%,科技前沿,https://www.techfrontier.cn,2024-10-22,,,,,,,,,,,,
冷原子量子比特,960,高（每个量子比特连接多个）,210,微秒,99.1,%,IEEE期刊,https://www.ieee.org,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个逻辑量子位对应2048个物理量子位）,120,微秒,99.9,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2-4个）,250,微秒,98.5,%,Physics Today,https://www.physicstoday.org,2024-10-22,,,,,,,,,,,,
拓扑量子比特,128,高（每个量子比特连接多个）,150,微秒,99.1,%,Quantum Magazine,https://www.quantummagazine.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3200,高（每个量子比特连接多个）,300,微秒,97.8,%,Scientific American,https://www.scientificamerican.com,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,90,微秒,99.6,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
光子量子比特,250,中（每个量子比特连接1-2个）,45,微秒,98.7,%,Optics Express,https://www.osapublishing.org/oe/home.cfm,2024-10-22,,,,,,,,,,,,
离子阱量子比特,80,低（每个量子比特连接1-2个）,200,微秒,96.5,%,Physics Review Letters,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
量子点量子比特,150,中（每个量子比特连接2-3个）,60,微秒,98.2,%,Nature Physics,https://www.nature.com/nphys,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个逻辑量子位对应1024个物理量子位）,110,微秒,99.4,%,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4800,高（每个量子比特连接多个）,275,微秒,98.3,%,Wired,https://www.wired.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,2048,高（每个量子比特连接多个）,90,微秒,99.6,%,腾讯科技,https://tech.qq.com,2024-10-22,,,,,,,,,,,,
超冷原子量子比特,512,中（每个量子比特连接2-3个）,150,微秒,97.5,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
光子量子比特,256,中（每个量子比特连接2-3个）,120,微秒,98.8,%,新京报,https://www.bjnews.com.cn,2024-10-22,,,,,,,,,,,,
量子点量子比特,1024,高（每个量子比特连接多个）,80,微秒,99.4,%,清华大学科研,https://www.tsinghua.edu.cn,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个量子比特连接多个）,110,微秒,99.7,%,科学美国人,https://www.scientificamerican.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,中（每个量子比特连接2-3个）,250,微秒,98.5,%,华盛顿邮报,https://www.washingtonpost.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7000,高（每个量子比特连接多个）,220,微秒,97,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
量子电路量子比特,2048,高（每个量子比特连接多个）,95,微秒,99.9,%,中国科技网,https://www.cst.edu.cn,2024-10-22,,,,,,,,,,,,
超导量子比特,888,中（每个量子比特连接2-3个）,60,微秒,99.3,%,量子科技前沿,https://www.qe.edu.cn,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.9,%,牛津大学,https://www.ox.ac.uk,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-3个）,80,微秒,98.5,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,500,微秒,99.2,%,哈佛大学,https://www.harvard.edu,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3500,高（每个量子比特连接多个）,220,微秒,98.8,%,科技前沿,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,
光量子比特,1024,中（每个量子比特连接2-3个）,60,微秒,97.5,%,IEEE,https://www.ieee.org,2024-10-22,,,,,,,,,,,,
超导量子比特,1536,高（每个量子比特连接多个）,110,微秒,99.6,%,清华大学,https://www.tsinghua.edu.cn,2024-10-22,,,,,,,,,,,,
光学量子比特,128,中（每个量子比特连接2-3个）,30,微秒,95.1,%,中科院,https://www.cas.cn,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,90,微秒,99.7,%,未来科学,https://www.futuristscience.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,35,中（每个量子比特连接2-3个）,400,微秒,98.9,%,量子日报,https://www.quantumdaily.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,768,高（每个量子比特连接多个）,180,微秒,99.1,%,演化计算,https://www.evolutionarycomputation.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-3个）,120,微秒,98.5,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
光量子比特,512,高（每个量子比特连接多个）,150,微秒,99.1,%,Science Advances,https://www.science.org/journal/sciadv,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,90,微秒,99.9,%,Quantum Magazine,https://www.quantummagazine.com/,2024-10-22,,,,,,,,,,,,
光学量子比特,128,低（每个量子比特连接1个）,60,微秒,97,%,IEEE Quantum,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-22,,,,,,,,,,,,
量子点量子比特,5120,中（每个量子比特连接2-3个）,250,微秒,98.7,%,Nature Nanotechnology,https://www.nature.com/nano/,2024-10-22,,,,,,,,,,,,
超导量子比特,850,高（每个量子比特连接多个）,110,微秒,99.4,%,Physics Today,https://www.phystoday.org/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,中（每个量子比特连接2-3个）,320,微秒,99.2,%,Massachusetts Institute of Technology,https://web.mit.edu/,2024-10-22,,,,,,,,,,,,
量子线圈量子比特,256,高（每个量子比特连接多个）,180,微秒,98,%,Physical Review Letters,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
半导体量子比特,1024,低（每个量子比特连接1-2个）,40,微秒,96.5,%,Journal of Applied Physics,https://aip.scitation.org/journal/jap,2024-10-22,,,,,,,,,,,,
量子计算机网格,512,高（每个量子比特连接多个）,130,微秒,98.9,%,Harvard University,https://www.harvard.edu/,2024-10-22,,,,,,,,,,,,
光学量子比特,512,高（每个量子比特连接多个）,120,微秒,99.2,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,65,微秒,99.4,%,清华大学,https://www.tsinghua.edu.cn/,2024-10-22,,,,,,,,,,,,
基于拓扑量子比特,30,高（每个量子比特连接多个）,200,微秒,98.5,%,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2-3个）,250,微秒,99,%,Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
光学量子比特,1024,高（每个量子比特连接多个）,90,微秒,99.6,%,科学美国人,https://www.scientificamerican.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个逻辑量子位对应1000多个物理量子位）,110,微秒,99.8,%,高能物理研究所,https://www.ihep.cas.cn/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,750,高（每个量子比特连接多个）,180,微秒,98.8,%,物理评论快报,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
超导量子比特,64,中（每个量子比特连接2-3个）,40,微秒,99.3,%,物理师学会,https://www.aps.org/,2024-10-22,,,,,,,,,,,,
光学量子比特,400,高（每个量子比特连接多个）,75,微秒,99.1,%,量子科学实验室,https://www.qsci-lab.com/,2024-10-22,,,,,,,,,,,,
光学量子比特,1024,中（每个量子比特连接2-3个）,150,微秒,98.7,%,科技日报,https://www.stdaily.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.6,%,清华大学量子研究中心,https://quantum.tsinghua.edu.cn,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2-3个）,75,微秒,98.5,%,中国科学院,https://www.cas.cn,2024-10-22,,,,,,,,,,,,
中性原子量子比特,9800,高（每个量子比特连接多个）,250,微秒,97.2,%,Nature Research,https://www.nature.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,250,高（每个量子比特连接多个）,200,微秒,99.9,%,清华大学,https://www.tsinghua.edu.cn,2024-10-22,,,,,,,,,,,,
超导量子比特,900,高（每个逻辑量子位对应200多个物理量子位）,95,微秒,99.3,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
量子点量子比特,150,中（每个量子比特连接2-3个）,60,微秒,96.7,%,麻省理工学院,https://www.mit.edu,2024-10-22,,,,,,,,,,,,
超导量子比特,1280,高（每个量子比特连接多个）,105,微秒,99.8,%,Quantum Magazine,https://www.quantummagazine.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,低（每个量子比特连接1个）,40,微秒,97.5,%,Physics Today,https://www.physicstoday.org,2024-10-22,,,,,,,,,,,,
拓扑量子比特,500,高（每个量子比特连接多个）,150,微秒,99.1,%,Harvard University,https://www.harvard.edu,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4500,高（每个量子比特连接多个）,220,微秒,98.8,%,Science Advances,https://www.science.org/journal/sciadv,2024-10-22,,,,,,,,,,,,
