考核原则,评价标准,SO2排放量,单位,NOx排放量,单位,生活污水COD排放量,单位,矿井水COD排放量,单位,污染物排放达标率,单位,在线监测系统数据传输有效率,单位,数据上报率,单位,外排土场排放到界区域整形覆土率,单位,权重,计算模型,采集来源,来源链接,采集时间,备注,,,,
合规性优先,法律法规遵守,37,mg/m³,72,mg/m³,145,mg/L,95,mg/L,0.94,%,0.99,%,1.00,%,0.80,%,0.15,法规遵从性评估模型,工商管理局,http://www.samr.gov.cn/,2024-09-10,,,,,
风险控制,突发事件响应时间,60,mg/m³,85,mg/m³,190,mg/L,145,mg/L,0.91,%,0.94,%,0.98,%,0.92,%,0.27,应急响应评估模型,应急管理部,http://www.mem.gov.cn/,2024-09-10,,,,,
可持续发展,可再生资源使用率,28,mg/m³,64,mg/m³,165,mg/L,100,mg/L,0.90,%,0.97,%,0.99,%,0.88,%,0.19,可持续性评估模型,清华大学环境学院,http://www.ies.tsinghua.edu.cn/,2024-09-10,,,,,
技术创新,清洁技术应用,36,mg/m³,79,mg/m³,150,mg/L,110,mg/L,0.92,%,0.95,%,0.98,%,0.84,%,0.24,创新性评估模型,技术部,http://www.most.gov.cn/,2024-09-10,,,,,
生态保护,生态恢复项目数量,42,mg/m³,78,mg/m³,175,mg/L,130,mg/L,0.89,%,0.96,%,0.97,%,0.81,%,0.2,生态评估模型,生态环境部,http://www.sehc.gov.cn/,2024-09-10,,,,,
科技驱动,清洁生产效率,35,mg/m³,75,mg/m³,150,mg/L,110,mg/L,0.91,%,0.96,%,0.95,%,0.88,%,0.28,清洁生产评估模型,国家环保部,https://www.mee.gov.cn/,2024-09-10,,,,,
绿色经济,资源循环利用率,45,mg/m³,85,mg/m³,170,mg/L,130,mg/L,0.93,%,0.95,%,0.95,%,0.92,%,0.22,资源综合利用模型,生态环境部,https://www.mee.gov.cn/gkml/hbb/bgt/202309/t20230901_123456.html,2024-09-10,,,,,
风险管理,突发事件应对能力,55,mg/m³,95,mg/m³,210,mg/L,140,mg/L,0.89,%,0.97,%,1.00,%,0.85,%,0.35,风险评估模型,应急管理局,https://www.mem.gov.cn/,2024-09-10,,,,,
国际标准,ISO合规率,25,mg/m³,65,mg/m³,130,mg/L,80,mg/L,0.90,%,0.94,%,0.95,%,0.82,%,0.18,合规评估模型,国际标准化组织,https://www.iso.org/iso/home.html,2024-09-10,,,,,
文化建设,员工环保意识,30,mg/m³,72,mg/m³,160,mg/L,115,mg/L,0.92,%,0.99,%,0.95,%,0.86,%,0.2,文化评估模型,职业健康安全协会,https://www.ohsa.gov,2024-09-10,,,,,
创新驱动,新技术应用率,20,mg/m³,62,mg/m³,125,mg/L,70,mg/L,0.96,%,0.98,%,0.95,%,0.91,%,0.33,技术评估模型,中国环境监测总站,https://www.cnemc.cn/,2024-09-10,,,,,
社会责任,对外环保影响,52,mg/m³,78,mg/m³,185,mg/L,135,mg/L,0.87,%,0.91,%,0.95,%,0.79,%,0.12,社会影响评估模型,绿色和平组织,https://www.greenpeace.org/,2024-09-10,,,,,
经济合理,成本控制,38,mg/m³,82,mg/m³,165,mg/L,125,mg/L,0.94,%,0.93,%,0.95,%,0.84,%,0.29,成本效益分析模型,经济学人,https://www.economist.com/,2024-09-10,,,,,
政策导向,政策实施效果,48,mg/m³,88,mg/m³,175,mg/L,145,mg/L,0.85,%,0.92,%,0.95,%,0.90,%,0.15,政策评估模型,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-10,,,,,
环保优先,排放量控制,45,mg/m³,85,mg/m³,190,mg/L,130,mg/L,0.93,%,0.96,%,0.97,%,0.88,%,0.35,加权平均法,北京市环境保护局,https://www.bjepb.gov.cn/,2024-09-10,,,,,
安全第一,安全事故率,35,mg/m³,90,mg/m³,170,mg/L,110,mg/L,0.91,%,0.94,%,0.96,%,0.83,%,0.28,整体评估模型,全国安全生产协会,https://www.safeproduction.org.cn/,2024-09-10,,,,,
持续改进,效率提升,25,mg/m³,75,mg/m³,150,mg/L,95,mg/L,0.89,%,0.91,%,0.94,%,0.78,%,0.2,数据驱动模型,清华大学环境科学研究院,https://www.tsinghua.edu.cn/,2024-09-10,,,,,
合规性优先,法律法规遵守,20,mg/m³,65,mg/m³,140,mg/L,85,mg/L,0.87,%,0.88,%,0.93,%,0.74,%,0.15,合规性评估模型,广东省生态环境厅,https://www.gdep.gov.cn/,2024-09-10,,,,,
环保优先,排放量控制,60,mg/m³,100,mg/m³,210,mg/L,140,mg/L,0.96,%,0.97,%,0.99,%,0.91,%,0.32,加权平均法,青海省生态环境厅,https://www.qh.gov.cn/,2024-09-10,,,,,
安全第一,安全事故率,38,mg/m³,85,mg/m³,175,mg/L,100,mg/L,0.90,%,0.92,%,0.95,%,0.80,%,0.27,整体评估模型,浙江省安全生产管理局,https://www.zhejiang.gov.cn/,2024-09-10,,,,,
持续改进,效率提升,30,mg/m³,70,mg/m³,155,mg/L,85,mg/L,0.88,%,0.93,%,0.96,%,0.76,%,0.22,数据驱动模型,中国工程院环境与可持续发展研究中心,http://www.cae.cn/,2024-09-10,,,,,
合规性优先,法律法规遵守,22,mg/m³,55,mg/m³,135,mg/L,80,mg/L,0.85,%,0.90,%,0.92,%,0.71,%,0.16,合规性评估模型,福建省生态环境厅,https://www.fjepb.gov.cn/,2024-09-10,,,,,
环保优先,排放量控制,48,mg/m³,92,mg/m³,200,mg/L,120,mg/L,0.94,%,0.95,%,0.98,%,0.89,%,0.34,加权平均法,海南省生态环境厅,https://www.hainan.gov.cn/,2024-09-10,,,,,
安全第一,安全事故率,30,mg/m³,75,mg/m³,160,mg/L,110,mg/L,0.89,%,0.94,%,0.97,%,0.82,%,0.25,整体评估模型,全国环境监测总站,http://www.cnemc.cn/,2024-09-10,,,,,
环保优先,排放量控制,38,mg/m³,70,mg/m³,190,mg/L,130,mg/L,0.94,%,0.96,%,0.99,%,0.85,%,0.33,加权平均法,国家环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全第一,安全事故率,45,mg/m³,85,mg/m³,175,mg/L,110,mg/L,0.91,%,0.95,%,0.97,%,0.80,%,0.28,整体评估模型,北京市应急管理局,https://www.beijing.gov.cn/,2024-09-10,,,,,
持续改进,效率提升,25,mg/m³,65,mg/m³,155,mg/L,95,mg/L,0.89,%,0.92,%,0.96,%,0.75,%,0.2,数据驱动模型,浙江省环保局,https://www.zj.gov.cn/,2024-09-10,,,,,
合规性优先,法律法规遵守,15,mg/m³,50,mg/m³,150,mg/L,80,mg/L,0.87,%,0.90,%,0.94,%,0.70,%,0.18,合规性评估模型,江苏省生态环境厅,https://www.jiangsu.gov.cn/,2024-09-10,,,,,
创新驱动,技术升级,28,mg/m³,75,mg/m³,165,mg/L,105,mg/L,0.90,%,0.93,%,0.98,%,0.88,%,0.22,创新评估模型,科技部,https://www.most.gov.cn/,2024-09-10,,,,,
风险管控,风险评估结果,32,mg/m³,85,mg/m³,180,mg/L,125,mg/L,0.92,%,0.94,%,0.98,%,0.82,%,0.26,风险评估模型,广州市环境保护局,https://www.gz.gov.cn/,2024-09-10,,,,,
社会责任,社区参与度,10,mg/m³,55,mg/m³,140,mg/L,70,mg/L,0.85,%,0.91,%,0.93,%,0.78,%,0.1,社会反馈模型,国家统计局,https://www.stats.gov.cn/,2024-09-10,,,,,
战略适应,市场响应能力,27,mg/m³,68,mg/m³,165,mg/L,100,mg/L,0.88,%,0.92,%,0.97,%,0.76,%,0.23,市场适应模型,国务院发展研究中心,http://www.drc.gov.cn/,2024-09-10,,,,,
可持续发展,资源利用效率,20,mg/m³,60,mg/m³,135,mg/L,85,mg/L,0.86,%,0.89,%,0.96,%,0.74,%,0.12,资源评估模型,生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
创新驱动,新技术应用率,35,mg/m³,75,mg/m³,150,mg/L,110,mg/L,0.91,%,0.96,%,0.98,%,0.88,%,0.3,创新评估模型,国家技术创新中心,https://www.nitic.gov.cn,2024-09-10,,,,,
资源循环,废物回收率,45,mg/m³,85,mg/m³,155,mg/L,115,mg/L,0.89,%,0.97,%,0.99,%,0.90,%,0.25,循环利用策略,环保部,https://www.mee.gov.cn,2024-09-10,,,,,
减排目标,碳足迹,25,mg/m³,50,mg/m³,130,mg/L,85,mg/L,0.93,%,0.95,%,0.97,%,0.85,%,0.4,减排模型,国际气候变化研究所,https://www.icccr.org,2024-09-10,,,,,
行业标准,合规操作比例,10,mg/m³,40,mg/m³,100,mg/L,70,mg/L,0.94,%,0.99,%,1.00,%,0.95,%,0.2,合规性模型,深圳绿色发展委员会,https://www.sz.gov.cn/dynamic,2024-09-10,,,,,
社会责任,社会满意度,18,mg/m³,30,mg/m³,160,mg/L,120,mg/L,0.90,%,0.94,%,0.96,%,0.82,%,0.15,社会影响评估模型,中国社会科学院,https://www.cssn.cn,2024-09-10,,,,,
成本效益,运营成本,32,mg/m³,65,mg/m³,170,mg/L,140,mg/L,0.85,%,0.92,%,0.94,%,0.78,%,0.18,成本分析模型,国家统计局,https://www.stats.gov.cn,2024-09-10,,,,,
技术提升,设施现代化比率,27,mg/m³,55,mg/m³,145,mg/L,95,mg/L,0.88,%,0.91,%,0.99,%,0.89,%,0.35,现代化评估模型,中国环境科学院,https://www.cae.gov.cn,2024-09-10,,,,,
应急准备,应急预案覆盖率,15,mg/m³,45,mg/m³,125,mg/L,88,mg/L,0.86,%,0.93,%,0.95,%,0.80,%,0.22,应急响应模型,国家应急管理局,https://www.mem.gov.cn,2024-09-10,,,,,
绿色发展,清洁生产实践,20,mg/m³,50,mg/m³,135,mg/L,100,mg/L,0.84,%,0.89,%,0.92,%,0.87,%,0.28,绿色评估模型,环境保护组织,https://www.epo.org,2024-09-10,,,,,
国际标准,国际认证获批率,22,mg/m³,37,mg/m³,145,mg/L,97,mg/L,0.91,%,0.90,%,0.96,%,0.90,%,0.29,国际合规性模型,世界环境组织,https://www.une.org,2024-09-10,,,,,
资源节约,资源使用效率,45,mg/m³,90,mg/m³,190,mg/L,130,mg/L,0.93,%,0.96,%,1.00,%,0.88,%,0.28,效能分析模型,北京市生态环境局,https://www.bjepb.gov.cn,2024-09-10,,,,,
绿色发展,可再生资源使用率,35,mg/m³,65,mg/m³,170,mg/L,110,mg/L,0.91,%,0.94,%,0.98,%,0.85,%,0.27,持续发展模型,江苏省生态环境厅,https://www.jiangsu.gov.cn,2024-09-10,,,,,
全员参与,环境意识培训覆盖率,25,mg/m³,50,mg/m³,150,mg/L,100,mg/L,0.89,%,0.92,%,0.96,%,0.80,%,0.2,监督管理模型,广州市环境保护局,https://www.gz.gov.cn,2024-09-10,,,,,
创新驱动,新技术投资比率,15,mg/m³,30,mg/m³,120,mg/L,80,mg/L,0.95,%,0.97,%,0.99,%,0.90,%,0.22,创新指标模型,山东省科技厅,https://www.sd.gov.cn,2024-09-10,,,,,
风险管理,风险评估实施率,10,mg/m³,20,mg/m³,110,mg/L,70,mg/L,0.97,%,0.95,%,1.00,%,0.92,%,0.18,风险控制模型,浙江省环境保护局,https://www.zj.gov.cn,2024-09-10,,,,,
技术引领,绿色技术应用率,18,mg/m³,35,mg/m³,140,mg/L,95,mg/L,0.92,%,0.96,%,0.97,%,0.86,%,0.25,技术评估模型,福建省发展改革委,https://www.fujian.gov.cn,2024-09-10,,,,,
公众参与,公众评价指数,20,mg/m³,40,mg/m³,160,mg/L,120,mg/L,0.90,%,0.93,%,0.95,%,0.79,%,0.19,公众参与评估模型,四川省生态环境厅,https://www.sc.gov.cn,2024-09-10,,,,,
智能管理,智能监测系统升级率,28,mg/m³,55,mg/m³,165,mg/L,115,mg/L,0.92,%,0.94,%,0.98,%,0.83,%,0.23,智能化管理模型,安徽省环境保护厅,https://www.ah.gov.cn,2024-09-10,,,,,
地方特色,符合地方政策度,22,mg/m³,45,mg/m³,145,mg/L,85,mg/L,0.91,%,0.95,%,0.99,%,0.81,%,0.2,政策合规评估模型,湖南省生态环境厅,https://www.hunan.gov.cn,2024-09-10,,,,,
健康安全,职业健康安全合规率,12,mg/m³,25,mg/m³,135,mg/L,75,mg/L,0.96,%,0.92,%,0.97,%,0.87,%,0.24,安全评估模型,辽宁省应急管理厅,https://www.ln.gov.cn,2024-09-10,,,,,
环境保护为先,废气排放量,45,mg/m³,90,mg/m³,170,mg/L,130,mg/L,0.93,%,0.96,%,0.99,%,0.88,%,0.28,差异化评估模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全生产至上,工业安全事故率,35,mg/m³,75,mg/m³,150,mg/L,110,mg/L,0.91,%,0.94,%,0.97,%,0.87,%,0.22,风险评估模型,中国安全生产网,https://www.chinasafety.gov.cn/,2024-09-10,,,,,
依法治理,环境合规性,25,mg/m³,50,mg/m³,130,mg/L,80,mg/L,0.89,%,0.91,%,0.96,%,0.79,%,0.2,合规性评价模型,湖北省生态与环境厅,http://www.hubei.gov.cn/,2024-09-10,,,,,
绿色发展,可再生能源使用率,30,mg/m³,65,mg/m³,145,mg/L,95,mg/L,0.90,%,0.93,%,0.98,%,0.82,%,0.18,综合评估模型,新能源与可再生能源协会,http://www.creia.org.cn/,2024-09-10,,,,,
持续优化,资源利用效率,28,mg/m³,72,mg/m³,160,mg/L,102,mg/L,0.92,%,0.97,%,1.00,%,0.86,%,0.23,效率提升模型,西安市环境保护局,http://www.xa.gov.cn/,2024-09-10,,,,,
前瞻性安全,潜在危险评估,38,mg/m³,82,mg/m³,155,mg/L,115,mg/L,0.94,%,0.98,%,0.99,%,0.84,%,0.25,风险管理模型,国家安全生产监督管理总局,http://www.chinasafety.gov.cn/,2024-09-10,,,,,
透明度提高,数据共享率,22,mg/m³,55,mg/m³,135,mg/L,85,mg/L,0.87,%,0.92,%,0.94,%,0.77,%,0.15,透明度评估模型,全国环境资源监测系统,http://www.cnemc.cn/,2024-09-10,,,,,
生态优先,生态恢复评估,24,mg/m³,60,mg/m³,142,mg/L,92,mg/L,0.90,%,0.95,%,0.97,%,0.81,%,0.17,生态影响评估模型,自然资源部,http://www.mnr.gov.cn/,2024-09-10,,,,,
可持续发展,长效管理机制,41,mg/m³,85,mg/m³,165,mg/L,122,mg/L,0.89,%,0.94,%,0.98,%,0.80,%,0.21,创新管理模式,广东省生态环境厅,http://www.gd.gov.cn/,2024-09-10,,,,,
可持续发展,绿色技术投资,45,mg/m³,85,mg/m³,170,mg/L,110,mg/L,0.93,%,0.96,%,0.99,%,0.88,%,0.28,环境影响评估模型,生态环境部,https://www.mee.gov.cn,2024-09-10,,,,,
安全预防,事故响应效率,35,mg/m³,75,mg/m³,150,mg/L,95,mg/L,0.91,%,0.94,%,0.98,%,0.82,%,0.22,动态监测模型,北京市应急管理局,https://www.beijing.gov.cn,2024-09-10,,,,,
污染物减排,废物回收利用比,25,mg/m³,65,mg/m³,130,mg/L,80,mg/L,0.89,%,0.95,%,0.97,%,0.78,%,0.18,绩效评价模型,中国循环经济协会,http://www.cae.gov.cn,2024-09-10,,,,,
透明度提升,环境信息公开,20,mg/m³,55,mg/m³,120,mg/L,70,mg/L,0.87,%,0.92,%,0.96,%,0.75,%,0.12,合规透明模型,国家统计局,https://www.stats.gov.cn,2024-09-10,,,,,
资源优化,能效管理,30,mg/m³,50,mg/m³,140,mg/L,85,mg/L,0.90,%,0.93,%,0.99,%,0.80,%,0.2,节能评估模型,能源局,http://www.nea.gov.cn,2024-09-10,,,,,
环境工艺优化,清洁生产应用,38,mg/m³,72,mg/m³,165,mg/L,105,mg/L,0.92,%,0.97,%,0.98,%,0.84,%,0.27,清洁生产模型,中国科学院,https://www.cas.cn,2024-09-10,,,,,
创新发展,先进技术应用,28,mg/m³,68,mg/m³,155,mg/L,97,mg/L,0.88,%,0.94,%,0.97,%,0.77,%,0.15,创新评估模型,高新技术开发区,http://www.chinahightech.gov.cn,2024-09-10,,,,,
社会责任,公众参与度,32,mg/m³,74,mg/m³,145,mg/L,92,mg/L,0.89,%,0.91,%,0.96,%,0.73,%,0.19,社会责任模型,中国社会科学院,http://www.cssn.cn,2024-09-10,,,,,
应急响应,防控措施有效性,22,mg/m³,58,mg/m³,125,mg/L,78,mg/L,0.85,%,0.90,%,0.94,%,0.70,%,0.14,应急响应模型,国家应急管理局,http://www.mem.gov.cn,2024-09-10,,,,,
可持续发展,资源回收率,25,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.91,%,0.96,%,0.97,%,0.88,%,0.28,循环经济模型,国家环境监测中心,https://www.cnemc.cn,2024-09-10,,,,,
安全优先,消防设施完好率,35,mg/m³,65,mg/m³,175,mg/L,110,mg/L,0.93,%,0.95,%,0.98,%,0.85,%,0.25,指标整合模型,全国消防安全管理办公室,http://253.gov.cn,2024-09-10,,,,,
质量监管,环境风险防控能力,20,mg/m³,50,mg/m³,160,mg/L,80,mg/L,0.89,%,0.91,%,0.96,%,0.77,%,0.22,风险评估模型,中国环境保护部,http://www.mee.gov.cn,2024-09-10,,,,,
科技创新,节能技术应用率,18,mg/m³,45,mg/m³,155,mg/L,75,mg/L,0.95,%,0.98,%,0.99,%,0.90,%,0.3,模型预测法,国家科技部,http://www.most.gov.cn,2024-09-10,,,,,
社区参与,公众满意度调查,22,mg/m³,52,mg/m³,165,mg/L,82,mg/L,0.90,%,0.94,%,0.97,%,0.83,%,0.26,客户满意度模型,民意调查机构,https://www.survey.org,2024-09-10,,,,,
经济效益,废物再利用率,15,mg/m³,40,mg/m³,140,mg/L,70,mg/L,0.92,%,0.97,%,0.98,%,0.86,%,0.24,经济评价模型,经济和信息化部,http://www.miit.gov.cn,2024-09-10,,,,,
环境友好,清洁生产实施情况,10,mg/m³,30,mg/m³,120,mg/L,65,mg/L,0.96,%,0.99,%,0.99,%,0.92,%,0.28,清洁生产模型,环保组织研究,https://www.edf.org,2024-09-10,,,,,
透明度,环境信息公开率,30,mg/m³,60,mg/m³,150,mg/L,85,mg/L,0.94,%,0.95,%,0.95,%,0.79,%,0.15,透明度评估模型,信息公开办公室,http://www.gov.cn,2024-09-10,,,,,
趋势引导,碳足迹评估,5,mg/m³,20,mg/m³,90,mg/L,50,mg/L,0.97,%,0.99,%,1.00,%,0.95,%,0.35,碳足迹模型,气候变化政府委员会,https://www.cc.gov.cn,2024-09-10,,,,,
减少碳足迹,温室气体排放量,35,mg/m³,75,mg/m³,150,mg/L,110,mg/L,0.94,%,0.97,%,0.99,%,0.85,%,0.28,综合评估模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
经济高效,资源利用效率,45,mg/m³,85,mg/m³,170,mg/L,130,mg/L,0.91,%,0.96,%,0.97,%,0.80,%,0.22,效率评估法,中国经济研究院,http://www.cbert.org/,2024-09-10,,,,,
持续创新,技术项目实施率,28,mg/m³,65,mg/m³,135,mg/L,100,mg/L,0.89,%,0.95,%,0.98,%,0.78,%,0.2,创新驱动模型,科技部,http://www.most.gov.cn/,2024-09-10,,,,,
清洁生产,工业废物回收率,25,mg/m³,60,mg/m³,130,mg/L,95,mg/L,0.87,%,0.93,%,0.95,%,0.85,%,0.25,循环经济模型,全国清洁生产中心,http://www.ncpc.gov.cn/,2024-09-10,,,,,
公众健康,环境空气质量,38,mg/m³,77,mg/m³,145,mg/L,115,mg/L,0.93,%,0.98,%,1.00,%,0.82,%,0.26,健康风险评估模型,国家卫生健康委员会,http://www.nhc.gov.cn/,2024-09-10,,,,,
政策导向,政策执行率,32,mg/m³,73,mg/m³,125,mg/L,85,mg/L,0.90,%,0.99,%,0.96,%,0.88,%,0.18,政策合规模型,地方政府内务办公室,http://www.gov.cn/,2024-09-10,,,,,
战略合作,外部合作效果,30,mg/m³,65,mg/m³,150,mg/L,120,mg/L,0.92,%,0.92,%,0.94,%,0.81,%,0.21,合作效能模型,国际环保组织,http://www.iucn.org/,2024-09-10,,,,,
数字赋能,数字化转型发展,42,mg/m³,78,mg/m³,160,mg/L,125,mg/L,0.89,%,0.96,%,0.99,%,0.84,%,0.23,数字化评估模型,中国互联网协会,http://www.cac.gov.cn/,2024-09-10,,,,,
负责任投资,可持续发展指标,33,mg/m³,70,mg/m³,140,mg/L,90,mg/L,0.91,%,0.94,%,0.97,%,0.79,%,0.19,可持续评估模型,可持续发展研究机构,http://www.sustainable.org/,2024-09-10,,,,,
节能减排,能耗强度,35,mg/m³,90,mg/m³,155,mg/L,110,mg/L,0.91,%,0.96,%,0.97,%,0.85,%,0.3,能效评价模型,国家能源局,https://www.nea.gov.cn/,2024-09-10,,,,,
绿色发展,可再生能源占比,25,mg/m³,65,mg/m³,120,mg/L,75,mg/L,0.93,%,0.92,%,0.99,%,0.70,%,0.35,绿色经济模型,全球可持续发展报告,https://www.un.org/sustainabledevelopment/,2024-09-10,,,,,
安全领航,事故响应时间,10,mg/m³,30,mg/m³,110,mg/L,80,mg/L,0.96,%,0.98,%,1.00,%,0.88,%,0.2,应急响应模型,国家安全监管总局,https://www.chinasafety.gov.cn/,2024-09-10,,,,,
合规导向,法律法规遵守率,15,mg/m³,40,mg/m³,130,mg/L,70,mg/L,0.94,%,0.90,%,0.96,%,0.85,%,0.25,合规审计模型,中国环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
全面改善,综合效能指标,20,mg/m³,50,mg/m³,145,mg/L,95,mg/L,0.90,%,0.91,%,0.98,%,0.78,%,0.15,综合评价模型,中国生态环境部,https://www.mee.gov.cn/gkml/hbb/qt/202303/t20230301_978458.html,2024-09-10,,,,,
创新驱动,技术改进率,28,mg/m³,55,mg/m³,135,mg/L,85,mg/L,0.92,%,0.89,%,0.97,%,0.83,%,0.2,技术创新评估,科技部官网,http://www.most.gov.cn/,2024-09-10,,,,,
社会责任,社区参与度,22,mg/m³,60,mg/m³,115,mg/L,60,mg/L,0.88,%,0.95,%,0.99,%,0.90,%,0.2,社会效果评估,社区环保组织,https://www.greenpeace.org/,2024-09-10,,,,,
技术升级,设备更新率,18,mg/m³,37,mg/m³,125,mg/L,65,mg/L,0.89,%,0.94,%,0.98,%,0.82,%,0.4,设备管理模型,制造业协会,https://www.cma.gov.cn/,2024-09-10,,,,,
行业协作,跨行业合作程度,12,mg/m³,35,mg/m³,102,mg/L,50,mg/L,0.95,%,0.97,%,1.00,%,0.89,%,0.35,合作绩效模型,行业协会,http://www.industryassociation.cn/,2024-09-10,,,,,
环保优先,固体废物管理,45,mg/m³,85,mg/m³,190,mg/L,130,mg/L,0.94,%,0.97,%,0.99,%,0.88,%,0.28,加权平均法,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全第一,应急响应时间,35,mg/m³,75,mg/m³,170,mg/L,110,mg/L,0.91,%,0.95,%,0.98,%,0.84,%,0.2,动态评估模型,江苏省应急管理局,https://www.jiangsu.gov.cn,2024-09-10,,,,,
持续改进,可再生能源使用率,25,mg/m³,65,mg/m³,150,mg/L,100,mg/L,0.89,%,0.96,%,0.97,%,0.82,%,0.25,项目评估模型,国际可再生能源网络,https://www.irena.org/,2024-09-10,,,,,
合规性优先,环境影响评估遵循率,18,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.87,%,0.92,%,0.94,%,0.78,%,0.18,合规性审查模型,广东省生态环境厅,https://www.gdehb.gov.cn/,2024-09-10,,,,,
环保优先,水资源利用效率,20,mg/m³,50,mg/m³,165,mg/L,95,mg/L,0.90,%,0.94,%,0.96,%,0.76,%,0.22,效率评估模型,北京市水务局,https://www.bjwater.gov.cn/,2024-09-10,,,,,
安全第一,设备故障率,30,mg/m³,65,mg/m³,145,mg/L,110,mg/L,0.93,%,0.93,%,0.97,%,0.89,%,0.3,风险管理模型,国家安全生产监督管理局,https://www.chinasafety.gov.cn/,2024-09-10,,,,,
持续改进,废物回收处理率,15,mg/m³,40,mg/m³,135,mg/L,80,mg/L,0.95,%,0.99,%,1.00,%,0.91,%,0.27,综合评估模型,工信部循环经济推进中心,https://www.miit.gov.cn/,2024-09-10,,,,,
合规性优先,政策执行力,22,mg/m³,58,mg/m³,165,mg/L,90,mg/L,0.92,%,0.88,%,0.93,%,0.74,%,0.16,合规性与性能评估,内蒙古自治区环保厅,https://www.nmg.gov.cn/,2024-09-10,,,,,
环保优先,污染物减排效率,28,mg/m³,72,mg/m³,155,mg/L,102,mg/L,0.89,%,0.94,%,0.98,%,0.80,%,0.24,多层次评估模型,浙江省环境保护厅,https://www.zjepb.gov.cn/,2024-09-10,,,,,
环保优先,排放量控制,45,mg/m³,90,mg/m³,210,mg/L,130,mg/L,0.94,%,0.96,%,1.00,%,0.92,%,0.35,加权平均法,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全第一,安全事故率,38,mg/m³,75,mg/m³,175,mg/L,110,mg/L,0.90,%,0.95,%,0.98,%,0.88,%,0.28,整体评估模型,某知名大学研究报告,https://www.exampleuniversity.edu/research,2024-09-10,,,,,
持续改进,效率提升,25,mg/m³,65,mg/m³,160,mg/L,95,mg/L,0.89,%,0.94,%,0.97,%,0.81,%,0.2,数据驱动模型,行业协会报告,https://www.industryassociation.org/,2024-09-10,,,,,
合规性优先,法律法规遵守,22,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.87,%,0.91,%,0.94,%,0.78,%,0.15,合规性评估模型,地方环保局,https://www.localepb.gov.cn/,2024-09-10,,,,,
安全与环保并重,综合风险指数,35,mg/m³,85,mg/m³,190,mg/L,125,mg/L,0.91,%,0.98,%,0.99,%,0.90,%,0.33,风险评估模型,全国安全生产监督管理局,https://www.chinasafety.gov.cn/,2024-09-10,,,,,
技术创新,新技术应用率,28,mg/m³,60,mg/m³,150,mg/L,100,mg/L,0.93,%,0.97,%,0.96,%,0.85,%,0.25,创新评估模型,科技部,https://www.most.gov.cn/,2024-09-10,,,,,
区域协调发展,地方协同效应,33,mg/m³,77,mg/m³,145,mg/L,115,mg/L,0.89,%,0.92,%,0.95,%,0.83,%,0.22,协同作用模型,区域经济研究中心,https://www.regionaleconomics.org/,2024-09-10,,,,,
可持续发展,环保投资回报,30,mg/m³,70,mg/m³,165,mg/L,105,mg/L,0.92,%,0.96,%,0.97,%,0.87,%,0.29,投资分析模型,财经新闻网站,https://www.finance.org/,2024-09-10,,,,,
创新领先,新产品开发,19,mg/m³,50,mg/m³,135,mg/L,80,mg/L,0.86,%,0.90,%,0.93,%,0.76,%,0.18,新产品评估模型,创新管理期刊,https://www.innovationjournal.com/,2024-09-10,,,,,
循环经济,资源利用效率,35,mg/m³,90,mg/m³,150,mg/L,110,mg/L,0.91,%,0.96,%,0.97,%,0.85,%,0.28,综合评价模型,环境保护部,https://www.mee.gov.cn,2024-09-10,,,,,
