试验题目,登记号,生物合成技术名称,适用领域,申办者类型,申办者,合作者类型,合作者,研究类型,试验状态,试验分期,注册地区,试验国家/地区,登记日期,开始日期,完成日期,最新变更日期,系统构成,采集来源,来源链接,采集时间,备注
合成细胞工厂开发试验,2023-010,合成细胞工厂,制药、材料,企业,深圳新材料科技公司,学术机构,哈尔滨工业大学,工程研究,深圳新材料科技公司,学术机构,哈尔滨工业大学,工程研究,正在进行,1,深圳市,中国,2023/5/10,2023/6/1,2024/6/1,2024-09-25,
生物基材料合成实验,2023-011,生物基材料技术,环保、材料科学,企业,青岛环保科技有限公司,学术机构,青岛科技大学,应用研究,青岛环保科技有限公司,学术机构,青岛科技大学,应用研究,尚未开始,1,山东省,中国,2023/6/10,2023/10/1,2024/9/30,2024-09-25,
合成生物药物研发试验,2023-012,合成生物药物技术,制药,企业,南京生物科技公司,学术机构,南京理工大学,基础研究,南京生物科技公司,学术机构,南京理工大学,基础研究,正在进行,1,江苏省,中国,2023/7/15,2023/8/1,2024/7/31,2024-09-25,
生物基塑料合成试验,2023-004,生物基塑料合成,环保、材料科学,企业,成都绿色材料公司,学术机构,四川大学,应用研究,正在进行,1,成都市,中国,2023/2/25,2023/3/10,2025/2/28,2024/10/15,生物降解聚合物,中国科学院材料研究所,https://www.accm.org.cn/,2024-09-25,
鼓励碳捕获与利用的微生物过程研究,2023-005,微生物碳捕获,环保、能源,学术机构,中国农业大学,企业,环能科技有限公司,基础研究,计划中,1,北京市,中国,2023/4/10,2023/5/1,2025/4/30,2024/10/14,微生物酶系,环境保护部,https://www.mee.gov.cn/,2024-09-25,
新型疫苗开发的合成生物研究,2023-006,合成疫苗技术,医疗、公共卫生,企业,广州生物医药公司,学术机构,中山大学,应用研究,正在进行,2,广州市,中国,2023/3/15,2023/4/1,2025/3/31,2024/10/12,病毒表面蛋白,广州市卫生健康委员会,http://www.gzhealth.gov.cn/,2024-09-25,
转基因植物抗病性研究,2023-007,转基因技术,农业、食品安全,企业,新疆农业科技公司,学术机构,新疆大学,基础研究,已完成,3,乌鲁木齐市,中国,2023/1/20,2023/2/15,2024/2/14,2024/10/12,转基因作物系统,中国农业科学院,http://www.caas.cn/,2024-09-25,
合成生物学在城市农业中的应用,2023-008,城市农业合成技术,农业、城市发展,企业,上海城市农业公司,学术机构,复旦大学,应用研究,计划中,1,上海市,中国,2023/5/1,2023/6/15,2025/6/15,2024/10/13,垂直农业系统,上海市农业委员会,http://www.sdagri.gov.cn/,2024-09-25,
微生物发酵制药技术研发,2023-009,微生物发酵技术,制药、生物工程,企业,杭州制药集团,学术机构,浙江大学,应用研究,正在进行,2,杭州市,中国,2023/2/28,2023/3/15,2025/3/14,2024/10/15,发酵微生物体系,浙江省科技厅,http://www.zjsti.gov.cn/,2024-09-25,
合成生物学在食品加工中的应用,2023-010,食品合成技术,食品制造、健康,企业,南京食品科技公司,学术机构,南京农业大学,应用研究,已完成,3,南京市,中国,2023/3/1,2023/3/20,2024/3/19,2024/10/11,食品合成系统,江苏省农业委员会,http://www.jiangsu.gov.cn/col/1234567,2024-09-25,
智能农业与合成生物跨学科研究,2023-011,智能合成系统,农业、技术创新,学术机构,北方农业大学,企业,科技先锋公司,基础研究,计划中,1,天津市,中国,2023/5/5,2023/6/1,2025/5/31,2024/10/10,智能温室管理系统,天津市农业局,http://www.tianjin.gov.cn/agriculture/,2024-09-25,
天然药物合成技术研究,2023-012,生物合成药物,医疗、制药,企业,华东制药公司,学术机构,南京医科大学,基础研究,正在进行,2,南京市,中国,2023/6/10,2023/7/1,2025/6/30,2024/10/14,天然产物合成系统,国家药监局,http://www.nmpa.gov.cn/,2024-09-25,
合成酵母菌的代谢工程研究,2023-004,合成酵母菌,制药、食品,企业,广州生物技术公司,学术机构,中山大学,应用研究,正在进行,1,广州市,中国,2023/2/11,2023/3/1,2024/2/28,2024/10/11,合成酵母代谢路径,广州市生物研究所,https://www.gzbio.org/,2024-09-25,
基于CRISPR的作物基因改良研究,2023-005,CRISPR基因编辑技术,农业,农业企业,江苏省农业科技公司,学术机构,南京农业大学,基础研究,即将开始,1,南京市,中国,2023/3/15,2023/11/1,2024/10/31,2024/10/12,CRISPR/Cas9编辑系统,江苏省科技厅,https://www.jssk.gov.cn,2024-09-25,
合成生物系统中的代谢线路设计,2023-006,代谢线路合成,生物燃料,企业,河北能源集团,学术机构,华北理工大学,应用研究,正在进行,2,保定市,中国,2023/4/20,2023/5/1,2025/4/30,2024/10/12,代谢工程系统,河北省科技厅,https://www.heb.gov.cn/,2024-09-25,
微生物合成聚合物的可行性研究,2023-007,微生物合成技术,环保、材料,研究机构,青岛环保技术研究中心,企业,青岛聚合物公司,基础研究,正在进行,1,青岛市,中国,2023/6/10,2023/7/1,2024/6/30,2024/10/12,微生物聚合物合成系统,青岛市环境保护局,https://www.qd.gov.cn/,2024-09-25,
转基因生物对抗农作物害虫研究,2023-008,转基因技术,农业,企业,海南农业科技公司,学术机构,海南大学,应用研究,已完成,3,海口市,中国,2023/3/5,2023/4/1,2023/12/31,2024/10/11,转基因作物生长系统,海南省农业厅,https://www.ha.gov.cn/,2024-09-25,
微生物燃料电池的高效应用研究,2023-009,微生物燃料电池,能源,企业,重庆能源公司,研究机构,重庆大学,应用研究,正在进行,2,重庆市,中国,2023/6/5,2023/7/1,2024/6/30,2024/10/12,电池电化学系统,重庆市科技局,https://www.cq.gov.cn/,2024-09-25,
合成生物技术在医疗中的应用研究,2023-010,合成生物技术,医疗,医疗机构,香港中文大学,企业,香港生物科技公司,临床研究,正在进行,1,香港,中国,2023/7/22,2023/8/1,2025/7/31,2024/10/12,合成生物医疗系统,香港卫生署,https://www.hongkong.gov.hk/,2024-09-25,
新型合成生物化合物的研发,2023-011,合成生物化合物,化工,企业,上海化学科技公司,学术机构,复旦大学,基础研究,即将开始,1,上海市,中国,2023/9/18,2023/10/15,2024/10/14,2024/10/12,新型合成化合物系统,上海市经济和信息委员会,https://www.shec.gov.cn/,2024-09-25,
合成生物材料的可持续性研究,2023-012,合成生物材料,材料科学,研究机构,西安交通大学,企业,西安环保科技公司,基础研究,正在进行,1,西安市,中国,2023/5/30,2023/6/15,2024/5/14,2024/10/12,合成生物材料系统,陕西省科技厅,https://www.shaanxi.gov.cn/,2024-09-25,
基因驱动系统开发试验,2023-004,基因驱动技术,农业、生态保护,企业,广州生态智控公司,学术机构,中山大学,基础研究,正在进行,1,广州市,中国,2023/7/5,2023/8/1,2024/12/31,2024/10/12,基因驱动载体,广州市科技局,https://www.gzst.gov.cn/index.html,2024-09-25,
光合细胞合成项目,2023-005,光合细胞合成,可再生能源,企业,上海新能源科技有限公司,学术机构,复旦大学,应用研究,即将开始,1,上海市,中国,2023/4/15,2023/11/1,2025/10/31,2024/10/12,光合细胞系统,上海市科技委员会,https://stcsm.sh.gov.cn,2024-09-25,
合成疫苗平台研发,2023-006,合成疫苗技术,公共卫生,学术机构,南京医科大学,企业,江苏生物制药公司,基础研究,正在进行,2,南京市,中国,2023/2/20,2023/3/1,2025/1/15,2024/10/12,合成疫苗平台,国家医疗健康委员会,http://www.nhc.gov.cn/,2024-09-25,
新型生物燃料研发项目,2023-007,生物燃料合成,能源,企业,天津清洁能源公司,学术机构,南开大学,应用研究,即将开始,1,天津市,中国,2023/1/30,2023/9/1,2024/9/1,2024/10/12,生物燃料合成系统,天津市能源局,https://www.tianjin.gov.cn/,2024-09-25,
抗干扰基因编辑技术研究,2023-008,抗干扰基因编辑,医学、生物技术,学术机构,哈尔滨工业大学,企业,华大基因,基础研究,正在进行,2,哈尔滨市,中国,2023/3/15,2023/4/20,2025/4/15,2024/10/12,基因编辑系统,中国科学院,http://www.cas.cn/,2024-09-25,
合成细胞器研发,2023-009,合成细胞器技术,生物医学,企业,杭州合成生物科技公司,学术机构,浙江大学,应用研究,正在进行,3,杭州市,中国,2023/2/28,2023/7/1,2025/6/30,2024/10/12,合成细胞器系统,浙江省科技厅,http://www.zj.gov.cn/,2024-09-25,
可控基因表达系统开发,2023-010,基因表达调控技术,生物技术,企业,成都生物技术公司,学术机构,四川大学,基础研究,即将开始,1,成都市,中国,2023/6/10,2023/12/1,2025/11/30,2024/10/12,基因表达控制系统,四川省科技厅,http://www.sc.gov.cn/,2024-09-25,
新型生物降解材料研发,2023-011,生物降解技术,环保、材料科学,学术机构,武汉大学,企业,武汉环保科技公司,应用研究,正在进行,2,武汉市,中国,2023/5/25,2023/6/15,2024/12/31,2024/10/12,生物降解材料系统,湖北省科技局,http://www.hubei.gov.cn/,2024-09-25,
综合性合成生物技术创新,2023-012,综合合成生物技术一体化,各类行业,企业,北京合成科技发展公司,学术机构,清华大学,应用研究,正在进行,1,北京市,中国,2023/8/1,2023/9/15,2025/9/14,2024/10/12,综合合成生物技术平台,国家科技部,http://www.most.gov.cn/,2024-09-25,
合成蟑螂生物反应堆试验,2023-004,生物反应堆系统,废物处理、环境修复,企业,广州环保科技有限公司,学术机构,中山大学,应用研究,正在进行,1,广州市,中国,2023/7/10,2023/8/1,2024/7/31,2024/10/12,合成蟑螂管理系统,广州市生物工程研究院,https://www.gzbio.com,2024-09-25,
合成植物抗病性基因试验,2023-005,基因工程植物,农业,学术机构,南京农业大学,企业,安徽农田科技有限公司,基础研究,正在进行,2,南京市,中国,2023/6/15,2023/7/1,2025/6/30,2024/10/12,CRISPR/Cas12系统,农业部科技发展中心,http://www.moa.gov.cn,2024-09-25,
合成微型人工器官试验,2023-006,微型器官,医疗,企业,苏州生物科技公司,学术机构,苏州大学,应用研究,正在进行,1,苏州市,中国,2023/8/5,2023/9/1,2024/8/31,2024/10/12,人工器官生成系统,江苏省卫生健康委员会,http://www.jshc.gov.cn,2024-09-25,
合成代谢工程研究试验,2023-007,代谢工程,能源、化工,科研机构,中国科学院合成生物学研究所,企业,中石化集团,基础研究,已结束,3,北京市,中国,2022/11/20,2022/12/1,2023/11/30,2024/10/12,代谢调节系统,中国科学院,http://www.cas.cn,2024-09-25,
合成生物材料开发试验,2023-008,生物塑料,环境、材料科学,企业,武汉绿色材料科技公司,学术机构,华中科技大学,应用研究,正在进行,2,武汉市,中国,2023/7/30,2023/8/15,2025/8/14,2024/10/12,生物塑料合成系统,武汉科技局,http://www.wh.gov.cn,2024-09-25,
合成疫苗生产试验,2023-009,基因合成疫苗,医疗,企业,深圳基因制药有限公司,学术机构,深圳大学,基础研究,正在进行,1,深圳市,中国,2023/5/25,2023/6/10,2024/6/9,2024/10/12,mRNA疫苗合成系统,国家药监局,http://www.nmpa.gov.cn,2024-09-25,
合成生物炭研究试验,2023-010,微生物炭,农业、环境,学术机构,福建农林大学,企业,福建生态科技有限公司,基础研究,正在进行,2,福州市,中国,2023/8/1,2023/8/15,2025/8/14,2024/10/12,有机废物转化系统,福建省科技厅,http://www.fjst.gov.cn,2024-09-25,
基因驱动系统试验,2023-011,基因驱动技术,生态保护,企业,哈尔滨国源生物技术公司,学术机构,东北农业大学,应用研究,等待开始,1,哈尔滨市,中国,2023/7/15,2024/1/1,2025/1/1,2024/10/12,基因驱动管理系统,黑龙江省科技厅,http://www.hlj.gov.cn,2024-09-25,
合成生物监测系统试验,2023-012,生物监测,环境监测,学术机构,北京环境科学研究院,企业,北京环境科技集团,应用研究,已结束,2,北京市,中国,2022/12/15,2023/1/1,2023/12/31,2024/10/12,监测数据集成系统,北京市生态环境局,http://www.bjepb.gov.cn,2024-09-25,
合成疫苗开发研究,2023-004,合成疫苗技术,医疗、公共卫生,企业,广州生物技术公司,学术机构,中山大学,应用研究,即将开始,1,广州市,中国,2023/7/1,2023/8/1,2024/7/31,2024/10/12,重组蛋白疫苗系统,广州市科技创新委员会,https://www.gz.gov.cn/stkj/,2024-09-25,
精准农业基因组编辑试验,2023-005,基因组编辑技术,农业,企业,江苏绿色农业技术有限公司,学术机构,南京农业大学,应用研究,正在进行,2,南京市,中国,2023/2/15,2023/3/1,2025/2/28,2024/10/12,CRISPR/Cas12系统,江苏省农业农村厅,http://www.jiangsu.gov.cn/ny/,2024-09-25,
合成生物技术法律和伦理研究,2023-006,生物伦理学研究,伦理、政策,学术机构,清华大学,政府机构,国家食品药品监督管理局,政策研究,结束,1,北京市,中国,2023/1/10,2023/2/1,2023/12/31,2024/10/12,伦理决策模型,国家科学院,https://www.nas.gov.cn/zh/yanghuan/,2024-09-25,
合成生物材料开发试验,2023-007,合成生物材料技术,材料科学,企业,某科技材料有限公司,学术机构,清华大学,应用研究,正在进行,2,北京市,中国,2023/4/20,2023/5/1,2025/4/30,2024/10/12,合成聚合物系统,中国科学院材料研究所,http://www.msci.cas.cn/,2024-09-25,
新型生物燃料合成试验,2023-008,生物燃料合成技术,能源、环保,企业,四川新能源开发公司,学术机构,西南交通大学,应用研究,即将开始,1,成都市,中国,2023/8/1,2023/9/1,2024/8/31,2024/10/12,微生物发酵系统,四川省科技厅,http://www.scst.gov.cn/,2024-09-25,
合成病毒粒子研究,2023-009,病毒合成技术,医疗、疫苗,学术机构,华中科技大学,企业,武汉生物科技公司,基础研究,正在进行,3,武汉市,中国,2023/6/10,2023/7/1,2025/6/30,2024/10/12,合成病毒载体系统,武汉科技局,http://www.wh.gov.cn/whkj/,2024-09-25,
合成生命体模型研究,2023-010,生命体合成模型,基础科学,学术机构,北京师范大学,国际机构,洛克菲勒大学,基础研究,正在进行,2,北京市,中国-美国,2023/9/1,2023/9/15,2025/9/14,2024/10/12,合成生命体模型系统,国家自然科学基金,http://www.nsfc.gov.cn/,2024-09-25,
合成植物保护试验,2023-011,合成植物保护技术,农业,企业,河南农业科技公司,学术机构,河南大学,应用研究,即将开始,1,郑州市,中国,2023/10/1,2023/10/15,2024/10/14,2024/10/12,化学生物防治系统,河南省科技厅,http://www.henan.gov.cn/,2024-09-25,
合成酵母研究项目,2023-012,酵母重组技术,精酿、食品,企业,浙江酿酒科技公司,学术机构,浙江大学,应用研究,正在进行,1,杭州市,中国,2023/5/15,2023/6/1,2024/5/31,2024/10/12,重组酵母工程系统,浙江省科学技术协会,http://www.zj.gov.cn/,2024-09-25,
植物基因组编辑技术应用试验,2023-004,植物基因组编辑技术,农业、环境,企业,广州农业科技公司,学术机构,中山大学,应用研究,正在进行,1,广州市,中国,2023/2/5,2023/3/1,2024/2/28,2024/10/12,基因组编辑系统,广东省科技厅,https://gdsti.gov.cn/,2024-09-25,
合成生物材料研发试验,2023-005,合成生物材料,材料科学、医疗,学术机构,清华大学,企业,联想科技（北京）有限公司,基础研究,已完成,2,北京市,中国,2023/4/10,2023/5/1,2024/4/30,2024/9/20,聚合物合成系统,北京市科学技术委员会,https://www.bjsti.gov.cn/,2024-09-25,
微生物肥料合成试验,2023-006,微生物肥料合成,农业、生态,企业,福州生物肥料有限公司,学术机构,福建农林大学,应用研究,正在进行,1,福州市,中国,2023/5/15,2023/6/10,2024/6/9,2024/10/12,微生物共生系统,福建省农业厅,http://www.fjnc.gov.cn/,2024-09-25,
基因驱动技术试验,2023-007,基因驱动技术,生态、病虫害控制,学术机构,南京农业大学,政府机构,江苏省生态环境厅,基础研究,正在进行,1,南京市,中国,2023/3/22,2023/4/15,2025/4/14,2024/10/12,基因传递系统,江苏省科学技术厅,http://www.jsti.gov.cn/,2024-09-25,
合成酵母生产技术试验,2023-008,合成酵母,食品、饮料,企业,杭州食品科技有限公司,学术机构,浙江大学,应用研究,待审查,1,杭州市,中国,2023/6/5,2023/7/1,2024/6/30,2024/10/12,酵母合成系统,浙江省科技厅,http://www.zjsti.gov.cn/,2024-09-25,
合成疫苗研发试验,2023-009,合成疫苗技术,医疗、公共卫生,企业,武汉生物医药公司,学术机构,华中科技大学,基础研究,正在进行,2,武汉市,中国,2023/7/10,2023/8/1,2025/7/31,2024/10/12,合成疫苗系统,湖北省科学技术厅,http://www.hbsti.gov.cn/,2024-09-25,
合成环境生物技术试验,2023-010,合成环境生物技术,环保、资源管理,学术机构,北京林业大学,企业,中科院环境科研中心,应用研究,待审查,1,北京市,中国,2023/8/20,2023/9/15,2025/9/14,2024/10/12,环境生物合成系统,北京市科技创新中心,http://www.bjstic.gov.cn/,2024-09-25,
深海微生物合成技术试验,2023-011,深海微生物合成,生物资源、药物开发,企业,厦门海洋生物公司,学术机构,厦门大学,基础研究,正在进行,3,厦门市,中国,2023/9/10,2023/9/25,2025/9/24,2024/10/12,深海微生物代谢系统,厦门市科技局,http://www.xmsti.gov.cn/,2024-09-25,
生物合成化妆品研发试验,2023-012,生物合成化妆品,美容、健康,企业,北京新型化妆品技术公司,学术机构,中国科学院,应用研究,正在进行,1,北京市,中国,2023/10/1,2023/10/20,2025/10/19,2024/10/12,生物合成化妆品生产系统,国家药品监督管理局,http://www.nmpa.gov.cn/,2024-09-25,
改良植物耐旱能力试验,2023-004,基因改良技术,农业,企业,成都农业技术公司,学术机构,西南大学,应用研究,正在进行,1,四川省,中国,2023/2/10,2023/3/1,2024/2/28,2024/10/12,植物转基因系统,成都农业科学院,http://www.cdaas.org.cn,2024-09-25,
新型生物燃料开发试验,2023-005,合成生物燃料,能源,企业,广州绿色能源公司,学术机构,华南理工大学,基础研究,正在进行,2,广东省,中国,2023/4/5,2023/5/1,2025/4/30,2024/10/12,生物燃料生成系统,国家能源局,http://www.nea.gov.cn,2024-09-25,
细胞工程疫苗研发试验,2023-006,细胞工程技术,医疗,学术机构,南京医科大学,企业,保定生物制药有限公司,应用研究,正在进行,1,江苏省,中国,2023/6/15,2023/7/1,2024/6/30,2024/10/12,细胞培养系统,南京科技局,http://www.nj.gov.cn,2024-09-25,
合成生物学新材料开发试验,2023-007,生物基材料合成,材料科学,企业,武汉材料生物公司,学术机构,武汉大学,基础研究,暂停,2,湖北省,中国,2023/8/1,2023/9/1,2025/8/31,2024/10/12,生物材料合成系统,湖北省科技厅,http://www.hbsti.gov.cn,2024-09-25,
基因驱动技术试验,2023-008,基因驱动系统,生态保护,学术机构,延边大学,企业,吉林生态技术公司,基础研究,正在进行,3,吉林省,中国,2023/9/20,2023/10/1,2025/9/30,2024/10/12,基因编辑/驱动系统,吉林省科学技术局,http://www.jlsti.gov.cn,2024-09-25,
多功能合成微生物开发试验,2023-009,合成生物微生物,制药、农业,企业,天津合成生物技术公司,学术机构,天津科技大学,应用研究,正在进行,1,天津市,中国,2023/10/5,2023/11/1,2024/10/31,2024/10/12,合成微生物系统,天津市人民政府,http://www.tj.gov.cn,2024-09-25,
智能水稻育种试验,2023-010,智能基因育种,农业,企业,杭州农业科技公司,学术机构,浙江大学,基础研究,计划中,1,浙江省,中国,2023/11/20,2023/12/1,2025/11/30,2024/10/12,水稻基因改良系统,杭州农业与农村事务局,http://www.hz.gov.cn,2024-09-25,
合成宠物疫苗研发试验,2023-011,宠物疫苗合成,兽医医疗,企业,苏州宠物生物技术公司,学术机构,南京农业大学,应用研究,正在进行,1,江苏省,中国,2023/12/15,2024/1/1,2025/12/31,2024/10/12,宠物细胞工程系统,苏州市生物医药研究所,http://www.suzhou.gov.cn,2024-09-25,
智能合成蝇基因研究试验,2023-012,合成生物学,基础研究,学术机构,上海科技大学,企业,广州科技生物公司,应用研究,已完成,1,上海市,中国,2023/11/1,2023/11/15,2024/10/30,2024/10/12,昆虫基因研究系统,上海市生物技术研究中心,http://www.stc.gov.cn,2024-09-25,
合成生物燃料开发试验,2023-004,合成生物燃料,能源、环境,企业,广州清洁能源科技公司,学术机构,华南理工大学,应用研究,正在进行,2,广州市,中国,2023/7/5,2023/8/1,2025/7/31,2024/10/12,生物转化系统,广州能源研究所,https://www.gzenergy.org,2024-09-25,
植物基因组编辑试验,2023-005,植物基因组编辑,农业、食品,学术机构,浙江大学,企业,苏州农业科技公司,基础研究,正在进行,1,杭州市,中国,2023/6/15,2023/7/1,2024/6/30,2024/10/12,植物基因组编辑系统,中国农业科学院,https://www.caas.cn,2024-09-25,
合成细菌工程试验,2023-006,合成细菌工程,制药、环境,企业,成都未来生物技术公司,学术机构,四川大学,应用研究,待开始,1,成都市,中国,2023/9/10,2023/10/1,2024/9/30,2024/10/12,细菌合成系统,成都市科技局,http://www.cdst.gov.cn,2024-09-25,
合成糖类研究试验,2023-007,合成糖类,制药、食品,学术机构,北京大学,企业,浙江生物制药公司,基础研究,已完成,3,北京市,中国,2022/12/1,2023/1/1,2024/12/1,2024/10/12,糖类合成系统,国家自然科学基金,http://www.nsfc.gov.cn,2024-09-25,
人造组织生长试验,2023-008,人造组织工程,医疗、药物研发,企业,上海生物医药公司,学术机构,复旦大学,应用研究,正在进行,1,上海市,中国,2023/8/20,2023/9/1,2025/8/31,2024/10/12,组织生长系统,上海市卫生健康委员会,https://wsjkw.sh.gov.cn,2024-09-25,
合成抗体科技试验,2023-009,抗体合成,医疗、临床试验,学术机构,中山大学,企业,深圳生物医疗公司,基础研究,待开始,3,广州市,中国,2023/9/15,2023/10/10,2024/10/10,2024/10/12,抗体合成系统,广州市生物医药研究中心,http://www.gzmedical.com,2024-09-25,
生物数据收集与分析试验,2023-010,数据驱动合成生物,信息技术、研发,企业,南京生物技术公司,学术机构,东南大学,综合研究,正在进行,1,南京市,中国,2023/8/1,2023/8/15,2024/8/15,2024/10/12,大数据分析系统,南京市科学技术局,http://www.nanjing.gov.cn,2024-09-25,
微生物环境治理试验,2023-011,微生物处理技术,环境、土壤修复,学术机构,武汉大学,企业,武汉环保科技公司,应用研究,待开始,2,武汉市,中国,2023/10/5,2023/11/1,2025/10/31,2024/10/12,微生物治理系统,武汉市生态环境局,https://www.whhrb.gov.cn,2024-09-25,
合成疫苗开发试验,2023-012,合成疫苗技术,医学、疫苗研发,企业,广州生物疫苗公司,学术机构,中南大学,基础研究,正在进行,3,广州市,中国,2023/9/25,2023/10/10,2025/9/9,2024/10/12,合成疫苗平台,广州市疾病控制中心,http://www.gzcdc.gov.cn,2024-09-25,
合成疫苗研究试验,2023-004,mRNA疫苗技术,医疗、公共健康,企业,广州生物技术有限公司,学术机构,中山大学,应用研究,正在进行,1,广州市,中国,2023/2/1,2023/2/15,2024/2/14,2024/10/12,mRNA合成系统,国家食品药品监督管理局,https://www.nmpa.gov.cn/,2024-09-25,
合成生物合成油实验,2023-005,合成生物燃料,能源、可再生资源,研究机构,清华大学生物工程中心,企业,中国石油天然气公司,基础研究,正在进行,2,北京市,中国,2023/3/15,2023/4/1,2025/4/1,2024/10/12,合成油气生物转化系统,中国科学院,http://www.cas.cn/,2024-09-25,
人工细胞网格技术试验,2023-006,用户调式的细胞网络,生物工程、学术研究,学术机构,复旦大学,企业,上海生物医药公司,基础研究,正在进行,1,上海市,中国,2023/4/6,2023/5/1,2024/6/30,2024/10/12,细胞网格重组系统,国家自然科学基金,https://www.nsfc.gov.cn/,2024-09-25,
合成食品研究项目,2023-007,合成肉类培养技术,食品、农业,企业,现代农业科技公司,学术机构,南京农业大学,应用研究,正在进行,2,南京市,中国,2023/5/10,2023/6/1,2025/5/30,2024/10/12,细胞培养生物合成系统,农业农村部,http://www.moa.gov.cn/,2024-09-25,
合成药物研发试验,2023-008,代谢工程,制药、医疗,企业,杭州医药科技公司,学术机构,浙江大学,基础研究,正在进行,3,杭州市,中国,2023/6/20,2023/7/1,2025/6/30,2024/10/12,代谢路径优化系统,浙江省科技厅,https://kjt.zj.gov.cn/,2024-09-25,
合成新型抗体技术试验,2023-009,单克隆抗体合成,医疗、生物技术,企业,北京生物医药有限公司,学术机构,中国医学科学院,应用研究,正在进行,1,北京市,中国,2023/7/10,2023/8/1,2024/10/31,2024/10/12,抗体表达系统,国家卫健委,http://www.nhc.gov.cn/,2024-09-25,
合成基因组研究项目,2023-010,全基因组合成技术,生物研究、医疗,学术机构,山东大学,企业,上海生命科学研究所,基础研究,正在进行,1,济南市,中国,2023/8/15,2023/9/1,2024/8/31,2024/10/12,基因组合成平台,山东省科技厅,http://kjt.shandong.gov.cn/,2024-09-25,
合成疾病治疗技术研究,2023-011,细胞疗法,医疗、生物技术,企业,天津基因科技公司,学术机构,南开大学,应用研究,正在进行,2,天津市,中国,2023/9/20,2023/10/1,2025/1/1,2024/10/12,细胞重编程系统,天津市卫生健康委员会,http://wsjkw.tianjin.gov.cn/,2024-09-25,
合成微生物治理技术试验,2023-012,生物修复微生物,环境、农业,研究机构,北京环境科学研究院,企业,广东环境科技有限公司,基础研究,正在进行,3,北京市,中国,2023/10/10,2023/10/20,2025/10/19,2024/10/12,微生物修复系统,生态环境部,http://sepa.gov.cn/,2024-09-25,
合成抗体研发试验,2023-004,合成抗体技术,医疗、制药,企业,广州生物科技公司,学术机构,中山大学,应用研究,正在进行,2,广州市,中国,2023/7/5,2023/8/1,2025/7/31,2024/10/12,抗体合成系统,广东省科学技术厅,https://www.gdstc.gov.cn/,2024-09-25,
合成环境友好微生物试验,2023-005,环保微生物技术,环保、农业,企业,杭州环保科技公司,学术机构,浙江大学,基础研究,正在进行,1,杭州市,中国,2023/7/10,2023/8/5,2024/8/4,2024/10/12,微生物降解系统,浙江省生态环境厅,https://zjepb.gov.cn/,2024-09-25,
合成生物燃料试验,2023-006,生物燃料合成技术,能源、交通,企业,天津新能源有限公司,学术机构,南开大学,应用研究,即将开始,1,天津市,中国,2023/8/15,2023/9/1,2024/9/1,2024/10/12,生物燃料合成系统,天津市科技局,https://www.tianjin.gov.cn/,2024-09-25,
合成生物材料试验,2023-007,合成生物材料技术,材料、医疗,企业,武汉新材料公司,学术机构,华中科技大学,基础研究,已完成,3,武汉市,中国,2023/6/20,2023/7/1,2024/6/30,2024/10/12,生物材料合成系统,武汉市科技局,https://wh.gov.cn/,2024-09-25,
合成微生物药物制备试验,2023-008,微生物药物合成技术,制药、生物技术,企业,重庆复兴制药有限公司,学术机构,重庆医科大学,应用研究,正在进行,2,重庆市,中国,2023/9/15,2023/10/1,2025/9/30,2024/10/12,微生物药物合成系统,重庆市科技局,https://www.cq.gov.cn/,2024-09-25,
植物基因组改良试验,2023-009,植物基因组编辑技术,农业、遗传学,企业,成都农业生物科技公司,学术机构,西南科技大学,基础研究,即将开始,1,成都市,中国,2023/8/30,2023/9/15,2024/9/15,2024/10/12,植物基因组编辑系统,四川省科技厅,https://www.sc.gov.cn/,2024-09-25,
生物催化剂开发试验,2023-010,生物催化技术,化工、材料,企业,哈尔滨工程科技有限公司,学术机构,哈尔滨工业大学,应用研究,正在进行,3,哈尔滨市,中国,2023/7/22,2023/8/1,2024/8/1,2024/10/12,生物催化剂合成系统,黑龙江省科技厅,http://www.hlj.gov.cn/,2024-09-25,
合成神经网络生物系统试验,2023-011,神经网络与生物结合技术,计算生物学、医疗,学术机构,清华大学,企业,阿里巴巴集团,基础研究,即将开始,2,北京市,中国,2023/9/10,2023/10/15,2025/10/15,2024/10/12,生物神经网络系统,北京市科学技术委员会,https://www.bjsti.gov.cn/,2024-09-25,
合成疫苗开发试验,2023-012,合成疫苗技术,医疗、公共卫生,企业,苏州疾病预防控制中心,学术机构,苏州大学,应用研究,正在进行,2,苏州市,中国,2023/6/22,2023/7/1,2024/6/30,2024/10/12,合成疫苗系统,江苏省科学技术厅,http://www.jiangsu.gov.cn/,2024-09-25,
基因靶向治疗研究,2023-004,基因靶向技术,医疗,学术机构,华中科技大学,企业,武汉基因科技有限公司,临床研究,正在进行,1,湖北省,中国,2023/6/15,2023/7/1,2024/6/30,2024/10/12,CRISPR/Cas9系统,全国卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,
高效能生物合成技术开发,2023-005,高效能生物合成,制药,企业,郑州生物制药有限公司,学术机构,河南大学,应用研究,已完成,2,河南省,中国,2023/7/19,2023/8/1,2024/7/31,2024/10/12,重组蛋白生成系统,中国科学院,http://www.cas.cn,2024-09-25,
