名称（字符型）,品牌（字符型）,型号（字符型）,售后服务（字符型）,操作系统（字符型）,生产厂商（字符型）,主处理器（字符型）,芯片（字符型）,操作方式（字符型）,仿生工具（字符型）,功能说明（字符型）,应用场景（字符型）,上市时间（日期型）,采集来源,来源链接,采集时间,备注,,,
智能窗帘控制器,米家,Mijia Curtain Controller,一年保修,Mijia OS,小米,ARM Cortex-A53,Broadcom BCM4319,APP控制,智能窗帘助手,支持定时和语音控制窗帘开闭,家庭自动化,2022-02-15,智能家居观察,https://www.smarthomeobservatory.com,2024-09-13,,,,
智能空气质量监测器,Dyson,Dyson Pure Cool,两年保修,Dyson OS,Dyson,ARM Cortex-A55,STMicroelectronics STM32,APP控制和触控,环境监测助手,实时监测室内空气质量并提供建议,家庭健康,2023-04-05,家电科技网,https://www.appliancetechnology.com,2024-09-13,,,,
智能冰箱,三星,Samsung Family Hub,三年保修,Samsung OS,三星电子,Exynos 7 Octa,Samsung Exynos,触屏及语音控制,智能饮食助手,通过内置屏幕管理食材和食谱,家庭厨房,2021-09-10,家电市场监管报告,https://www.applianceregulation.com,2024-09-13,,,,
智能健身镜,Mirror,Mirror Fitness,一年保修,Mirror OS,Mirrors Inc.,ARM Cortex-A72,Qualcomm Snapdragon,触控及语音控制,健康管理助手,提供健身指导和记录用户锻炼进度,家庭健身,2023-01-15,健身科技观察,https://www.fitnessobservatory.com,2024-09-13,,,,
智能洗衣机,LG,LG Smart Washer,五年保修,LG ThinQ,LG电子,ARM Cortex-A53,NXP-Freescale Kinetis,APP控制,智能洗涤助手,远程控制洗衣机，实时监控洗涤过程,家庭洗衣,2023-07-21,家电研究报告,https://www.appliance-research.com,2024-09-13,,,,
智能电饭煲,美的,Midea智能电饭煲,一年保修,Midea OS,美的集团,ARM Cortex-A55,Qualcomm Snapdragon 410,APP控制,烹饪助手,提供多种烹饪模式，远程控制,家庭厨房,2022-12-05,烹饪科技观察,https://www.cookingtechobservation.com,2024-09-13,,,,
智能监控系统,Arlo,Arlo Pro 4,一年保修,Arlo OS,Arlo Technologies,ARM Cortex-A57,Ambarella S6LM,APP控制,安全监控助手,高清监控，支持移动侦测,家庭安防,2023-02-10,安防技术分析,https://www.securitytechanalysis.com,2024-09-13,,,,
智能温控灯泡,Philips,Philips Hue LED,两年保修,Philips Hue OS,飞利浦,ARM Cortex-M4,NXP FSLK64F,APP控制,环境调节工具,支持调色和语音控制,家庭照明,2021-11-01,智能照明报告,https://www.smartlightingreport.com,2024-09-13,,,,
智能窗户监控器,Ecobee,Ecobee SmartWindow,一年保修,Ecobee OS,Ecobee,ARM Cortex-A53,Texas Instruments CC2650,APP控制,窗户状态监控助手,监控窗户的开关状态与安全警报,家庭安全,2023-03-15,智能家居趋势,https://www.smarthometrends.com,2024-09-13,,,,
智能窗帘控制器,网件,Nighthawk Smart Curtain,一年保修,Netgear OS,网件,ARM Cortex-A53,Qualcomm QCA4010,APP控制,环境调节工具,自动调节窗帘开合，支持定时设置,家庭空间管理,2023-04-15,智能家居产品分析,https://www.netgear.com/products/smart-home/,2024-09-13,,,,
智能冰箱,三星,Family Hub,三年保修,Tizen OS,三星电器,Exynos 7 Dual 7570,Samsung S5P6818,触摸屏控制,食品管理助手,智能识别食品、提醒过期、内置食谱功能,家庭厨房,2021-09-10,家电行业观察,https://www.samsung.com/global/galaxy/family-hub/,2024-09-13,,,,
智能空气净化器,戴森,Dyson Pure Cool,两年保修,Dyson Link,戴森,ARM Cortex-A9,NXP LPC1768,APP控制或语音控制,空气质量监测工具,实时监测空气质量，过滤 PM 2.5,家庭健康,2022-11-05,家电产品评测网,https://www.dyson.com/air-purifiers,2024-09-13,,,,
智能清扫机器人,iRobot,Roomba i7+,两年保修,iRobot OS,iRobot,ARM Cortex-A8,Marvell Cortex-M2,APP控制,家庭清扫助手,支持地图绘制和区域清扫,家庭清洁,2022-01-20,智能家电科技新闻,https://www.irobot.com/roomba-i7,2024-09-13,,,,
智能健康监测器,Fitbit,Fitbit Inspire 2,一年保修,Fitbit OS,Fitbit,ARM Cortex-M3,Nordic nRF52832,APP控制,健康监测工具,监测心率、睡眠及运动数据,家庭健康管理,2021-02-15,健康科技资讯,https://www.fitbit.com/global/us/products/trackers/inspire,2024-09-13,,,,
智能温控灯泡,TP-Link,Kasa Smart Bulb,一年保修,Kasa Smart,TP-Link,ARM Cortex-M4,STMicroelectronics STM32F707,APP控制,照明控制助手,可调光、调色，支持语音助手,家庭照明,2022-08-01,家居科技探索,https://www.tp-link.com/us/kasa-smart-light-bulb,2024-09-13,,,,
智能厨电控制器,博世,Bosch Home Connect,两年保修,Bosch Home Connect OS,博世,ARM Cortex-A9,NXP LPC551x,APP控制,厨房管理助手,远程控制厨电，提供食谱推荐,家庭厨房,2023-06-30,智能家居白皮书,https://www.bosch-home.com/us/connected-home,2024-09-13,,,,
智能花园监测器,Parrot,Parrot Flower Power,一年保修,自定义开发,Parrot,ARM Cortex-M0,TI CC2650,APP控制,植物监测工具,监测植物健康状态，提醒浇水时机,家庭园艺,2021-07-15,园艺科技新闻,https://www.parrot.com/us/flower-power,2024-09-13,,,,
智能窗户传感器,Ring,Ring Window Sensor,一年保修,Ring OS,Ring,ARM Cortex-M0+,NXP Kinetis K32,APP控制,安全监控工具,检测窗户是否关闭，提供安全警报,家庭安全,2023-05-20,安全技术研究,https://ring.com/products/window-sensor,2024-09-13,,,,
智能窗帘控制器,BroadLink,BLSC-100,一年保修,BroadLink OS,BroadLink,ARM Cortex-A7,Espressif ESP32,APP控制,环境管理工具,自动调节窗帘开合，根据光照变化。,家庭自动化,2022-02-15,行业市场分析报告,https://www.techinsights.com,2024-09-13,,,,
智能空气净化器,Dyson,HP07,两年保修,Dyson OS,Dyson,MediaTek MT7681,Qualcomm QCA4020,语音控制,空气质量监测工具,实时监测空气质量，智能调节净化模式。,家庭健康,2021-09-10,家电行业研究,https://www.appliance.com,2024-09-13,,,,
智能洗衣机,LG,TWINWash,两年保修,LG ThinQ,LG电子,ARM Cortex-A9,NXP LPC54608,APP控制,洗衣管理助手,双重洗涤，节省时间和水。,家庭清洁,2022-06-18,家电市场观察,https://www.appliance-news.com,2024-09-13,,,,
智能识别冰箱,Samsung,Family Hub,一年保修,Tizen,三星,ARM Cortex-A53,Exynos 7870,APP控制,食品管理工具,智能识别食材，推荐食谱。,家庭饮食,2023-01-15,科技观察,https://www.techwatch.com,2024-09-13,,,,
智能安全监控系统,Ring,Ring Protect,一年保修,Ring OS,Amazon,ARM Cortex-A9,Ambarella S5L,APP控制,保安监控工具,全天候监控，智能报警。,家庭安全,2023-04-22,电子产品报告,https://www.electronicsreview.com,2024-09-13,,,,
智能饮水机,Xiaomi,Smart Water Dispenser,一年保修,MIUI,小米,ARM Cortex-A7,Rockchip RK3399,APP控制,健康管理工具,自动过滤水质，智能调节水量。,家庭饮水,2022-08-10,家居科技观察,https://www.homegadgets.com,2024-09-13,,,,
智能电炖锅,Tiger,JAX-T10,两年保修,Tiger OS,虎牌,ARM Cortex-M4,NXP LPC54102,APP控制、语音控制,烹饪助手,智能设置烹饪时间和模式。,家庭烹饪,2023-05-05,厨电行业动态,https://www.kitchenware.com,2024-09-13,,,,
智能健身镜,Mirror,Smart Fitness Mirror,一年保修,Mirror OS,Mirror Inc.,Intel Core i5,Intel HD Graphics,语音控制、触摸控制,健身教练助手,提供实时指导，记录健身进度。,家庭健康,2023-03-12,健身科技研究,https://www.fitnessgear.com,2024-09-13,,,,
智能花园管理器,Gardena,Smart System,两年保修,Gardena OS,Gardena,ARM Cortex-M0+,Microchip PIC16F,APP控制,植物管理工具,智能浇水，植物生长监测。,家庭园艺,2023-06-01,园艺设备市场分析,https://www.gardeningproducts.com,2024-09-13,,,,
智能清洁机器人,iRobot,Roomba i7,一年保修,iRobot OS,iRobot,ARM Cortex-A53,Qualcomm Snapdragon 600,APP控制,自动导航工具,自动吸尘，智能路径规划,家庭清洁,2022-02-15,家居智能研究中心,https://www.homeautomation.com,2024-09-13,,,,
智能炊具,美的,Midea Smart Cooker,两年保修,Midea OS,美的,ARM Cortex-A55,NXP Kinetis K64,语音控制,智能烹饪助手,一键烹饪，远程食谱下载,家庭烹饪,2023-04-01,厨电行业报告,https://www.kitchenappliances.com,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,一年保修,Dyson OS,Dyson,ARM Cortex-A72,Marvell Armada 3700,APP控制,空气质量监测工具,有效过滤空气，实时监测空气质量,家庭健康,2022-08-30,家电与电子行业观察,https://www.electronicstoday.com,2024-09-13,,,,
智能冰箱,三星,Smart Fridge RF9000,三年保修,SmartThings OS,三星,ARM Cortex-A76,Exynos 9611,APP控制,食品管理助手,智能食材管理，远程监控,家庭厨房,2022-05-20,现代家电研究,https://www.modernappliances.com,2024-09-13,,,,
智能浴室镜,Hubble,Hubble Smart Mirror,一年保修,Custom Hubble OS,Hubble,ARM Cortex-A53,Intel Atom x5,触碰控制,智能美容顾问,显示天气、日程，提供护肤建议,家庭卫生间,2023-01-15,智能家居观察,https://www.smarthomeobserver.com,2024-09-13,,,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,PetSafe OS,PetSafe,ARM Cortex-M4,Texas Instruments MSP430,APP控制,宠物管理助手,定时喂食，监控宠物饮食,宠物照护,2023-07-11,宠物科技研究中心,https://www.pettechresearch.com,2024-09-13,,,,
智能窗帘控制器,Lutron,Caseta Wireless,两年保修,Lutron OS,Lutron,ARM Cortex-M4,Microchip PIC32,APP控制,窗帘自动调节工具,调节窗帘开合，节能环保,家庭环境,2022-09-18,智能家居专刊,https://www.smarthomeissue.com,2024-09-13,,,,
智能健身镜,Mirror,Smart Fitness Mirror,一年保修,Mirror OS,Mirror,ARM Cortex-A72,Qualcomm Snapdragon 660,触控及语音控制,健身教练助手,提供虚拟健身课程，实时反馈,家庭健身,2023-03-22,健身科技观察,https://www.fitnesstech.com,2024-09-13,,,,
智能视频门铃,Ring,Ring Video Doorbell Pro 2,一年保修,Ring OS,Ring,ARM Cortex-A55,Ambarella S3L,APP控制,安防监控设备,高清视频监控，双向语音,家庭安全,2022-12-01,智能安防行业报告,https://www.securityindustryreport.com,2024-09-13,,,,
智能窗帘控制器,罗技,Logitech Smart Blinds,一年保修,Logitech OS,罗技,ARM Cortex-M3,Texas Instruments CC2540,APP控制,环境调节助手,通过手机控制窗帘的开关与调节光线,家庭自动化,2023-04-15,智能家居观察,https://www.smart-home-observatory.com/,2024-09-13,,,,
智能水质检测仪,小米生态链,Mi Water Quality Monitor,一年保修,MIUI,小米,ARM Cortex-A55,Nordic nRF52832,APP控制,环境监控工具,实时监测家庭水质，提供水质报告,家庭健康,2022-09-10,水质检测行业报告,https://www.waterqualitymonitor.com/,2024-09-13,,,,
智能冰箱,三星,Samsung Family Hub,两年保修,Tizen OS,三星电子,Exynos 7885,Samsung S5P4418,触控屏控制,食物管理助手,支持食材管理、远程监控与食谱推荐,家庭厨房,2021-06-01,家电行业观察,https://www.appliancesobs.com/,2024-09-13,,,,
智能空调,格力,Gree Smart AC,三年保修,Gree OS,格力电器,ARM Cortex-A7,Qualcomm QCS605,语音控制,环境控制助手,智能调节温度，支持多种场景模式,家庭温控,2022-03-20,家用电器市场研究,https://www.usa-appliance-report.com/,2024-09-13,,,,
智能垃圾桶,戴森,Dyson Smart Bin,两年保修,Dyson OS,戴森,ARM Cortex-A53,Broadcom BCM4350,触控及APP控制,环境清洁助手,自动开盖与垃圾分类提醒,家庭清洁,2023-02-05,家居科技资讯,https://www.home-tech-news.com/,2024-09-13,,,,
智能健康秤,华为,Huawei Smart Scale,一年保修,HarmonyOS,华为,ARM Cortex-M4,Nordic nRF52811,APP控制,健康监测助手,监测体重、BMI等健康数据,家庭健康,2022-11-10,健康科技观察,https://www.health-tech-observatory.com/,2024-09-13,,,,
智能灭火器,米家,Mijia Smart Extinguisher,两年保修,Mijia OS,小米,ARM Cortex-M0,STMicroelectronics STM32F103,APP控制,安全防护工具,自动探测火灾并报警，远程控制喷射,家庭安全,2023-05-22,消防装备观察,https://www.fire-safety-observatory.com/,2024-09-13,,,,
智能花洒,科勒,Kohler Smart Shower,三年保修,Kohler OS,科勒,ARM Cortex-A72,NXP LPC546xx,语音与触控控制,沐浴体验工具,实现水温及水流量智能调节,家庭浴室,2022-08-18,卫浴产品研究报告,https://www.bathroomresearch.com/,2024-09-13,,,,
智能壁炉,特斯拉,Tesla Smart Fireplace,两年保修,Tesla OS,特斯拉,ARM Cortex-A77,Qualcomm Snapdragon 845,语音与APP控制,气候调节助手,控制热量与火焰效果，调节居家环境,家庭客厅,2023-01-30,家居科技趋势,https://www.home-tech-trends.com/,2024-09-13,,,,
智能窗帘控制器,亚马逊,Amazon Smart Curtain,一年保修,Alexa OS,Amazon,ARM Cortex-M3,Espressif ESP32,语音控制,物理调光助手,自动调节窗帘，提供隐私保护,家庭隐私,2023-04-01,智能家居技术论坛,https://smarthome.com,2024-09-13,,,,
智能家居控制中心,华为,Huawei Smart Home Hub,两年保修,HarmonyOS,华为,ARM Cortex-A72,自研鲲鹏芯片,APP控制,集成助手,连接各种智能设备，实现智能场景配置,家庭自动化,2022-11-15,华为官方发布,https://consumer.huawei.com,2024-09-13,,,,
智能冰箱,三星,Samsung Family Hub,三年保修,Tizen OS,三星电子,ARM Cortex-A15,Exynos 7,触摸屏控制,智能监控助手,可以查看食材存储情况，提供食谱推荐,家庭厨房,2020-09-20,消费电子周刊,https://www.cnet.com,2024-09-13,,,,
智能空气净化器,戴森,Dyson Pure Cool Link,一年保修,Dyson Link,戴森,ARM Cortex-M4,自研芯片,APP控制,空气质量检测助手,能够监测室内空气质量并自动调节,家庭健康,2021-07-15,智能家电网,https://www.smartappliances.com,2024-09-13,,,,
智能洗衣机,LG,LG ThinQ Smart Washer,两年保修,LG ThinQ,LG电子,ARM Cortex-A9,自研芯片,APP控制,衣物检测助手,根据衣物类型自动选择洗涤程序,家庭洗衣,2021-12-01,家电科技网,https://www.applianceindustry.com,2024-09-13,,,,
智能恒温热水器,美的,Midea Smart Water Heater,一年保修,Midea OS,美的,ARM Cortex-A53,自研芯片,APP控制,温度调节助手,根据用户习惯调节水温,家庭热水供应,2022-03-20,家电研究中心,https://www.appliance-research.com,2024-09-13,,,,
智能空气调节器,小米,Mi Smart Air Conditioner,三年保修,MIUI,小米,ARM Cortex-A72,MTK MT8173,语音控制,湿度监控助手,实时监测室内温度与湿度，自动调节,家庭气候控制,2022-05-01,小米科技官方,https://www.mi.com,2024-09-13,,,,
智能远程监控器,萤石,Ezviz C3,一年保修,Ezviz OS,萤石,ARM Cortex-A7,HiSilicon Hi3518V100,APP控制,安全监控助手,支持云存储与远程实时监控,家庭安防,2023-01-15,安防设备网,https://www.securitydevices.com,2024-09-13,,,,
智能健身镜,斐波那契,Fibonacci Fit Mirror,一年保修,Fibonacci OS,斐波那契科技,ARM Cortex-A57,自研芯片,触摸控制,健身指导助手,提供线上健身课程与实时反馈,家庭健身,2023-09-10,健身科技论坛,https://www.fitnesstech.com,2024-09-13,,,,
智能空气净化器,戴森,TP02,两年保修,Dyson Link,戴森公司,ARM Cortex-A53,NXP LPC1768,APP控制,空气检测工具,实时监测空气质量，自动调节风速,家庭健康,2022-04-15,家电行业趋势报告,https://www.appliance.com/,2024-09-13,,,,
智能冰箱,三星,Family Hub,三年保修,Tizen OS,三星电子,ARM Cortex-A72,Exynos 7870,触摸屏控制,食品管理助手,智能库存管理，食谱推荐,家庭厨房,2021-06-01,智能家居展览会,https://www.smart-home-expo.com/,2024-09-13,,,,
智能床垫,Sleep Number,360 Smart Bed,五年保修,Sleep IQ,Sleep Number Corporation,ARM Cortex-A9,Qualcomm Snapdragon,APP控制,睡眠质量分析工具,根据用户睡眠数据调整床垫硬度,家庭卧室,2022-08-30,睡眠科技观察,https://www.sleeptech.com/,2024-09-13,,,,
智能花园监测器,Parrot,Parrot Flower Power,一年保修,自定义系统,Parrot SA,ARM Cortex-M3,Nordic Semiconductor,APP控制,植物监测工具,实时监测植物健康状态,家庭花园,2020-05-22,园艺科技杂志,https://www.gardentechmagazine.com/,2024-09-13,,,,
智能烟雾探测器,Nest,Nest Protect,五年保修,Nest OS,Google,ARM Cortex-M4,Ambarella A12,语音提示,安全警报工具,烟雾和一氧化碳检测，手机提醒,家庭安全,2021-01-15,安全科技平台,https://www.safetytech.com/,2024-09-13,,,,
智能洗衣机,LG,Smart Wi-Fi Washer,两年保修,webOS,LG电器,ARM Cortex-A53,Qualcomm Snapdragon,APP控制，语音控制,洗衣助手,远程监控洗衣进度，选择洗涤程序,家庭洗衣,2023-02-10,家电行业报告,https://www.homeappliancesreport.com/,2024-09-13,,,,
智能水龙头,Moen,Smart Faucet,一年保修,自定义系统,Moen Incorporated,ARM Cortex-M0,Microchip PIC,语音控制,水温监测工具,自动调节水温和水量,家庭厨房,2022-09-01,厨房科技展,https://www.kitchentechshow.com/,2024-09-13,,,,
智能猫眼,August,View,两年保修,自定义OS,August Home,ARM Cortex-M4,Ambarella A12,APP控制，语音控制,门禁管理工具,远程查看访客，视频监控,家庭安全,2023-03-19,智能门锁协会,https://www.smartlockassociation.com/,2024-09-13,,,,
智能窗帘控制器,Lutron,Caséta,一年保修,Lutron OS,Lutron Electronics,ARM Cortex-M3,Texas Instruments,APP控制，声控,环境调节工具,调节窗帘开合状态，定时设置,家庭智能化,2022-11-30,智能家居开发大会,https://www.smarthomeconference.com/,2024-09-13,,,,
智能窗帘系统,LG,Smart Curtain A1,两年保修,LG Smart OS,LG电子,ARM Cortex-A53,LG自研芯片,APP控制,智能家居调节器,自动调节窗帘，保护隐私与节能,家庭自动化,2022-02-10,智能家居科技观察,https://www.smart-home-tech.com/,2024-09-13,,,,
智能健身镜,Mirror,Mirror Pro 2023,一年保修,Mirror OS,Mirror Inc.,ARM Cortex-A9,Qualcomm Snapdragon 410,手势控制,虚拟健身教练,提供实时健身指导和反馈,家庭健身,2023-03-01,健身行业研究中心,https://www.fitnessindustryresearch.com/,2024-09-13,,,,
智能保洁机器人,iRobot,Roomba i7+,一年保修,iRobot OS,iRobot Corporation,ARM Cortex-A53,Marvell ARMADA 1000,APP控制,清洁助手,自动吸尘及清洁，支持语音指令,家庭清洁,2020-09-15,家电行业分析报告,https://www.appliance-reports.com/,2024-09-13,,,,
智能温控阀,Honeywell,Home T9,两年保修,Honeywell Smart OS,Honeywell International Inc.,ARM Cortex-A7,Texas Instruments CC2652,APP控制,温度调节器,控制不同房间的温度，提高能效,家庭温控,2022-11-05,智能家居行业新闻,https://www.smarthomeblog.com/,2024-09-13,,,,
智能空气净化器,Dyson,Pure Cool TP01,一年保修,Dyson Link,Dyson Ltd.,ARM Cortex-A9,Ambarella H22,APP控制,空气质量检测器,高效过滤空气中的污染物,家庭健康,2023-01-18,环境科技研究报告,https://www.environmental-tech-report.com/,2024-09-13,,,,
智能冰箱,三星,Family Hub,两年保修,Samsung SmartHub,三星电子,ARM Cortex-A72,Qualcomm Snapdragon 845,触控屏控制,智能厨房助手,支持食物管理与远程监控,家庭厨房,2021-06-20,家电行业观察,https://www.appliancewatch.com/,2024-09-13,,,,
智能视频门铃,Ring,Video Doorbell Pro 2,一年保修,Ring OS,Ring LLC,ARM Cortex-A7,Ambarella S3L,APP控制,安全监控助手,提供实时视频监控，访客通知功能,家庭安防,2022-05-15,家庭安全技术报告,https://www.homesecuritytech.org/,2024-09-13,,,,
智能音响灯,Sonos,Sonos One SL,一年保修,Sonos OS,Sonos Inc.,ARM Cortex-A55,Realtek RTL8195AM,语音控制,音乐控制助手,高保真音质，支持多房间音响控制,家庭娱乐,2021-10-20,音响行业动态,https://www.audiotechnica.com/,2024-09-13,,,,
智能植物监测器,Parrot,Flower Power,一年保修,Parrot OS,Parrot SA,ARM Cortex-M4,Nordic nRF52832,APP控制,植物健康助手,实时监测植物环境，提供养护建议,家庭园艺,2023-04-01,园艺科技研究,https://www.gardeningtech.com/,2024-09-13,,,,
智能烤箱,Bosch,Series 800,两年保修,Bosch Home Connect,博世集团,ARM Cortex-A72,MediaTek MT8516,语音控制,厨师助手,提供智能食谱推荐与烹饪指导,家庭厨房,2021-09-05,家电行业分析报告,https://www.kitchenappliancesreview.com/,2024-09-13,,,,
智能家庭安防机器人,佳能,Robi-Guard,两年保修,Robi OS,佳能,ARM Cortex-A78,Qualcomm Snapdragon 865,"APP控制, 语音控制",移动监控工具,支持360度旋转摄像，自动巡逻，实时监控,家庭安防,2023-09-15,智能家居行业观察,https://www.homeautomationindustry.com,2024-09-13,,,,
智能冰箱,三星,Family Hub 2023,三年保修,Tizen OS,三星,ARM Cortex-A76,Samsung Exynos 980,触控屏控制,食材管理助手,智能管理食材库存，食谱推荐,家庭厨房,2023-07-10,家居科技杂志,https://www.hometechmagazine.com,2024-09-13,,,,
智能空气净化器,戴森,Pure Cool Link,两年保修,Dyson OS,戴森,ARM Cortex-A9,NXP LPC54114,"APP控制, 语音控制",环境监测工具,可实时监测空气质量，自动调节,家庭健康,2022-12-01,家电行业报告,https://www.applianceindustryreport.com,2024-09-13,,,,
智能窗帘控制系统,Lutron,Serena,两年保修,Lutron OS,Lutron Electronics,ARM Cortex-M3,Microchip PIC32,"APP控制, 物理开关控制",光感应工具,可根据日照自动调整窗帘高度,家庭照明与隐私,2023-02-20,智能家居技术论坛,https://www.smarthomeforum.com,2024-09-13,,,,
智能声控LED灯,飞利浦,Hue White and Color Ambiance,两年保修,Philips Hue OS,飞利浦,ARM Cortex-M4,NXP RF122,"声控, APP控制",灯光调节工具,支持多种灯光场景与色温调节,家庭照明,2023-05-05,智能照明行业报告,https://www.lightingindustryreport.com,2024-09-13,,,,
智能洗衣机,小米,Xiaomi AI Washer,三年保修,MIUI,小米,ARM Cortex-A73,Rockchip RK3328,APP控制,洗涤模式推荐工具,智能识别衣物材料，建议洗涤模式,家庭洗衣,2023-01-15,家电产品分析,https://www.applianceanalysis.com,2024-09-13,,,,
智能客厅控制器,亚马逊,Echo Show 10,一年保修,Fire OS,亚马逊,ARM Cortex-A55,MediaTek MT8183,触控与语音控制,多媒体助手,集成智能家居控制与影音播放,家庭娱乐,2022-10-12,消费电子展览会,https://www.ces.com,2024-09-13,,,,
智能水浸报警器,Honeywell,WLD2,两年保修,自主研发,霍尼韦尔,ARM Cortex-M0,Texas Instruments CC2652,APP控制,漏水检测工具,在水浸情况下立即报警并通知用户,家庭安全,2022-11-01,家居安全技术研究,https://www.homesecuritytech.com,2024-09-13,,,,
智能庭院灌溉系统,Gardena,Smart Irrigation,一年保修,Gardena OS,Gardena,ARM Cortex-M4,Silicon Labs EFR32MG1,APP控制,植物养护工具,根据天气条件智能调节灌溉量,家庭园艺,2023-04-19,园艺设备市场研究,https://www.gardenmarketresearch.com,2024-09-13,,,,
智能窗帘控制器,米家,Mijia Smart Curtain,两年保修,MIOT,小米,ARM Cortex-M4,Espressif ESP32,APP控制,场景控制助手,自动调节窗帘开合，支持定时设置,家庭自动化,2023-03-15,智能家居行业分析,https://www.mi.com,2024-09-13,,,,
智能冰箱,三星,Family Hub,三年保修,Tizen OS,三星电子,ARM Cortex-A53,Exynos 7,触控屏控制,食物管理助手,智能管理食材及食谱推荐,家庭厨房,2022-02-10,家电商情网,https://www.samsung.com,2024-09-13,,,,
智能空气净化器,Dyson,Pure Cool,两年保修,Dyson Link App,Dyson Ltd.,ARM Cortex-A7,Mediatek MT7697,APP和语音控制,空气质量监测工具,实时监控空气质量，支持智能调节,家庭空气管理,2021-06-30,家电行业研究,https://www.dyson.com,2024-09-13,,,,
智能烟雾探测器,Nest,Nest Protect,五年保修,Nest OS,Google,ARM Cortex-M3,NXP Kinetis K20,语音警报,安全监控助手,实时检测烟雾及二氧化碳，及时报警,家庭安全,2019-05-15,智能家居无线技术报告,https://www.nest.com,2024-09-13,,,,
智能水壶,LIVOO,KW23,一年保修,自有系统,LIVOO,ARM Cortex-M0,Atmel ATmega328,触控及APP控制,智能饮水助手,智能调节水温，定时加热,家庭厨房,2023-01-22,家电产品评测网,https://www.livoo.fr,2024-09-13,,,,
智能洗衣机,LG,LG TWINWash,两年保修,SmartThinQ,LG电子,ARM Cortex-A9,Qualcomm Snapdragon 410,APP控制,洗衣计划助手,智能分区洗涤，节能高效,家庭洗衣,2022-09-05,家电市场研究报告,https://www.lg.com,2024-09-13,,,,
智能花园系统,HUSQVARNA,Automower,两年保修,自有系统,Husqvarna Group,ARM Cortex-M7,STMicroelectronics STM32,APP控制,园艺助手,智能自动割草，与天气同步,家庭花园管理,2021-06-11,园艺行业调查,https://www.husqvarna.com,2024-09-13,,,,
智能健身镜,Mirror,The Mirror,一年保修,自有系统,Mirror LLC,ARM Cortex-A53,NVIDIA Tegra X1,触摸和语音控制,健身辅导助手,实时健身指导与课程推荐,家庭健身,2020-09-01,健康科技研究,https://www.mirror.co,2024-09-13,,,,
智能宠物喂食器,Wopet,Wopet Automatic Feeder,一年保修,自有系统,Wopet,ARM Cortex-M3,Espressif ESP8266,APP控制,宠物照顾助手,定时喂食，监控宠物饮食,家庭宠物管理,2022-11-15,宠物产业分析,https://www.wopet.com,2024-09-13,,,,
智能家居控制器,华为,SmartHome Hub,两年保修,HarmonyOS,华为,Kirin 970,华为自研芯片,APP控制,智能语音助手,连接所有家庭智能设备，实现智能控制,家庭自动化,2022-04-15,智能家居市场报告,https://www.huawei.com/cn/smart-home/,2024-09-13,,,,
智能安全传感器,Ring,Ring Alarm,一年保修,Ring OS,Amazon,Qualcomm Snapdragon,Quectel EC25,移动应用控制,安全监控系统,检测门窗开关，提供安全警报,家庭安防,2021-09-10,市场研究报告,https://ring.com/,2024-09-13,,,,
智能电饭煲,美的,Midea Rice Cooker,一年保修,自定义操作系统,美的,ARM Cortex-A55,STMicroelectronics STM32,APP控制,智能食谱助手,自动调整烹饪时间和温度,家庭厨房,2023-01-15,家电行业分析,https://www.midea.com/cn/,2024-09-13,,,,
智能窗帘,Lutron,Serena,两年保修,Lutron OS,Lutron Electronics,ARM Cortex-M4,Texas Instruments CC2652,APP控制,光线调节工具,根据光线强度自动开关,家庭环境调节,2022-07-22,家庭自动化市场研究,https://www.lutron.com/,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure,两年保修,Dyson Link,Dyson,ARM Cortex-M3,MT8321,APP控制,空气质量监测工具,实时监控空气质量，自动清洁空气,家庭健康,2022-05-05,家用电器评测,https://www.dyson.com/,2024-09-13,,,,
智能镜子,HiMirror,HiMirror Mini,一年保修,Android,HiMirror,ARM Cortex-A7,Allwinner A20,触摸控制,声音助手,提供美容建议和皮肤监测,家庭美容,2023-03-11,美容科技报告,https://www.himirror.com/,2024-09-13,,,,
智能健身追踪器,Fitbit,Fitbit Sense,一年保修,Fitbit OS,"Fitbit, Inc.",Qualcomm Snapdragon Wear 3100,Broadcom BCM4335,触摸控制,健康监测工具,监测心率、睡眠和活动,家庭健康管理,2022-09-01,健身科技周报,https://www.fitbit.com/global/us/home,2024-09-13,,,,
智能冰箱,三星,Samsung Family Hub,三年保修,Tizen,三星,Exynos 7870,Samsung S3C6410,APP控制,食谱推荐助手,智能管理食材，通知缺料,家庭厨房,2023-02-20,家电市场分析,https://www.samsung.com/,2024-09-13,,,,
智能洗衣机,LG,LG Smart Wash,两年保修,AI DD,LG Electronics,ARM Cortex-A53,Broadcom BCM43362,语音控制,洗衣助理,智能选择洗涤程序，节省用水,家庭洗衣,2023-06-05,家电行业分析报告,https://www.lg.com/cn,2024-09-13,,,,
智能空调控制器,LG,SmartAir 3000,两年保修,LG Smart OS,LG电子,ARM Cortex-A72,Qualcomm Snapdragon 410,APP控制,环境监测助手,智能调节室内温度与空气质量,家庭温控,2022-07-15,家电行业观察,https://www.appliancesobserved.com,2024-09-13,,,,
