年份（日期型）,基础设施名称（字符型）,基础组件（字符型）,账本（字符型）,共识（字符型）,智能合约（字符型）,接口（字符型）,应用（字符型）,操作运维（字符型）,系统管理（字符型）,采集来源,来源链接,采集时间,备注,,,,,,
2024,Hedera Hashgraph,共识层、应用层,广域账本,Gossip协议,智能合约支持,API Gateway,供应链管理,实时监控,基于角色的访问控制,Hedera官网,https://hedera.com,2024-09-26,,,,,,,
2024,Elrond,合约层、网络层,高效账本,Secure Proof of Stake,WASM智能合约,REST API,健康数据管理,快速备份与恢复,用户友好界面,Forbes,https://forbes.com,2024-09-26,,,,,,,
2024,Fantom,网络层、共识层,全局账本,Lachesis共识,智能合约支持,JSON RPC,人工智能集成应用,高效任务调度,实时性能监测,TechCrunch,https://techcrunch.com,2024-09-26,,,,,,,
2024,Cosmos,合约层、应用层,多链账本,Tendermint共识,CosmWasm智能合约,gRPC,部署与管理工具,标准化资源管理,跨链治理,ChainNews,https://chainnews.com,2024-09-26,,,,,,,
2024,Polkadot,平行链、网络层,共享账本,NPoS,Ink智能合约,RPC,跨链应用,节点运维工具,多链治理,CoinTelegraph,https://cointelegraph.com,2024-09-26,,,,,,,
2024,Cardano,链层、网络层,权益证明账本,Ouroboros,Plutus智能合约,GraphQL,供应链管理,监控仪表板,本地节点管理,CryptoSlate,https://cryptoslate.com,2024-09-26,,,,,,,
2024,Tezos,共识层、智能合约层,自我升级账本,Liquid Proof-of-Stake,Michelson智能合约,Tezos API,数字身份,自动化升级系统,去中心化治理,The Block,https://www.theblock.co,2024-09-26,,,,,,,
2024,NEO,智能合约层、数据层,数字资产账本,Delegated Byzantine Fault Tolerance,C#智能合约,API接口,游戏和娱乐,监控和报警系统,开发者工具包,CoinDesk,https://www.coindesk.com,2024-09-26,,,,,,,
2024,Flow,执行层、可用性层,高效账本,共识协议,Cadence智能合约,SDK,区块链游戏,集成监控解决方案,可扩展平台,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2024,Zilliqa,分片层、共识层,分片账本,PBFT和PoW组合,Scilla智能合约,REST API,去中心化金融,高效节点维护,可视化管理工具,TechCrunch,https://techcrunch.com,2024-09-26,,,,,,,
2024,Algorand,网络层、交易层,快速账本,Pure PoS,Algorand智能合约,SDK,稳定币,平台优化工具,标准化治理,CryptoBriefing,https://cryptobriefing.com,2024-09-26,,,,,,,
2024,Hedera Hashgraph,共识层、应用层,异步账本,Gossip + Virtual Voting,Solidity,API接口,企业应用,集中管理,实时监控,Forbes,https://forbes.com,2024-09-26,,,,,,,
2024,Celo,应用层、网络层,加密账本,Proof-of-Stake,Solidity智能合约,Celo SDK,移动支付,用户友好管理,社区治理,The Verge,https://theverge.com,2024-09-26,,,,,,,
2021,Cardano,网络层、结算层,公有链账本,Ouroboros,Plutus智能合约,GraphQL,教育应用,云端监控,社区治理,CryptoCompare,https://www.cryptocompare.com,2024-09-26,,,,,,,
2022,Tezos,网络层、治理层,自我修复账本,Liquid Proof of Stake,Michelson智能合约,JSON RPC,艺术品市场,标准化容器,动态调整,DappRadar,https://www.dapp radar.com,2024-09-26,,,,,,,
2023,Polygon,侧链、共识层,多链账本,Plasma,Solidity智能合约,Web3.js,游戏应用,可扩展网络管理,跨链交互,CoinMarketCap,https://www.coinmarketcap.com,2024-09-26,,,,,,,
2024,Fantom,共识层、执行层,高性能账本,Lachesis, Solidity智能合约,GraphQL,实时数据分析,高效能资源分配,边缘计算,Chainlink,https://chain.link,2024-09-26,,,,,,,
2021,Zilliqa,网络层、智能合约层,高吞吐量账本,SHARDING,Scilla智能合约,REST API,广告生态,监控与维护工具,中心化管理,Blockonomi,https://www.blockonomi.com,2024-09-26,,,,,,,
2023,EOSIO,执行层、网络层,公有链账本,Delegated Proof of Stake,C++智能合约,EOSJS,游戏应用,节点监控,便利用户管理,Investopedia,https://www.investopedia.com,2024-09-26,,,,,,,
2024,Algorand,共识层、网络层,多链账本,Pure Proof of Stake,Reach智能合约,REST API,金融科技应用,容器化管理,智能合约升级,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2022,Hedera,网络层、共识层,企业级账本,hashgraph, Solidity智能合约,REST API,供应链管理,异地备份,权限管理,Hedera,https://www.hedera.com,2024-09-26,,,,,,,
2023,Elrond,执行层、共识层,自适应区块链,Secure Proof of Stake,Wasm智能合约,REST API,跨境支付,自动化监控,微服务架构,CoinTelegraph,https://cointelegraph.com,2024-09-26,,,,,,,
2023,Polygon,执行层、共识层,侧链账本,PoS,Golang智能合约,GraphQL,去中心化金融应用,智能监控系统,跨链互操作,Cointelegraph,https://cointelegraph.com/,2024-09-26,,,,,,,
2024,Tezos,共识层、应用层,自我修正账本,Liquid Proof of Stake,Michelson智能合约,RESTful API,数字艺术品市场,零停机技术,社区驱动治理,The Block,https://www.theblock.co/,2024-09-26,,,,,,,
2024,Cardano,网络层、执行层,分层账本,Ouroboros,Plutus智能合约,WebSocket,供应链管理,弹性高可用设计,自我修复系统,Decrypt,https://decrypt.co/,2024-09-26,,,,,,,
2023,Hedera,网络层、共识层,有向无环图账本,哈希图共识,智能合约平台,gRPC,数字身份管理,分布式访问控制,分层治理,Hedera官网,https://hedera.com/,2024-09-26,,,,,,,
2024,Ripple,交易层、网络层,交易导向账本,Ripple协议共识,缺乏通用智能合约支持,JavaScript SDK,跨境支付系统,实时交易监测,金融合作网络,CoinDesk,https://www.coindesk.com/,2024-09-26,,,,,,,
2024,Algorand,共识层、网络层,高效能账本,Pure Proof of Stake,Transaction Packet智能合约,REST API与SDK,游戏与虚拟世界,自动化部署,多治理系统,CoinMarketCap,https://coinmarketcap.com/,2024-09-26,,,,,,,
2024,Fantom,共识层、应用层,DAG账本,Lachesis共识,Solidity智能合约,HTTP API,DeFi平台,节点监控系统,灰度管理,CryptoSlate,https://cryptoslate.com/,2024-09-26,,,,,,,
2023,Zilliqa,智能合约层、执行层,分片账本,Practical Byzantine Fault Tolerance,Scilla智能合约,JSON RPC,社交网络,数据治理工具,集成式管理,Cryptonews,https://cryptonews.com/,2024-09-26,,,,,,,
2024,Binance Smart Chain,网络层、共识层,多链账本,Tendermint共识,BSC智能合约,Web3.js,去中心化交易所,模块化设计,效能监控,CoinGecko,https://www.coingecko.com/,2024-09-26,,,,,,,
2024,Cardano,网络层、执行层,可扩展公有链账本,Ouroboros,Plutus智能合约,GraphQL API,金融服务,集成监控工具,多重签名管理,CoinDesk,https://www.coindesk.com,2024-09-26,,,,,,,
2024,Tezos,智能合同层、共识层,自我修正账本,Liquid Proof-of-Stake,Michelson智能合约,Tampering-resistant API,艺术品市场,自动化升级管理,去中心化治理,The Block,https://theblock.co,2024-09-26,,,,,,,
2024,Polkadot,共享安全层、链间通信层,跨链账本,Nominated Proof-of-Stake,ink!智能合约,Substrate API,Web3项目,集中式监控接口,自动化调度,Decrypt,https://www.decrypt.co,2024-09-26,,,,,,,
2024,Algorand,共识层、运行层,快速确认账本,Pure Proof-of-Stake,Transaction Execution Approval,RESTful API,链上投票系统,高级安全管理工具,监控与审计,CryptoSlate,https://cryptoslate.com,2024-09-26,,,,,,,
2024,Fantom,运行层、共识层,即时结算账本,Lachesis,FTM智能合约,JSON RPC,供应链管理,自动化资源分配,区块链治理,CoinTelegraph,https://cointelegraph.com,2024-09-26,,,,,,,
2024,NEM,命名空间层、交易层,可编程账本,Proof-of-Importance,Smart Asset System,REST API,身份验证,界面友好的管理工具,访问控制管理,CryptoNews,https://cryptonews.com,2024-09-26,,,,,,,
2024,EOS,执行层、应用层,高频交易账本,Delegated Proof-of-Stake,C++智能合约,API端点,游戏开发,集成开发环境,账户管理系统,CoinMarketCap,https://coinmarketcap.com,2024-09-26,,,,,,,
2024,Zilliqa,可扩展性层、共识层,分片账本,Practical Byzantine Fault Tolerance,Scilla智能合约,Zilliqa API,广告服务,灵活的资源调配,可视化报告,CoinGecko,https://www.coingecko.com,2024-09-26,,,,,,,
2024,Waves,共识层、交易层,自定义令牌账本,Leased Proof-of-Stake,Waves智能合约,WebSocket API,供应链透明化,高级日志审计,你的资产管理,Blockonomi,https://blockonomi.com,2024-09-26,,,,,,,
2024,Ethereum 2.0,共识层、执行层,分布式账本,PoS,Vyper智能合约,Web3.js,企业应用,负载均衡,分布式系统管理,Ethereum Foundation,https://ethereum.org/,2024-09-26,,,,,,,
2024,Cardano,安全层、应用层,波卡账本,Ouroboros,Plutus智能合约,GraphQL,金融服务,容器管理,集中式监控,Cardano Community,https://cardano.org/,2024-09-26,,,,,,,
2023,Binance Smart Chain,执行层、共识层,高性能账本,BFT,Solidity智能合约,JSON RPC,去中心化金融,异地容灾,自服务管理,Binance Research,https://research.binance.com/,2024-09-26,,,,,,,
2024,Polkadot,网关层、共识层,多链结构,NPoS,Ink!智能合约,Polkadot API,跨链应用,链上治理,动态图表管理,Web3 Foundation,https://polkadot.network/,2024-09-26,,,,,,,
2024,Tezos,基础层、网络层,可升级账本,Liquid Proof-of-Stake,Michelson智能合约,TezosJS,治理解决方案,根节点监控,系统资源调度,Tezos Foundation,https://tezos.com/,2024-09-26,,,,,,,
2023,Ripple,传输层、支付层,私有账本,RPCA,不支持智能合约,XRP Ledger API,跨境支付,API管理,网络拓扑管理,Ripple Labs,https://ripple.com/,2024-09-26,,,,,,,
2024,Near Protocol,执行层、存储层,公有链账本,Nightshade,Rust智能合约,JSON RPC,Web应用程序,自动故障转移,实时监控,Near Foundation,https://near.org/,2024-09-26,,,,,,,
2024,Cosmos,数据层、网络层,跨链账本,Tendermint,CosmWasm智能合约,gRPC API,区块链互操作,可插拔治理,分布式管理,Interchain Foundation,https://cosmos.network/,2024-09-26,,,,,,,
2024,Algorand,共识层、应用层,快速结算账本,Pure PoS,Transaction智能合约,Algorand API,绿色金融,标签化治理,自动化治理,Algorand Foundation,https://algorand.com/,2024-09-26,,,,,,,
2023,Cardano,智能合约层、网络层,公有链账本,Ouroboros,Plutus智能合约,GraphQL,身份认证,集成监控工具,跨链治理,BlockData,https://www.blockdata.org,2024-09-26,,,,,,,
2024,Cosmos,应用层、共识层,多链账本,Tendermint,CosmWasm智能合约,gRPC,去中心化交易所,高容错性设计,动态治理体系,DappRadar,https://www.dapp radar.com,2024-09-26,,,,,,,
2024,Tezos,智能合约层、网络层,自我修正账本,Liquid Proof-of-Stake,Michelson智能合约,REST API,治理平台,优化的资源调度,用户导向的治理机制,CoinDesk,https://www.coindesk.com,2024-09-26,,,,,,,
2024,Polkadot,共享安全层、网络层,异构链账本,Nominated Proof-of-Stake,ink!智能合约,Substrate API,跨链应用,统一的监控框架,模块化管理,CryptoSlate,https://cryptoslate.com,2024-09-26,,,,,,,
2024,Algorand,交易层、智能合约层,高效账本,Pure Proof-of-Stake,Transaction Smart Contracts,Algorand SDK,供应链管理,快速上线工具,去中心化治理,CoinMarketCap,https://coinmarketcap.com,2024-09-26,,,,,,,
2024,Fantom,共识层、数据层,高速异构账本,Lachesis,Solidity智能合约,GraphQL API,NFT平台,自动化部署工具,智能合约治理,Block.one,https://block.one,2024-09-26,,,,,,,
2024,Flow,协议层、智能合约层,可扩展账户账本,Finality,Cadence智能合约,HTTP API,游戏开发,开发者工具集成,用户反馈机制,Dapp.com,https://www.dapp.com,2024-09-26,,,,,,,
2023,Zilliqa,网络层、智能合约层,分片账本,PoW + PoS,Scilla智能合约,Zilliqa API,广告技术,低延迟运行,透明治理,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2024,near,计算层、存储层,动态可扩展账本,Doomsday,Rust & AssemblyScript智能合约,NEAR API,社会化应用,集成化支持工具,社区驱动治理,TechCrunch,https://techcrunch.com,2024-09-26,,,,,,,
2023,Cardano,结算层、智能合约层,层次化账本,Ouroboros,Plutus智能合约,GraphQL API,去中心化金融,自动化部署工具,基于角色的访问控制,CryptoCompare,https://www.cryptocompare.com/,2024-09-26,,,,,,,
2024,Polygon,网络层、应用层,偏中心化账本,PoS,Matic智能合约,REST API,多链生态应用,集成式监控,区块链分析,CoinMarketCap,https://coinmarketcap.com/,2024-09-26,,,,,,,
2024,Tezos,智能合约层、共识层,自我修正账本,Liquid Proof-of-Stake,Michelson智能合约,REST API,治理应用,动态负载均衡,监控仪表盘,Cointelegraph,https://cointelegraph.com/,2024-09-26,,,,,,,
2024,Hedera,共识层、数据层,DAG账本,HBAR共识,Hedera智能合约,gRPC,企业级应用,全面审计工具,治理框架,Decrypt,https://decrypt.co/,2024-09-26,,,,,,,
2023,Fantom,共识层、数据层,快速账本,Lachesis,Solidity智能合约,JSON RPC,政府服务应用,实时监控,高可用性设计,The Block,https://www.theblock.co/,2024-09-26,,,,,,,
2024,Zilliqa,智能合约层、分片层,分片账本,Practical Byzantine Fault Tolerance,Scilla智能合约,REST API,广告应用,集中式监控,社区治理,CryptoSlate,https://cryptoslate.com/,2024-09-26,,,,,,,
2024,Algorand,网络层、共识层,可伸缩账本,Pure Proof-of-Stake,Teal智能合约,Algorand API,供应链应用,一体化服务,多链支持,Investopedia,https://www.investopedia.com/,2024-09-26,,,,,,,
2024,EOS,执行层、存储层,高效账本,Delegated Proof-of-Stake,C++智能合约,WebSocket,社交媒体应用,多云支持,实时性能监测,CoinGecko,https://www.coingecko.com/,2024-09-26,,,,,,,
2024,Chainlink,预言机层、网络层,跨链账本,去中心化预言机,链上智能合约,Ethereum API,金融服务产品,实时数据分析,内置安全性,Forbes,https://www.forbes.com/,2024-09-26,,,,,,,
