年份（字符型）,地区（字符型）,区块链数量（数值型）,单位,区块链应用行业（字符型）,区块链应用场景（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2023年,新加坡,400,个,医疗、金融,病人数据管理、支付清算,新加坡金融管理局,https://www.mas.gov.sg/development-of-fintech/blockchain-and-dlt,,,,,,,,,,,,,
2023年,以色列,300,个,科技、金融,智能合约、支付追踪,以色列科技部,https://www.gov.il/en/departments/units/blockchain-technology,,,,,,,,,,,,,
2023年,巴西,670,个,农业、供应链,农产品溯源、支付透明化,巴西农业部,http://www.agricultura.gov.br,,,,,,,,,,,,,
2023年,印度,500,个,医疗、金融,健康记录管理、微型贷款,印度央行,https://www.rbi.org.in,,,,,,,,,,,,,
2023年,澳大利亚,350,个,教育、金融,学历认证、智能合约,澳大利亚教育部,https://www.education.gov.au,,,,,,,,,,,,,
2023年,英国,920,个,保险、房地产,索赔处理、物业交易,英国金融行为监管局,https://www.fca.org.uk,,,,,,,,,,,,,
2023年,新西兰,250,个,旅游、政务,旅行证件存储、数字身份验证,新西兰旅游局,https://www.tourism.govt.nz,,,,,,,,,,,,,
2023年,阿根廷,340,个,金融、艺术,NFT市场、支付解决方案,阿根廷中央银行,http://www.bcra.gov.ar,,,,,,,,,,,,,
2023年,南非,600,个,政府、金融,土地登记、透明投票,南非金融服务部门,https://www.fsb.co.za,,,,,,,,,,,,,
2023年,俄罗斯,750,个,政务、能源,数字化档案、能源交易,俄罗斯国家信息技术局,https://www.msit.gov.ru,,,,,,,,,,,,,
2023年,阿联酋,920,个,金融、房地产,无纸化交易、资产管理,阿联酋中央银行,https://www.centralbank.ae,,,,,,,,,,,,,
2023年,沙特阿拉伯,400,个,医疗、环保,药品追溯、碳信用交易,沙特卫生部,https://www.moh.gov.sa,,,,,,,,,,,,,
2023年,加拿大,650,个,金融、政府,数字货币跟踪、公共记录管理,Canadian Blockchain Consortium,https://www.canadianblockchainconsortium.ca/,,,,,,,,,,,,,
2024年,印度,900,个,农业、金融,农业供应链管理、微型金融,NASSCOM,https://nasscom.in/knowledge-center/insights/blockchain-indias-future,,,,,,,,,,,,,
2023年,巴西,420,个,农业、物流,农产品追溯、货物透明度,Brazil Blockchain Association,https://www.brazilblockchain.com,,,,,,,,,,,,,
2023年,阿根廷,300,个,金融、教育,学生证书验证、支付系统,Argentine Blockchain Association,https://www.argentinablockchain.com,,,,,,,,,,,,,
2023年,英国,1100,个,医疗、保险,患者数据安全管理、索赔处理,UK Blockchain Association,https://www.ukblockchainassociation.org,,,,,,,,,,,,,
2023年,澳大利亚,400,个,环保、能源,碳交易、可再生能源跟踪,Blockchain Australia,https://blockchainaustralia.org.au/,,,,,,,,,,,,,
2023年,阿联酋,750,个,政务、金融,身份认证、支付系统,UAE Blockchain Council,https://www.uaeblockchain.ae,,,,,,,,,,,,,
2023年,南非,220,个,银行、房地产,房产交易透明化、信用评分,South Africa Blockchain Coalition,https://www.sablockchain.org,,,,,,,,,,,,,
2024年,瑞典,530,个,公共服务、运输,电子投票、物流追踪,Swedish Blockchain Forum,https://www.swedishblockchainforum.se,,,,,,,,,,,,,
2023年,印度,2100,个,金融、农业,贷款审批、供应链可追溯性,印度信息技术部,https://www.meity.gov.in/,,,,,,,,,,,,,
2023年,巴西,750,个,公共管理、金融,税务透明性、社会福利分配,巴西区块链协会,https://www.brasilblockchain.com/,,,,,,,,,,,,,
2023年,阿根廷,450,个,供应链、农业,产品认证、土地注册,阿根廷国家农业部,https://www.argentina.gob.ar/produccion,,,,,,,,,,,,,
2023年,英国,900,个,金融、保险,保险理赔、票据结算,英国金融行为监管局,https://www.fca.org.uk/,,,,,,,,,,,,,
2023年,澳大利亚,680,个,教育、政务,学历验证、电子投票,澳大利亚政府数字服务,https://www.digital.gov.au/,,,,,,,,,,,,,
2023年,加拿大,540,个,旅游、房地产,房产转让、旅行者身份验证,加拿大区块链技术研究所,https://www.canadianblockchain.ca/,,,,,,,,,,,,,
2023年,新西兰,320,个,环境、食品安全,碳排放交易、食品供应链追踪,新西兰环保署,https://www.mfe.govt.nz/,,,,,,,,,,,,,
2023年,南非,560,个,物流、金融,物流追踪、微型贷款,南非收入服务局,https://www.sars.gov.za/,,,,,,,,,,,,,
2023年,俄罗斯,440,个,能源、公共服务,电力交易、公共合同透明,俄罗斯联邦经济发展部,https://economy.gov.ru/,,,,,,,,,,,,,
2023年,新加坡,385,个,金融、教育,数字货币交易、在线课程证明,新加坡金融管理局,https://www.mas.gov.sg/,,,,,,,,,,,,,
2023年,印度,950,个,金融、物流,跨境支付、物流追踪,NASSCOM,https://nasscom.in/,,,,,,,,,,,,,
2024年,加拿大,620,个,农业、能源,农业溯源、能源交易平台,Canadian Blockchain Consortium,https://www.blockchaincouncil.ca/,,,,,,,,,,,,,
2023年,巴西,380,个,金融、政务,选民身份认证、财政透明度,巴西国家银行,https://www.bcb.gov.br/,,,,,,,,,,,,,
2023年,英国,1100,个,医疗、保险,电子健康记录管理、保险理赔,英国国家健康服务,https://www.nhs.uk/,,,,,,,,,,,,,
2023年,澳大利亚,540,个,教育、金融,学位认证、数字货币支付,澳大利亚教育部,https://www.education.gov.au/,,,,,,,,,,,,,
2023年,阿根廷,270,个,金融、地产,房地产交易透明化、支付处理,阿根廷金融服务监管局,https://www.argentinacfi.gov.ar/,,,,,,,,,,,,,
2023年,南非,365,个,农业、供应链,食品安全跟踪、农产品交易,南非农业监管局,https://www.nda.gov.za/,,,,,,,,,,,,,
2024年,俄罗斯,600,个,能源、金融,区块链电力交易、智能合同,俄罗斯联邦能源部,http://www.minenergo.gov.ru/,,,,,,,,,,,,,
2023年,瑞士,400,个,金融、法律,加密资产监管、智能合约验证,瑞士金融市场监管局,https://www.finma.ch/,,,,,,,,,,,,,
2023年,新西兰,220,个,教育、政府,学历证书验证、数字身份管理,新西兰教育部,https://www.education.govt.nz/,,,,,,,,,,,,,
2023年,印度,1500,个,金融、农业,智能合约、农产品溯源,印度区块链协会,https://www.ibc.org.in,,,,,,,,,,,,,
2023年,巴西,900,个,金融、教育,学位证书验证、支付系统,巴西科技部,http://www.mcti.gov.br,,,,,,,,,,,,,
2023年,英国,2000,个,金融、保险,保险索赔处理、反洗钱,英国金融行为监管局,https://www.fca.org.uk,,,,,,,,,,,,,
2023年,加拿大,750,个,能源、环保,碳交易市场、可再生能源证书,加拿大区块链研究中心,https://www.canadianblockchainresearch.org,,,,,,,,,,,,,
2023年,阿根廷,400,个,旅游、财务,旅游合同管理、汇款服务,阿根廷金融科技协会,https://www.aftc.org.ar,,,,,,,,,,,,,
2023年,新西兰,650,个,农业、健康,食品安全追踪、医疗记录管理,新西兰农业部,https://www.mpi.govt.nz,,,,,,,,,,,,,
2023年,南非,550,个,供应链、政府,物流透明化、土地登记,南非区块链联盟,https://www.sablk.org,,,,,,,,,,,,,
2023年,瑞士,1200,个,金融、科技,数字货币、数据安全,瑞士金融市场监管局,https://www.finma.ch,,,,,,,,,,,,,
2023年,澳大利亚,850,个,体育、娱乐,竞猜平台、门票验证,澳大利亚区块链中心,https://www.blockchaincentre.com.au,,,,,,,,,,,,,
2023年,俄罗斯,1300,个,物流、金融,资产跟踪、跨境支付,俄罗斯联邦中央银行,https://www.cbr.ru,,,,,,,,,,,,,
2023年,英国,900,个,金融、健康,医疗记录管理、金融交易,英国区块链协会,https://www.ukblockchainassociation.org/,,,,,,,,,,,,,
2023年,印度,650,个,政府、教育,学历认证、公共记录存储,印度国家电子局,https://www.meity.gov.in/,,,,,,,,,,,,,
2023年,澳大利亚,700,个,农业、物流,农产品溯源、货物追踪,澳大利亚区块链中心,https://www.blockchainaustralia.org/,,,,,,,,,,,,,
2023年,巴西,400,个,政府、金融,税务透明、公共支出审计,巴西区块链研究所,https://www.brazilianblockchain.org/,,,,,,,,,,,,,
2023年,俄罗斯,550,个,能源、通信,智能电网、数据共享,俄罗斯信息技术部,https://minsvyaz.ru/,,,,,,,,,,,,,
2023年,阿联酋,800,个,旅游、金融,身份验证、智能合约,阿联酋数字政府,https://www.digitalgovernment.ae/,,,,,,,,,,,,,
2023年,南非,350,个,金融、农业,微贷款、供应链融资,南非区块链联盟,https://www.southafricanblockchainassociation.org/,,,,,,,,,,,,,
2023年,瑞典,400,个,医疗、政府,医疗记录共享、选民身份认证,瑞典数字化局,https://www.digga.se/,,,,,,,,,,,,,
2023年,新西兰,300,个,房地产、金融,土地登记、资产交换,新西兰区块链协会,https://www.nzblockchain.com/,,,,,,,,,,,,,
2023年,新西兰,400,个,教育、金融,证书认证、投资管理,新西兰教育部,https://www.education.govt.nz/,,,,,,,,,,,,,
2023年,加拿大,600,个,金融、教育,教育资质验证、数字资产管理,加拿大金融交易和报告分析中心,https://www.fican.gov.ca,,,,,,,,,,,,,
2023年,英国,950,个,银行、保险,保险索赔处理、智能合约,金融行为监管局,https://www.fca.org.uk,,,,,,,,,,,,,
2023年,印度,2800,个,农业、金融,农产品追溯、数字支付,印度国家农业部,https://www.agricoop.nic.in,,,,,,,,,,,,,
2023年,阿根廷,400,个,供应链、政府,供应链透明度、数字身份管理,阿根廷国家统计局,https://www.indec.gob.ar,,,,,,,,,,,,,
2023年,新西兰,150,个,健康、教育,健康记录管理、在线证书验证,新西兰数字事务局,https://www.digital.govt.nz,,,,,,,,,,,,,
2023年,南非,700,个,金融、艺术,非同质化代币（NFT）交易、金融透明度,南非金融监管局,https://www.fsb.co.za,,,,,,,,,,,,,
2023年,巴西,900,个,金融、物流,交易记录管理、货物追踪,巴西证券交易所,http://www.b3.com.br,,,,,,,,,,,,,
2023年,澳大利亚,500,个,电信、环保,智能计费、可再生能源交易,澳大利亚数字经济局,https://www.digital.gov.au,,,,,,,,,,,,,
2023年,新加坡,700,个,金融、政府,数字货币发行、政府服务,新加坡金融管理局,https://www.mas.gov.sg,,,,,,,,,,,,,
2023年,德国,850,个,汽车、能源,汽车共享、能源管理系统,德国联邦金融监管局,https://www.bafin.de,,,,,,,,,,,,,
2023年,加拿大,650,个,金融、教育,学位证书认证、资产管理,加拿大学术联邦,https://www.canadianacademicfederation.ca,,,,,,,,,,,,,
2024年,印度,1500,个,农业、金融,农产品溯源、供应链融资,印度农业部,https://www.agricoop.nic.in,,,,,,,,,,,,,
2023年,澳大利亚,900,个,医疗、法律,病历共享、合同自动化,澳大利亚政府数字服务,https://www.digital.gov.au,,,,,,,,,,,,,
2024年,阿根廷,400,个,公共服务、金融,土地登记、快速支付,阿根廷国家银行,https://www.bna.com.ar,,,,,,,,,,,,,
2023年,新西兰,300,个,旅游、环保,碳交易、旅游身份验证,新西兰环境局,https://www.environment.govt.nz,,,,,,,,,,,,,
2025年,巴西,2200,个,供应链、金融,食品溯源、支付解决方案,巴西金融机构,https://www.bcb.gov.br,,,,,,,,,,,,,
2023年,芬兰,350,个,教育、政府,证书验证、投票系统,芬兰国家教育局,https://www.oph.fi,,,,,,,,,,,,,
2024年,南非,450,个,金融、医疗,银行转账、病历管理,南非中央银行,https://www.resbank.co.za,,,,,,,,,,,,,
2023年,瑞士,800,个,金融、资产管理,数字资产管理、投资追踪,瑞士金融市场监管局,https://www.finma.ch,,,,,,,,,,,,,
2023年,印度,600,个,农业、金融,农业供应链管理、贷款透明化,NASSCOM,https://nasscom.in/,,,,,,,,,,,,,
2023年,巴西,450,个,物流、金融,物流追踪、金融交易透明,巴西区块链协会,https://www.blockchainbrasil.org/,,,,,,,,,,,,,
2023年,英国,900,个,娱乐、版权,数字内容版权管理,UK Tech,https://www.uktech.co.uk/,,,,,,,,,,,,,
2023年,澳大利亚,350,个,金融、政务,电子身份识别、电子投票,Australian Blockchain Association,https://austblockchain.org/,,,,,,,,,,,,,
2023年,南非,250,个,金融、农业,小额贷款、农产品溯源,南非区块链论坛,https://blockchainforum.co.za/,,,,,,,,,,,,,
2023年,俄罗斯,700,个,能源、政务,能源交易平台、政府数据透明化,俄罗斯数字经济部,http://digital.gov.ru/,,,,,,,,,,,,,
2023年,阿联酋,800,个,金融、旅游,智能合约、旅游积分传递,阿联酋金融监管局,https://www.cbu.ae/,,,,,,,,,,,,,
2023年,瑞士,300,个,金融、科技,数字货币管理、身份验证,瑞士金融市场监管局,https://www.finma.ch/,,,,,,,,,,,,,
2023年,新西兰,200,个,农业、环保,食品安全、碳交易,新西兰农业部,https://www.mpi.govt.nz/,,,,,,,,,,,,,
2024年,以色列,550,个,医疗、科技,电子健康记录、创新研究,以色列科技委员会,https://www.gov.il/en/departments/technology,,,,,,,,,,,,,
2023年,印度,600,个,农牧业、金融,农业供应链管理,NASSCOM,https://nasscom.in/,,,,,,,,,,,,,
2023年,加拿大,500,个,医疗、政府,健康数据管理,加拿大区块链技术协会,https://www.canada.ca/en/services/science-innovation/technology/blockchain.html,,,,,,,,,,,,,
2023年,澳大利亚,450,个,金融、贸易,贸易融资,澳大利亚金融技术协会,https://fintech.org.au/,,,,,,,,,,,,,
2023年,英国,700,个,媒体、版权,音乐版权管理,UK Digital Agency,https://www.gov.uk/government/organisations/digital-agency,,,,,,,,,,,,,
2023年,阿联酋,900,个,金融、物流,航空货运管理,Dubai Blockchain Center,https://www.smartdubai.ae/,,,,,,,,,,,,,
2023年,巴西,350,个,政府、社会服务,税务透明化,巴西政府数字化项目,https://www.gov.br/governodigital/,,,,,,,,,,,,,
2023年,南非,200,个,农业、金融,小农户融资,南非区块链研究所,https://www.blockchain.com/,,,,,,,,,,,,,
2023年,新西兰,250,个,环保、资源管理,可再生资源追踪,新西兰环境保护部,https://www.mfe.govt.nz/,,,,,,,,,,,,,
2023年,瑞士,800,个,金融、资产管理,数字资产交易,瑞士金融市场监督管理局,https://www.finma.ch/,,,,,,,,,,,,,
2023年,以色列,400,个,技术、创新,智能合约和DApp开发,以色列区块链协会,https://israelblockchain.org/,,,,,,,,,,,,,
2023年,加拿大,650,个,金融、技术,"去中心化金融(DeFi), 资产代币化",Blockchain Canada,https://blockchaincanada.ca/,,,,,,,,,,,,,
2023年,英国,700,个,医疗、保险,患者数据管理、安全交易,NHS Blockchain,https://www.nhs.uk/using-the-nhs/nhs-services/blocks-and-chains-in-the-nhs/,,,,,,,,,,,,,
2023年,印度,900,个,农业、金融,农产品溯源、贷款融资,Indian Blockchain Association,https://www.ibatech.org/,,,,,,,,,,,,,
2023年,巴西,550,个,教育、政务,学历认证、透明投票,Blockchain Brazil,https://www.blockchainbrasil.org/,,,,,,,,,,,,,
2023年,澳大利亚,450,个,金融、零售,供应链付款、忠诚度项目,Australian Blockchain Seminar,https://blockchain.gov.au/,,,,,,,,,,,,,
2023年,阿联酋,800,个,城市规划、运输,智能城市基础设施和交通数据管理,Dubai Smart City,https://www.smartdubai.ae/,,,,,,,,,,,,,
2023年,新西兰,350,个,环境保护、农业,碳信用交易、可持续发展追踪,New Zealand Farms Blockchain Initiative,https://www.nzfbi.org/,,,,,,,,,,,,,
2023年,新加坡,700,个,政务、教育,公民身份管理、在线学习认证,GovTech Singapore,https://www.tech.gov.sg/,,,,,,,,,,,,,
2023年,南非,300,个,卫生、金融,疫苗分配透明度、金融包容性,South African Blockchain Foundation,https://www.sablockchain.org/,,,,,,,,,,,,,
2023年,瑞士,900,个,金融、科技,数字货币、金融合规,Swiss Blockchain Federation,https://www.blockchain-swiss.ch/,,,,,,,,,,,,,
2023年,印度,900,个,金融、农业,区块链借贷、农业供应链管理,印度信息技术部,https://www.meity.gov.in/,,,,,,,,,,,,,
2023年,巴西,650,个,金融、教育,数字货币支付、学历认证,巴西中央银行,https://www.bcb.gov.br/,,,,,,,,,,,,,
2023年,英国,1500,个,政府、媒体,选民身份验证、内容去中心化,英国信息委员会,https://ico.org.uk/,,,,,,,,,,,,,
2023年,澳大利亚,700,个,金融、医疗,医疗记录共享、区块链银行业务,澳大利亚证券投资委员会,https://asic.gov.au/,,,,,,,,,,,,,
2023年,俄罗斯,400,个,能源、政务,能源交易平台、政府数据透明性,俄罗斯联邦数字发展部,https://digital.gov.ru/,,,,,,,,,,,,,
2023年,南非,350,个,金融、公益,金融普惠、透明的慈善捐赠,南非中央银行,https://www.resbank.co.za/,,,,,,,,,,,,,
2023年,阿根廷,300,个,农业、科技,食品安全追踪、知识产权保护,阿根廷农业部,https://www.argentina.gob.ar/agricultura,,,,,,,,,,,,,
2023年,新西兰,200,个,教育、旅游,学历证书验证、旅游证明,新西兰教育部,https://www.education.govt.nz/,,,,,,,,,,,,,
2023年,以色列,450,个,科技、医疗,电子健康记录、科研数据管理,以色列科技部,https://www.mosti.gov.il/,,,,,,,,,,,,,
2023年,印度,950,个,金融、农业,数字支付、土地所有权管理,印度国家信息技术局,https://www.meity.gov.in/,,,,,,,,,,,,,
2023年,加拿大,670,个,金融、供应链,物流追踪、跨境支付,加拿大区块链协会,https://www.canadianblockchain.com/,,,,,,,,,,,,,
2023年,澳大利亚,520,个,能源、环保,可再生能源交易、碳信用管理,澳大利亚能源市场监理机构,https://www.aemo.com.au/,,,,,,,,,,,,,
2023年,巴西,400,个,农产品、金融,农产品溯源、微额贷款,巴西农民协会,https://www.cna.org.br/,,,,,,,,,,,,,
2023年,阿根廷,350,个,金融、教育,学生记录管理、贷款服务,阿根廷区块链和数字资产协会,https://www.ablockchain.org/,,,,,,,,,,,,,
2023年,南非,550,个,金融、物流,供应链透明度、金融交易,南非金融监管局,https://www.fsb.co.za/,,,,,,,,,,,,,
2023年,瑞士,240,个,金融、科技,数字资产管理、智能合约,瑞士金融市场监督管理局,https://www.finma.ch/,,,,,,,,,,,,,
2023年,新西兰,290,个,农业、环保,农产品供应链管理、碳足迹追踪,新西兰农业部,https://www.mpi.govt.nz/,,,,,,,,,,,,,
2023年,新西兰,290,个,农业、环保,农产品供应链管理、碳足迹追踪,新西兰农业部,https://www.mpi.govt.nz/,,,,,,,,,,,,,
2023年,新加坡,310,个,金融、旅游,旅行记录管理、电子支付,新加坡金融管理局,https://www.singaporechamber.org/,,,,,,,,,,,,,
2024年,中国,4562,个,金融、供应链、政务,数字人民币、物流追踪,国家发展改革委,http://www.ndrc.gov.cn,,,,,,,,,,,,,
2023年,印度,650,个,农业、金融,农产品追溯、金融服务,印度信息技术部,https://www.meit.gov.in,,,,,,,,,,,,,
2023年,澳大利亚,950,个,医疗、教育,病历管理、证书验证,澳大利亚统计局,https://www.abs.gov.au,,,,,,,,,,,,,
2024年,新西兰,450,个,金融、物流,资金转移、货物追踪,新西兰贸易和企业部,https://www.mbie.govt.nz,,,,,,,,,,,,,
2023年,巴西,700,个,政府、能源,投票系统、可再生能源交易,巴西政府,http://www.gov.br,,,,,,,,,,,,,
2024年,芬兰,300,个,媒体、艺术,艺术品防伪、数字收藏品,芬兰科技创新局,https://www.tecnologia.fi,,,,,,,,,,,,,
2023年,英国,1800,个,金融、保险、法律,智能合约、信息透明,英国金融行为监管局,https://www.fca.org.uk,,,,,,,,,,,,,
2023年,阿联酋,1300,个,智能城市、旅游,身份认证、旅游服务,阿联酋信息与通信技术局,https://www.ict.gov.ae,,,,,,,,,,,,,
2024年,南非,920,个,农业、金融,农产品融资、交易透明,南非国家农业部门,http://www.daff.gov.za,,,,,,,,,,,,,
2023年,俄罗斯,750,个,交通、物流,运输监控、供应链优化,俄罗斯交通部,http://www.mintrans.ru,,,,,,,,,,,,,
2023年,中国,3675,个,交通、政府,城市交通管理、电子票据,国家发展改革委,http://www.ndrc.gov.cn/,,,,,,,,,,,,,
2023年,德国,950,个,物流、制造,供应链透明度、资产追踪,德国经济部,https://www.bmwi.de/,,,,,,,,,,,,,
2023年,印度,1500,个,农业、金融,农产品溯源、小额信贷,印度信息技术部,https://www.meity.gov.in/,,,,,,,,,,,,,
2023年,加拿大,600,个,医疗、金融,患者数据管理、支付系统,加拿大政府官网,https://www.canada.ca/,,,,,,,,,,,,,
2023年,巴西,450,个,政府、金融,透明的公共记录、税务合规,巴西财政部,http://www.fazenda.gov.br/,,,,,,,,,,,,,
2023年,澳大利亚,720,个,教育、身份验证,学位验证、专业资质认证,澳大利亚教育部,https://www.education.gov.au/,,,,,,,,,,,,,
2023年,英国,1100,个,能源、政府,智能电网、投票平台,英国能源部,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,,,,,,,,,,,,,
2023年,新西兰,300,个,金融、农业,智能合约、供应链管理,新西兰创新部,https://www.mbie.govt.nz/,,,,,,,,,,,,,
2023年,新加坡,900,个,政务、金融、医疗,电子身份、健康记录共享,新加坡技术局,https://www.imda.gov.sg/,,,,,,,,,,,,,
2023年,阿根廷,250,个,金融、社交,加密货币交易、社交平台透明性,阿根廷中央银行,https://www.bcra.gov.ar/,,,,,,,,,,,,,
2023年,印度,720,个,农业、金融,农产品溯源、贷款管理,印度信息技术部,https://www.meitY.gov.in/,,,,,,,,,,,,,
2023年,英国,950,个,医疗、政务,健康数据管理、公共记录透明性,UK Government Digital Service,https://www.gov.uk/government/organisations/government-digital-service,,,,,,,,,,,,,
2023年,澳大利亚,680,个,金融、环境,碳信用交易,澳大利亚证券投资委员会,https://asic.gov.au/,,,,,,,,,,,,,
2023年,阿联酋,400,个,旅游、政务,签证申请处理与身份验证,阿联酋经济部,https://www.economy.ae/,,,,,,,,,,,,,
2023年,巴西,520,个,金融、农业,财富管理、食品追踪,巴西中央银行,https://www.bcb.gov.br/,,,,,,,,,,,,,
2023年,加拿大,850,个,运输、金融,货物追踪，消费者金融服务,加拿大创新、科学与工业部,https://www.ic.gc.ca/,,,,,,,,,,,,,
2023年,南非,300,个,教育、金融,学历认证、微贷服务,南非国家 डेटा局,http://www.statssa.gov.za/,,,,,,,,,,,,,
2023年,俄罗斯,430,个,能源、医疗,能源供应链管理、电子处方,俄罗斯联邦区块链技术中心,https://blockchain.ru/,,,,,,,,,,,,,
2023年,新西兰,220,个,农业、金融,农场管理、贸易融资,新西兰贸易与企业部,https://www.mbie.govt.nz/,,,,,,,,,,,,,
2023年,新加坡,310,个,金融、安全,数字资产安全、身份验证,新加坡金融管理局,https://www.mas.gov.sg/,,,,,,,,,,,,,
2023年,印度,900,个,金融、农业,农产品溯源、贷款审批,印度经济与商业部,https://www.investindia.gov.in/,,,,,,,,,,,,,
2023年,澳大利亚,650,个,医疗、教育,电子健康记录、学习认证,澳大利亚国家创新研究院,https://www.csiro.au/en/about/facilities----locations/innovation-centres,,,,,,,,,,,,,
2023年,阿根廷,420,个,能源、政务,可再生能源交易、电子证据保存,阿根廷技术部,https://www.argentina.gob.ar/ciencia,,,,,,,,,,,,,
2023年,英国,1100,个,旅游、金融,用户评价管理、数字支付,英国金融管理局,https://www.fca.org.uk/,,,,,,,,,,,,,
2023年,巴西,780,个,零售、物流,订单跟踪、供应链透明,巴西国家银行,https://www.bcb.gov.br/,,,,,,,,,,,,,
2023年,新西兰,250,个,环保、金融,碳信用交易、透明账簿,新西兰贸易与企业部,https://www.mbie.govt.nz/,,,,,,,,,,,,,
2024年,俄罗斯,600,个,政务、广告,公民身份认证、广告投放跟踪,俄罗斯国家经济发展部,https://economy.gov.ru/,,,,,,,,,,,,,
2024年,南非,320,个,金融、物流,支付系统优化、物流管理,南非银行协会,https://www.abs.org.za/,,,,,,,,,,,,,
2024年,以色列,850,个,科技、医疗,医疗数据共享、科技研发,以色列科技局,https://www.sei.gov.il/,,,,,,,,,,,,,
2023年,印度,1500,个,金融、农业,去中心化金融、供应链透明度,印度信息技术部,https://www.meity.gov.in/,,,,,,,,,,,,,
2023年,加拿大,720,个,医疗、金融,电子医疗记录、智能合约,加拿大区块链协会,https://www.canada.ca/en.html,,,,,,,,,,,,,
2023年,阿联酋,900,个,政务、交通,数字身份、自动驾驶共享经济,阿联酋信息与通信技术部,https://www.mohre.gov.ae/en/home.aspx,,,,,,,,,,,,,
2023年,巴西,600,个,农业、金融,食品溯源、跨境支付,巴西农业部长,https://www.gov.br/agricultura/pt-br,,,,,,,,,,,,,
2023年,澳大利亚,500,个,教育、金融,学历证书验证、区块链贷款,澳大利亚教育部,https://www.education.gov.au/,,,,,,,,,,,,,
2023年,英国,1100,个,物流、金融,国际运输跟踪、数字货币,英国区块链委员会,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,,,,,,,,,,,,,
2023年,南非,350,个,金融、能源,微电网管理、保险理赔追踪,南非金融服务委员会,https://www.fsb.co.za/,,,,,,,,,,,,,
2024年,德国,950,个,运输、智能城市,公共交通支付、天际线管理,德国智能交通部,https://www.bmvi.de/EN/Home/home.html,,,,,,,,,,,,,
2024年,新西兰,220,个,环境、农业,碳交易市场、农产品认证,新西兰农业部,https://www.mpi.govt.nz/,,,,,,,,,,,,,
2023年,印度,700,个,金融、农业,小额信贷、农产品溯源,NASSCOM,https://nasscom.in/knowledge-library/blockchain-india,,,,,,,,,,,,,
2023年,阿联酋,600,个,政务、物流,护照验证、供应链透明度,Dubai Blockchain Center,https://www.dubaided.gov.ae/en/initiatives/dubai-blockchain-strategy/,,,,,,,,,,,,,
2023年,德国,850,个,汽车、金融,车险理赔、供应链金融,Bitkom,https://www.bitkom.org/en/publications/2023/Blockchain-in-Germany,,,,,,,,,,,,,
2023年,英国,1000,个,医疗、保险,电子健康记录、保险理赔,NHS Digital,https://digital.nhs.uk/about-nhs-digital/our-work/blockchain,,,,,,,,,,,,,
2023年,巴西,400,个,农业、环境保护,农产透明交易、碳交易记录,Brazilian Blockchain Association,https://www.brazilianblockchainassociation.org/,,,,,,,,,,,,,
2023年,加拿大,950,个,教育、金融,学历认证、加密货币管理,Canadian Blockchain Consortium,https://cbc.ca/blockchain,,,,,,,,,,,,,
2023年,南非,250,个,金融、社交媒体,数字货币交易、内容创作者权益,South African Reserve Bank,https://www.resbank.co.za/RegulationAndSupervision/FinancialStability/Pages/Blockchain.aspx,,,,,,,,,,,,,
2023年,新西兰,350,个,农业、生态保护,食品安全追溯、环境监测数据处理,New Zealand Blockchain Research Institute,https://www.nzbr.org.nz/,,,,,,,,,,,,,
2023年,以色列,500,个,科技、交通,智能合约、无人驾驶数据管理,Israeli Innovation Authority,https://innovationisrael.org.il/,,,,,,,,,,,,,
2023年,新加坡,500,个,金融、旅游,旅游共享经济、数字货币支付,Monetary Authority of Singapore,https://www.mas.gov.sg/initiatives/blockchain,,,,,,,,,,,,,
2023年,印度,950,个,农业、金融,农产品溯源、金融透明度,印度信息技术部,https://www.meit.gov.in/,,,,,,,,,,,,,
2023年,巴西,600,个,金融、公共服务,投票系统、资产管理,巴西经济部,http://www.economia.gov.br/,,,,,,,,,,,,,
2023年,英国,850,个,能源、零售,绿色能源交易、忠诚度计划,UK Government,https://www.gov.uk/,,,,,,,,,,,,,
2023年,德国,700,个,制造、物流,供应链追踪、质量控制,德国电信,https://www.telekom.com/,,,,,,,,,,,,,
2023年,加拿大,400,个,医疗、教育,健康记录共享、证书验证,加拿大创新署,https://www.canada.ca/en/innovation-science-economic-development.html,,,,,,,,,,,,,
2023年,阿根廷,350,个,金融、房地产,数字资产交易、产权登记,阿根廷中央银行,https://www.bcra.gov.ar/,,,,,,,,,,,,,
2023年,新西兰,250,个,旅游、金融,旅游行程管理、跨境支付,新西兰旅游局,https://www.tourism.govt.nz/,,,,,,,,,,,,,
2023年,南非,300,个,物流、农业,货物追踪、农业融资,南非信息与通信科技部,https://www.dtps.gov.za/,,,,,,,,,,,,,
2023年,俄罗斯,550,个,能源、金融,能源分配、金融合规性,俄罗斯联邦能源部,http://minenergo.gov.ru/,,,,,,,,,,,,,
2023年,印度,1500,个,农业、金融,农产品溯源、微型贷款,印度农业部,https://www.india.gov.in/,,,,,,,,,,,,,
2023年,德国,700,个,制造、汽车,供应链透明度、车辆历史记录,德国电子商务协会,https://www.bevh.org/,,,,,,,,,,,,,
2023年,阿根廷,350,个,金融、农业,数字货币、农产品交易,阿根廷中央银行,https://www.bcra.gov.ar/,,,,,,,,,,,,,
