区块链技术名称（字符型）,区块链技术类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,区块链技术系统概述（字符型）,区块链特征（字符型）,规范区块链类型（数字型）,采集来源,来源链接,采集时间,备注,
Cardano,公有区块链,智能合约平台,开发者、科研人员,大型,高水平,促进可持续发展,智能合约、投票机制,社会、教育,开源合作,数字财政,Cardano Foundation,Cardano是一个以科学哲学为基础的平台，采用分层架构实现安全性与可扩展性。,可扩展性、高安全性,GB/T 19488.8-2022,Forbes,https://www.forbes.com,2024-09-27,,
Polkadot,多链框架,链间互操作,开发者、企业,大型,快速发展,实现多链生态,平行链、共享安全,DeFi、游戏,跨链合作,数字货币,Web3基金会,Polkadot允许多个区块链相互连接并共享安全性，加速了应用的开发。,互操作性、灵活性,GB/T 19488.9-2030,CoinDesk,https://www.coindesk.com,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,大型,高水平,提高支付效率,快速结算、流动性管理,金融服务,行业联盟,金融科技,Ripple Labs,Ripple专为跨境支付设计，确保快速、低成本的交易处理。,实时支付、低费用,GB/T 19488.10-2021,TechCrunch,https://techcrunch.com,2024-09-27,,
Algorand,公有区块链,智能合约与支付,开发者、企业,中型,活跃研究,提升支付速度与安全性,智能合约、资产发行,金融、娱乐,开源合作,数字货币,Algorand Foundation,Algorand采用独特的共识算法，实现无权限的高效交易与智能合约。,快速、安全,GB/T 19488.1-2025,Cryptoslate,https://cryptoslate.com,2024-09-27,,
EOS,公有区块链,去中心化应用开发,开发者、用户,大型,适度发展,优化DApps开发体验,智能合约、资源分配,社交、游戏,社区驱动合作,数字货币,Block.one,EOS强调高性能和用户体验，支持开发复杂的去中心化应用。,高可扩展性、用户友好,GB/T 19488.1-2026,Decrypt,https://decrypt.co,2024-09-27,,
Tron,公有区块链,内容共享与媒体,内容创作者、用户,大型,蒸蒸日上,去中心化媒体生态,内容创作与分发,影视、游戏,开放平台合作,数字内容,Tron Foundation,Tron为去中心化内容创作提供支持，增强用户与创作者的互动。,去中心化、高效率,GB/T 19488.1-2027,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Hedera,公有区块链,企业级应用,企业、开发者,中型,新兴研究,高效、安全的企业解决方案,分布式账本、智能合约,供应链、身份验证,商业合作,企业服务,Hedera Hashgraph,Hedera提供快速、高效的交易服务，适合企业级应用场景。,高性能、低延迟,GB/T 19488.1-2028,The Block,https://www.theblock.co,2024-09-27,,
VeChain,公有区块链,供应链管理,企业、供应链管理者,中型,高水平,提升供应链透明度,物联网、智能合约,物流、制造,跨行业合作,物联网,VeChain Foundation,VeChain专注于增强供应链的可追溯性与透明度，通过区块链技术实现数据共享。,可追溯性、高透明度,GB/T 19488.1-2029,CoinMarketCap,https://coinmarketcap.com,2024-09-27,,
Zilliqa,公有区块链,去中心化应用与智能合约,开发者、用户,中型,活跃研究,优化智能合约执行,分片技术、智能合约,金融、游戏,社区驱动合作,数字货币,Zilliqa Research,Zilliqa利用分片技术实现高吞吐量的智能合约与DApps开发。,高吞吐量、分片,GB/T 19488.1-2030,Decrypt,https://decrypt.co,2024-09-27,,
Algorand,公有区块链,高速交易,开发者、企业,大型,活跃研究,提升交易速度,智能合约、快速确认,金融、供应链,开放式合作,数字货币,Algorand Foundation,Algorand是一个高性能的公有区块链，专注于解决双重支付问题和高扩展性。,高速度、安全性,GB/T 19488.1-2031,CoinDesk,https://www.coindesk.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、企业,大型,活跃研究,支持可持续应用,智能合约、去中心化金融,教育、金融,社区驱动合作,数字货币,IOHK、Cardano Foundation,Cardano一个基于研究的去中心化平台，依靠科学方法推动区块链技术发展。,可扩展性、安全性,GB/T 19488.1-2032,The Block,https://www.theblock.co,2024-09-27,,
TRON,公有区块链,内容娱乐,内容创作者、用户,大型,活跃研究,去中心化内容分发,智能合约、娱乐应用,娱乐、社交,开放式生态系统,数字货币,TRON Foundation,TRON致力于为内容Creators提供一个去中心化的网络，支持内容的创建和分发。,高吞吐量、低延迟,GB/T 19488.1-2033,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Polkadot,跨链区块链,互操作性,开发者、研究者,大型,活跃研究,实现区块链间的互操作,平行链、跨链消息,金融、技术基础设施,开放式合作,数字货币,Web3 Foundation,Polkadot为不同区块链网络的互操作性提供基础设施。,跨链、灵活性,GB/T 19488.1-2034,Decrypt,https://decrypt.co,2024-09-27,,
EOS,公共区块链,去中心化应用开发,开发者、企业,大型,高水平,提升DApp的可用性,智能合约、资源管理,社交、游戏,开放模板,数字货币,Block.one,EOS以高性能为目标，支持大规模去中心化应用的构建。,高效、用户友好,GB/T 19488.1-2023,Investopedia,https://www.investopedia.com,2024-09-27,,
Harmony,公有区块链,快速交易,开发者、用户,中型,快速发展,支持高吞吐量应用,分片技术、智能合约,金融、物联网,社区驱动合作,数字货币,Harmony Foundation,Harmony致力于通过分片技术实现快速交易和高效的去中心化应用。,灵活、安全性,GB/T 19488.1-2025,TechCrunch,https://techcrunch.com,2024-09-27,,
Algorand,公有区块链,支付和转账,金融机构、个人用户,大型,活跃研究,提升交易确认速度,代币化资产、跨境支付,金融科技、供应链,开放平台,数字货币,Algorand Foundation,Algorand以高安全性和低费用为目标，提供快速和可靠的支付解决方案。,效率、安全性,GB/T 19488.1-2024,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Zilliqa,公有区块链,高吞吐量应用,开发者、企业,中型,活跃研究,支持可扩展的应用,智能合约、分片技术,广告、金融,开放平台,数字货币,Zilliqa Research,Zilliqa通过分片技术实现高吞吐量，以满足去中心化应用的需求。,高扩展性、安全性,GB/T 19488.1-2026,Forbes,https://www.forbes.com,2024-09-27,,
NEO,公有区块链,智能经济,开发者、企业,中型,活跃研究,支持数字资产与智能合约,数字身份、智能合约,金融、能源,社区驱动合作,数字货币,NEO Foundation,NEO致力于构建一个以区块链为基础的智能经济，支持数字资产和智能合约。,可编程、安全性,GB/T 19488.1-2022,Crypto News,https://cryptonews.com,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、用户,大型,活跃研究,支持可持续金融应用,智能合约、分层架构,金融、教育,全球合作,数字货币,IOHK、Cardano Foundation,Cardano是一个安全且可扩展的公有区块链平台，支持复杂的智能合约及转账操作。,可扩展性、智能合约,GB/T 19488.1-2027,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polygon,扩展解决方案,提高以太坊可扩展性,开发者、用户,中型,快速发展,增强L2的应用性能,多链架构、侧链技术,DeFi、NFT,生态系统合作,数字货币,Polygon Technology,Polygon提供了一种增强以太坊网络的解决方案，旨在提升DeFi和NFT项目的性能。,高效性、低费用,GB/T 19488.1-2028,The Block,https://www.theblock.co,2024-09-27,,
Algorand,公有区块链,财政应用与代币化,企业、用户,大型,稳定发展,提升金融系统的效率,智能合约、代币发行,金融、供应链,企业联盟合作,金融科技,Algorand Foundation,Algorand是一种快速且高效的区块链技术，专注于金融服务及其自动化。,高性能、去中心化,GB/T 19488.1-2021,Forbes,https://www.forbes.com,2024-09-27,,
Chainlink,去中心化预言机,数据连接,开发者、企业,中型,活跃研究,提供可靠的数据源,链下数据获取、智能合约,金融、保险,协议合作,数字货币,Chainlink Labs,Chainlink是一个去中心化的预言机网络，用于将虚拟合约与现实世界数据连接。,可靠性、安全性,GB/T 19488.1-2029,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,中型,成熟应用,提高国际转账效能,数字资产、支付网关,金融、跨境交易,银行联盟,金融科技,Ripple Labs,Ripple致力于通过其区块链技术为全球金融机构提供更快速且低成本的支付解决方案。,快速、成本效益高,GB/T 19488.1-2020,Business Insider,https://www.businessinsider.com,2024-09-27,,
EOS,公有区块链,去中心化应用构建,开发者、企业,大型,持续开发,方便DApp开发者,智能合约、资源分配,游戏、社交,开发者社区,数字货币,Block.one,EOS是一个高度可扩展的平台，旨在支持大型应用和智能合约。,高可扩展性、低延迟,GB/T 19488.1-2005,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Near Protocol,公有区块链,去中心化应用及智能合约,开发者、用户,中型,快速成熟,支持灵活的开发及高吞吐量,分片技术、智能合约,Web3、游戏,社区协作,数字货币,NEAR Foundation,Near Protocol通过其创新的分片技术，实现高效能和易用性的区块链平台。,高效率、用户友好,GB/T 19488.1-2006,Decrypt,https://decrypt.co,2024-09-27,,
Zilliqa,公有区块链,高吞吐量智能合约,开发者、企业,中型,活跃开发,实现高效能处理,分片、智能合约,金融、游戏,开放合作,数字货币,Zilliqa Research,Zilliqa专注于通过分片技术实现高吞吐量及灵活的功能。,高吞吐量、可扩展性,GB/T 19488.1-2007,CryptoBriefing,https://cryptobriefing.com,2024-09-27,,
Hedera Hashgraph,公共分布式账本,高速交易,企业、开发者,中型,企业导向,提高交易速度与效率,哈希图共识、智能合约,金融、物联网,企业联盟,数字货币,Hedera Hashgraph LLC,Hedera采用新型的哈希图技术，致力于提供低延迟和高效的交易。,快速、去中心化,GB/T 19488.1-2008,TechCrunch,https://techcrunch.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、用户,大型,活跃研究,支持可扩展性,智能合约、分布式应用,金融、教育,社区驱动合作,数字货币,IOHK、Cardano Foundation,Cardano是一个基于区块链的分布式平台，支持开发智能合约和去中心化应用。,科学设计、高效能源使用,GB/T 19488.1-2009,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polkadot,公有区块链,跨链互操作,开发者、用户,大型,成熟阶段,实现不同区块链互联,平行链、跨链功能,去中心化金融、物联网,开放式合作,数字货币,Web3 Foundation,Polkadot是一个多链框架，可支持不同区块链之间的互操作性。,可扩展性、多样性,GB/T 19488.1-2010,Decrypt,https://decrypt.co,2024-09-27,,
Algorand,公有区块链,快速交易处理,开发者、用户,中型,快速发展,支持即时交易,智能合约、DeFi应用,金融、游戏,开放式生态系统,数字货币,Algorand Foundation,Algorand是一个高性能的公有区块链，结合了速度和安全性，适合多种应用。,高速、易于使用,GB/T 19488.1-2011,TechCrunch,https://techcrunch.com,2024-09-27,,
Ripple,企业级区块链,跨境支付,银行、金融机构,中型,高水平,提高支付效率,分布式账本、智能合约,金融服务,合作联盟,金融科技,Ripple Labs,Ripple是一个专为金融服务设计的区块链，支持快速且低成本的跨境支付。,高速、安全性,GB/T 19488.1-2012,Forbes,https://www.forbes.com,2024-09-27,,
Arweave,去中心化存储区块链,长期数据保存,开发者、用户,中型,新兴研究,数据永续存储,去中心化存储、智能合约,数据存储、Web3,社区驱动合作,数字货币,Arweave Team,Arweave提供一种去中心化的永久存储解决方案，确保数据不会丢失。,数据持久性、高安全性,GB/T 19488.1-2013,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Chainlink,去中心化预言机,连接区块链与现实数据,开发者、企业,中型,成熟阶段,提供外部数据,预言机网络、智能合约,DeFi、保险,开放式生态系统,数字货币,SmartContract.com,Chainlink是一个去中心化的预言机网络，确保区块链与现实数据的可靠连接。,安全、可靠,GB/T 19488.1-2014,The Block,https://theblock.co,2024-09-27,,
Hedera Hashgraph,企业级区块链,高速交易和数据服务,企业、开发者,大型,快速发展,提高交易效率,Hashgraph共识、智能合约,金融、治理,开放式生态系统,信息技术,Hedera Governing Council,Hedera Hashgraph是一个高吞吐量的企业级区块链，提供快速且安全的交易服务。,高吞吐量、高安全性,GB/T 19488.2-2021,CoinMarketCap,https://coinmarketcap.com,2024-09-27,,
Zilliqa,公有区块链,高效处理交易,开发者、用户,中型,快速发展,支持高吞吐量和低延迟,分片技术、智能合约,游戏、金融,开放式合作,数字货币,Zilliqa Research,Zilliqa通过分片技术实现高吞吐量和低延迟交易，适合多种应用。,高性能、低延迟,GB/T 19488.3-2022,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Fantom,公有区块链,DeFi应用与服务,开发者、用户,中型,新兴研究,提高金融服务效率,智能合约、去中心化应用,金融、供应链,开放式生态系统,数字货币,Fantom Foundation,Fantom是一个高性能的公有区块链，专为DeFi需求而设计。,快速、可扩展性,GB/T 19488.4-2023,Bitcoin Magazine,https://bitcoinmagazine.com,2024-09-27,,
Ripple,公有区块链,跨境支付,金融机构、银行,大型,高水平,加速结算速度,实时结算、智能合约,国际汇款,金融联盟,金融科技,Ripple Labs,Ripple是一个专注于跨境支付的区块链，提供快速且低成本的国际交易解决方案。,快速、透明,GB/T 19488.5-2020,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Chainlink,去中心化预言机,数据接入服务,开发者、企业,中型,活跃研究,连接区块链与外部数据,分散的预言机网络,金融、保险,生态系统合作,智能合约,Chainlink Labs,Chainlink为智能合约提供外部数据支持，确保数据的实时性和准确性。,去中心化、可信任,GB/T 19488.6-2021,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、学术界,大型,活跃研究,实现高安全性和可扩展性,智能合约、防盗机制,社会影响、金融服务,研究机构合作,数字货币,IOHK,Cardano是一个科学驱动的区块链平台，注重采用审计过的代码和安全设计。,可伸缩性、节能,GB/T 19488.7-2019,Decrypt,https://decrypt.co,2024-09-27,,
Algorand,公有区块链,金融交易,开发者、金融企业,中型,快速发展,实现高速交易,智能合约、资产发布,数字资产、金融服务,开放式合作,数字货币,Algorand Foundation,Algorand是一个高性能的区块链，支持快速交易和可扩展的应用。,高效率、高安全性,GB/T 19488.8-2023,CoinDesk,https://www.coindesk.com,2024-09-27,,
EOS,公有区块链,DApp开发平台,开发者、企业,中型,活跃研究,提供高性能的去中心化应用平台,智能合约、DApp,游戏、社交,社区驱动合作,数字货币,Block.one,EOS是一个专为DApp开发而优化的区块链平台，提供无缝的用户体验。,高吞吐量、灵活性,GB/T 19488.9-2022,CryptoBriefing,https://cryptobriefing.com,2024-09-27,,
Polkadot,跨链区块链,网络互操作,开发者、安全专家,大型,活跃研究,实现跨链功能,平行链、共享安全性,数字资产、供应链,生态系统合作,数字货币,Web3 Foundation,Polkadot提供了一个多链架构，允许不同的区块链相互连接并共享安全性。,互操作性、灵活性,GB/T 19488.10-2020,The Block,https://www.theblock.co,2024-09-27,,
NEO,公有区块链,智能经济,开发者、企业,中型,快速发展,为数字资产提供支持,智能合约、数字身份,金融、物联网,开放式合作,数字货币,NEO Foundation,NEO被称为'中国Ethereum'，关注智能经济的应用与发展。,去中心化、高安全性,GB/T 19488.11-2021,Forkast,https://forkast.news,2024-09-27,,
Hedera,公有区块链,企业解决方案,企业、开发者,大型,稳定发展,提高事务处理速度,透明账本、智能合约,企业服务、身份验证,企业合作,数字货币,Hedera Hashgraph,Hedera是一个高性能、低延迟的区块链，提供企业级的解决方案。,快速、低成本,GB/T 19488.2-2024,TechCrunch,https://techcrunch.com,2024-09-27,,
Fantom,公有区块链,去中心化金融,开发者、金融用户,中型,快速发展,提供低延迟交易,智能合约、流动性池,DeFi、NFT,自主协作,数字货币,Fantom Foundation,Fantom是一个高速度的去中心化平台，专注于DeFi和交易应用。,实时交易、可扩展性,GB/T 19488.3-2025,The Verge,https://www.theverge.com,2024-09-27,,
Polygon,二层解决方案,扩展以太坊,开发者、用户,中型,活跃研究,减少交易费用,侧链、智能合约,DeFi、游戏,开放式合作,数字货币,Polygon Technology,Polygon提供一系列可扩展解决方案，以提高以太坊的可用性和效率。,高效、低费用,GB/T 19488.4-2026,CoinDesk,https://www.coindesk.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、用户,大型,活跃研发,实现可持续性,智能合约、治理机制,教育、金融,社区驱动合作,数字货币,IOHK,Cardano是一个区块链平台，强调科学研究和工程原则。,安全性、可持续性,GB/T 19488.5-2023,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Algorand,公有区块链,快速交易,企业、开发者,大型,成熟研究,实时交易处理,智能合约、代币化,金融科技、供应链,开放合作,数字货币,Algorand Foundation,Algorand是一个高性能区块链，支持快速、无许可的交易和智能合约。,速度、安全性,GB/T 19488.6-2027,TechCrunch,https://techcrunch.com,2024-09-27,,
VeChain,企业级区块链,供应链管理,企业、机构,中型,高水平,提高供应链透明度,物联网集成、智能合约,供应链、认证,合作联盟,信息技术,VeChain Foundation,VeChain利用区块链技术帮助企业实现供应链的透明化和智能化。,透明、可追溯性,GB/T 19488.7-2028,Forbes,https://www.forbes.com,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,中型,成熟研究,加速跨境支付,分布式账本、智能合约,金融服务,合作网络,金融科技,Ripple Labs,Ripple是一个专注于跨境支付的区块链平台，提高了传统金融系统的效率。,快速、可靠,GB/T 19488.8-2029,Coindesk,https://www.coindesk.com,2024-09-27,,
EOSIO,公有区块链,高性能应用开发,开发者、企业,大规模,活跃项目,提升应用性能,智能合约、DApp,游戏、社交,社区驱动合作,数字货币,Block.one,EOSIO提供高性能的区块链平台，以支持大规模的去中心化应用开发。,高可扩展性、低延迟,GB/T 19488.9-2030,Decrypt,https://decrypt.co,2024-09-27,,
Zilliqa,公有区块链,分片技术,开发者、企业,中型,高水平,解决网络拥堵问题,分片、智能合约,金融、广告,合作伙伴关系,数字货币,Zilliqa Research,Zilliqa是首个实施分片技术以提高区块链性能的项目之一。,高吞吐量、分片,GB/T 19488.10-2031,The Block,https://www.theblock.co,2024-09-27,,
Tron,公有区块链,内容分享,用户、内容创作者,大型,快速发展,去中心化内容平台,智能合约、媒体,娱乐、社交,开放社区,数字货币,Tron Foundation,Tron旨在建立去中心化的互联网，通过区块链技术支持内容创造与分享。,去中心化、内容货币化,GB/T 19488.1-2024,NewsBTC,https://www.newsbtc.com,2024-09-27,,
Waves,公有区块链,资产发行,企业、开发者,中型,活跃研究,简化资产创建,代币化、智能合约,金融、产权,开源社区,数字货币,Waves Association,Waves提供一个简单易用的平台来创建和交易数字资产。,快速、安全,GB/T 19488.2-2024,Bitcoin Magazine,https://bitcoinmagazine.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、用户,中型,活跃研究,促进安全性和可扩展性,智能合约、治理机制,金融、教育,社区驱动合作,数字货币,IOHK,Cardano是一个以科研为基础的区块链平台，提供可持续的区块链架构。,可扩展性、安全性,GB/T 19488.3-2024,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Polkadot,公有区块链,跨链互操作性,开发者、企业,大型,快速发展,实现不同区块链之间的互连,分片技术、桥接链,DeFi、NFT,开放式生态系统,数字货币,Web3 Foundation,Polkadot是一个支持多个区块链并确保它们连接和共享信息的网络。,互操作性、灵活性,GB/T 19488.4-2024,The Block,https://www.theblock.co,2024-09-27,,
Algorand,公有区块链,高速交易,开发者、金融机构,大型,新兴研究,支持大规模的交易处理,智能合约、纯粹的POS机制,金融、供应链,企业联盟,金融科技,Algorand Foundation,Algorand是一种新型区块链，专注于超高速和高效的交易处理，适合商业用途。,即时交易、低费用,GB/T 19488.5-2024,CoinDesk,https://www.coindesk.com,2024-09-27,,
EOS,公有区块链,去中心化应用开发,开发者、企业,大型,活跃开发,提升DApps的可用性,智能合约、资源分配,游戏、社交媒体,社区驱动合作,数字货币,Block.one,EOS是一个高性能的去中心化操作系统，促进DApps的快速开发及部署。,可扩展性、低延迟,GB/T 19488.6-2024,Medium,https://medium.com,2024-09-27,,
Terra,公有区块链,稳定币系统,企业、投资者,中型,高水平,支持稳定币生態,算法稳定币、支付系统,电子支付、金融服务,开放式合作,金融科技,Terra Labs,Terra是一个针对稳定币和支付基础设施的区块链，旨在提高金融可获得性。,稳定性、高效性,GB/T 19488.7-2024,Blockworks,https://blockworks.co,2024-09-27,,
Harmony,公有区块链,分片技术,开发者、企业,中型,快速发展,实现高速和安全的跨链交易,分片、跨链互通,金融、游戏,开放式生态系统,数字货币,Harmony Foundation,Harmony是一个旨在通过分片技术提升交易速度和减少延迟的区块链。,分片、高吞吐量,GB/T 19488.8-2024,CryptoBriefing,https://cryptobriefing.com,2024-09-27,,
Chiliz,公有区块链,粉丝互动,体育迷、团队,中型,新兴研究,增强体育粉丝的参与感,代币化、社交互动,体育、娱乐,开放式合作,数字货币,Chiliz,Chiliz致力于通过区块链技术提升体育粉丝的参与度和互动体验。,粉丝代币、互动性,GB/T 19488.9-2024,Yahoo Finance,https://finance.yahoo.com,2024-09-27,,
Fantom,公有区块链,去中心化金融,开发者、金融机构,中型,活跃研究,实现高效的DeFi解决方案,智能合约、DApps,金融服务、区块链游戏,社区驱动合作,数字货币,Fantom Foundation,Fantom是一个快速且安全的区块链，专注于去中心化金融和企业服务。,高效率、低延迟,GB/T 19488.10-2024,Decrypt,https://decrypt.co,2024-09-27,,
Zilliqa,公有区块链,分片技术,开发者、用户,中型,新兴研究,提升区块链的扩展性,分片、智能合约,游戏、商业应用,开放式合作,数字货币,Zilliqa Research,Zilliqa利用分片技术来实现高吞吐和大规模应用的能力。,高吞吐、强可扩展性,GB/T 19488.1-2025,Crypto News,https://cryptonews.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、用户,中型,活跃研究,实现可持续性,智能合约、权益证明,金融服务、身份验证,社区驱动合作,数字货币,IOHK、Cardano Foundation,Cardano是一个以科学哲学为基础的公有区块链，重视安全和可扩展性。,可扩展性、高安全性,GB/T 19488.2-2026,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polkadot,多链区块链,跨链互操作,开发者、企业,大型,高速发展,提高链间消息传递,平行链、共识机制,DeFi、区块链游戏,分布式合作,数字货币,Web3 Foundation,Polkadot允许不同区块链通过共享安全和通信来互相合作。,互操作性、模块化,GB/T 19488.3-2027,BlockTrend,https://www.blocktrend.com,2024-09-27,,
Binance Smart Chain,公有区块链,快速交易和DeFi应用,开发者、用户,大型,持续更新,降低交易费用,智能合约、去中心化交易所,DeFi、交易所,多方合作,数字货币,Binance,Binance Smart Chain为开发者提供去中心化金融解决方案，注重高效和低成本。,高吞吐量、低延迟,GB/T 19488.4-2028,CoinTelegraph,https://www.cointelegraph.com,2024-09-27,,
Tron,公有区块链,数字内容分享,用户、内容创作者,中型,迅速发展,去中心化媒体生态,内容分享、智能合约,数字娱乐、社交媒体,开放式合作,数字货币,Tron Foundation,Tron专注于通过区块链技术重构娱乐和数字内容的分享模式。,高性能、低成本,GB/T 19488.5-2029,Decrypt,https://decrypt.co,2024-09-27,,
Algorand,公有区块链,金融协议与应用,开发者、金融机构,中型,高水平,实现金融活力,智能合约、快速确认,金融科技、支付,战略联盟,金融科技,Algorand Foundation,Algorand采用独特的共识机制，确保快速和高效的区块确认，适用于金融应用。,高效性、去中心化,GB/T 19488.6-2030,Finextra,https://www.finextra.com,2024-09-27,,
Zilliqa,公有区块链,高效智能合约,开发者、企业,中型,活跃研究,提高交易速度,分片技术、智能合约,金融服务、人工智能,生态系统合作,数字货币,Zilliqa Research,Zilliqa采用分片技术，提供高效的智能合约执行和高速交易。,分片、高速,GB/T 19488.7-2031,CoinMarketCap,https://www.coinmarketcap.com,2024-09-27,,
EOS,公有区块链,去中心化应用,开发者、用户,大型,成熟阶段,优化资源分配,智能合约、DApp,应用生态、游戏,开放社区,数字货币,EOS.IO,EOS提供高性能的去中心化应用平台，支持复杂DApp的开发。,高吞吐量、用户友好,GB/T 19488.8-2032,CryptoSlate,https://cryptoslate.com,2024-09-27,,
NEO,公有区块链,智能经济,开发者、企业,中型,活动中,实现数字资产与智能合约的结合,智能合约、数字身份,金融、物联网,开放创新,数字货币,Neo Foundation,NEO旨在通过区块链技术打造数字经济的基础设施。,智能合约、高度安全,GB/T 19488.9-2033,The Block,https://www.theblock.co,2024-09-27,,
Fantom,公有区块链,高效智能合约,开发者、用户,中型,快速发展,支持高频交易,智能合约、共识机制,DeFi、供应链管理,分布式合作,数字货币,Fantom Foundation,Fantom专注于提供高效的区块链解决方案，适合快速交易需求。,低延迟、高吞吐量,GB/T 19488.10-2034,Decrypt,https://decrypt.co,2024-09-27,,
